Id,Time,Delta T [min],Device,Channel,Sensor,Calibration,User,Value,Oxygen Unit,Temp,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
9258386,12:28:08,0,SABD0000000001 (OXY-10 ST),3,OXY-CH3 (PSt7-10),19/12/20 11:15:13,default,275.403,µmol/L,10.165,°C,1030,hPa,Humid,35,0
9258391,12:28:10,0.021,SABD0000000001 (OXY-10 ST),3,OXY-CH3 (PSt7-10),19/12/20 11:15:13,default,275.249,µmol/L,10.175,°C,1030,hPa,Humid,35,0
9258393,12:28:11,0.037,SABD0000000001 (OXY-10 ST),3,OXY-CH3 (PSt7-10),19/12/20 11:15:13,default,275.263,µmol/L,10.165,°C,1030,hPa,Humid,35,0
9258397,12:28:12,0.054,SABD0000000001 (OXY-10 ST),3,OXY-CH3 (PSt7-10),19/12/20 11:15:13,default,275.461,µmol/L,10.148,°C,1030,hPa,Humid,35,0
9258400,12:28:13,0.071,SABD0000000001 (OXY-10 ST),3,OXY-CH3 (PSt7-10),19/12/20 11:15:13,default,275.365,µmol/L,10.151,°C,1030,hPa,Humid,35,0
9258406,12:28:14,0.088,SABD0000000001 (OXY-10 ST),3,OXY-CH3 (PSt7-10),19/12/20 11:15:13,default,275.195,µmol/L,10.178,°C,1030,hPa,Humid,35,0
9258410,12:28:15,0.105,SABD0000000001 (OXY-10 ST),3,OXY-CH3 (PSt7-10),19/12/20 11:15:13,default,275.205,µmol/L,10.169,°C,1030,hPa,Humid,35,0
9258413,12:28:16,0.121,SABD0000000001 (OXY-10 ST),3,OXY-CH3 (PSt7-10),19/12/20 11:15:13,default,275.098,µmol/L,10.168,°C,1030,hPa,Humid,35,0
9258418,12:28:17,0.137,SABD0000000001 (OXY-10 ST),3,OXY-CH3 (PSt7-10),19/12/20 11:15:13,default,275.205,µmol/L,10.172,°C,1030,hPa,Humid,35,0
9258424,12:28:18,0.154,SABD0000000001 (OXY-10 ST),3,OXY-CH3 (PSt7-10),19/12/20 11:15:13,default,275.375,µmol/L,10.155,°C,1030,hPa,Humid,35,0
