Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
9258398,19/12/20 12:28:12,0.000,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,234.029,µmol/L,10.002,°C,1029.000,hPa,Humid,35,16
9258402,19/12/20 12:28:13,0.016,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,234.064,µmol/L,10.002,°C,1029.000,hPa,Humid,35,16
9258404,19/12/20 12:28:14,0.032,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,234.079,µmol/L,9.993,°C,1029.000,hPa,Humid,35,16
9258409,19/12/20 12:28:15,0.049,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.957,µmol/L,10.011,°C,1029.000,hPa,Humid,35,16
9258412,19/12/20 12:28:16,0.066,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.853,µmol/L,10.009,°C,1029.000,hPa,Humid,35,16
9258419,19/12/20 12:28:17,0.083,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.779,µmol/L,10.016,°C,1029.000,hPa,Humid,35,16
9258421,19/12/20 12:28:18,0.099,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.839,µmol/L,10.011,°C,1029.000,hPa,Humid,35,16
9258425,19/12/20 12:28:19,0.115,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.963,µmol/L,9.993,°C,1029.000,hPa,Humid,35,16
9258435,19/12/20 12:28:20,0.132,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.924,µmol/L,10.000,°C,1029.000,hPa,Humid,35,16
9258441,19/12/20 12:28:21,0.149,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.885,µmol/L,10.005,°C,1029.000,hPa,Humid,35,16
9258444,19/12/20 12:28:22,0.165,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,234.042,µmol/L,9.993,°C,1029.000,hPa,Humid,35,16
9258448,19/12/20 12:28:23,0.182,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.885,µmol/L,9.998,°C,1029.000,hPa,Humid,35,16
9258457,19/12/20 12:28:24,0.199,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.877,µmol/L,10.001,°C,1029.000,hPa,Humid,35,16
9258466,19/12/20 12:28:25,0.216,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.749,µmol/L,10.015,°C,1029.000,hPa,Humid,35,16
9258470,19/12/20 12:28:26,0.232,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.713,µmol/L,10.015,°C,1029.000,hPa,Humid,35,16
9258480,19/12/20 12:28:27,0.249,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.740,µmol/L,10.014,°C,1029.000,hPa,Humid,35,16
9258489,19/12/20 12:28:28,0.266,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.703,µmol/L,10.002,°C,1029.000,hPa,Humid,35,16
9258498,19/12/20 12:28:29,0.283,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.700,µmol/L,10.019,°C,1029.000,hPa,Humid,35,16
9258501,19/12/20 12:28:30,0.299,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.612,µmol/L,10.021,°C,1029.000,hPa,Humid,35,16
9258510,19/12/20 12:28:31,0.315,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.694,µmol/L,10.013,°C,1029.000,hPa,Humid,35,16
9258519,19/12/20 12:28:32,0.332,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.730,µmol/L,10.008,°C,1029.000,hPa,Humid,35,16
9258529,19/12/20 12:28:33,0.349,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.678,µmol/L,10.012,°C,1029.000,hPa,Humid,35,16
9258536,19/12/20 12:28:34,0.366,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.699,µmol/L,10.010,°C,1029.000,hPa,Humid,35,16
9258542,19/12/20 12:28:35,0.382,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.691,µmol/L,10.008,°C,1029.000,hPa,Humid,35,16
9258549,19/12/20 12:28:36,0.399,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.602,µmol/L,10.020,°C,1029.000,hPa,Humid,35,16
9258561,19/12/20 12:28:37,0.416,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.628,µmol/L,10.011,°C,1029.000,hPa,Humid,35,16
9258569,19/12/20 12:28:38,0.433,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.639,µmol/L,10.008,°C,1029.000,hPa,Humid,35,16
9258576,19/12/20 12:28:39,0.449,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.729,µmol/L,10.003,°C,1029.000,hPa,Humid,35,16
9258585,19/12/20 12:28:40,0.466,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.518,µmol/L,10.021,°C,1029.000,hPa,Humid,35,16
9258594,19/12/20 12:28:41,0.486,SABD0000000001 (OXY-10 ST),4,OXY-CH4 (PSt7-10),19/12/20 11:16:31,default,233.772,µmol/L,10.005,°C,1029.000,hPa,Humid,35,16
