Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
9258375,19/12/20 12:28:01,0.000,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.365,µmol/L,10.195,°C,1029.000,hPa,Humid,35,0
9258376,19/12/20 12:28:02,0.000,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.326,µmol/L,10.199,°C,1029.000,hPa,Humid,35,0
9258377,19/12/20 12:28:03,0.030,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.075,µmol/L,10.206,°C,1029.000,hPa,Humid,35,0
9258378,19/12/20 12:28:04,0.047,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.102,µmol/L,10.177,°C,1029.000,hPa,Humid,35,0
9258379,19/12/20 12:28:05,0.063,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.644,µmol/L,10.182,°C,1029.000,hPa,Humid,35,0
9258381,19/12/20 12:28:06,0.080,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.528,µmol/L,10.187,°C,1029.000,hPa,Humid,35,0
9258382,19/12/20 12:28:07,0.096,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.109,µmol/L,10.194,°C,1029.000,hPa,Humid,35,0
9258384,19/12/20 12:28:08,0.113,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.144,µmol/L,10.180,°C,1029.000,hPa,Humid,35,0
9258388,19/12/20 12:28:09,0.130,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.849,µmol/L,10.180,°C,1029.000,hPa,Humid,35,0
9258390,19/12/20 12:28:10,0.147,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.458,µmol/L,10.166,°C,1029.000,hPa,Humid,35,0
9258394,19/12/20 12:28:11,0.164,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.345,µmol/L,10.200,°C,1029.000,hPa,Humid,35,0
9258395,19/12/20 12:28:12,0.180,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.121,µmol/L,10.196,°C,1029.000,hPa,Humid,35,0
9258399,19/12/20 12:28:13,0.197,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.567,µmol/L,10.196,°C,1029.000,hPa,Humid,35,0
9258403,19/12/20 12:28:14,0.214,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.175,µmol/L,10.187,°C,1029.000,hPa,Humid,35,0
9258408,19/12/20 12:28:15,0.230,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.430,µmol/L,10.195,°C,1029.000,hPa,Humid,35,0
9258411,19/12/20 12:28:16,0.246,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.253,µmol/L,10.197,°C,1029.000,hPa,Humid,35,0
9258416,19/12/20 12:28:17,0.263,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.758,µmol/L,10.197,°C,1029.000,hPa,Humid,35,0
9258422,19/12/20 12:28:18,0.280,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.212,µmol/L,10.193,°C,1029.000,hPa,Humid,35,0
9258426,19/12/20 12:28:19,0.297,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.634,µmol/L,10.175,°C,1029.000,hPa,Humid,35,0
9258433,19/12/20 12:28:20,0.314,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.942,µmol/L,10.192,°C,1029.000,hPa,Humid,35,0
9258436,19/12/20 12:28:21,0.330,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.894,µmol/L,10.195,°C,1029.000,hPa,Humid,35,0
9258443,19/12/20 12:28:22,0.347,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.106,µmol/L,10.189,°C,1029.000,hPa,Humid,35,0
9258450,19/12/20 12:28:23,0.364,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.044,µmol/L,10.188,°C,1029.000,hPa,Humid,35,0
9258460,19/12/20 12:28:24,0.380,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.314,µmol/L,10.192,°C,1029.000,hPa,Humid,35,0
9258462,19/12/20 12:28:25,0.396,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.373,µmol/L,10.188,°C,1029.000,hPa,Humid,35,0
9258469,19/12/20 12:28:26,0.413,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.926,µmol/L,10.194,°C,1029.000,hPa,Humid,35,0
9258477,19/12/20 12:28:27,0.430,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.627,µmol/L,10.192,°C,1029.000,hPa,Humid,35,0
9258488,19/12/20 12:28:28,0.447,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.859,µmol/L,10.191,°C,1029.000,hPa,Humid,35,0
9258493,19/12/20 12:28:29,0.463,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.136,µmol/L,10.189,°C,1029.000,hPa,Humid,35,0
9258503,19/12/20 12:28:30,0.480,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.905,µmol/L,10.196,°C,1029.000,hPa,Humid,35,0
