Id,Time,Delta T [min],Device,Channel,Sensor,Calibration,User,Value,Oxygen Unit,Temp,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
9258415,12:28:16,0,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.045,µmol/L,10.142,°C,1030,hPa,Humid,35,0
9258423,12:28:18,0.025,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.992,µmol/L,10.146,°C,1030,hPa,Humid,35,0
9258428,12:28:19,0.042,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.23,µmol/L,10.13,°C,1030,hPa,Humid,35,0
9258431,12:28:20,0.058,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.044,µmol/L,10.148,°C,1030,hPa,Humid,35,0
9258438,12:28:21,0.075,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.059,µmol/L,10.146,°C,1030,hPa,Humid,35,0
9258446,12:28:22,0.092,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.978,µmol/L,10.139,°C,1030,hPa,Humid,35,0
9258452,12:28:23,0.109,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.989,µmol/L,10.151,°C,1030,hPa,Humid,35,0
9258455,12:28:24,0.125,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.095,µmol/L,10.137,°C,1030,hPa,Humid,35,0
9258465,12:28:25,0.142,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.042,µmol/L,10.132,°C,1030,hPa,Humid,35,0
9258474,12:28:26,0.159,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.128,µmol/L,10.138,°C,1030,hPa,Humid,35,0
9258484,12:28:27,0.175,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.009,µmol/L,10.131,°C,1030,hPa,Humid,35,0
9258492,12:28:28,0.192,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.031,µmol/L,10.133,°C,1030,hPa,Humid,35,0
9258497,12:28:29,0.208,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.133,µmol/L,10.127,°C,1030,hPa,Humid,35,0
