Id,Date,Delta T [min],Device,Channel,Phase [°],Amplitude [µV],Reference Amplitude [µV],User Signal Intensity,Signal LED Current,Reference LED Current,Battery [V]
9258454,19/12/20 12:28:23,0.000,Devices!A2:F2,7,23.425,74694,0,360890.6886,28.0,85.0,#N/A
9258461,19/12/20 12:28:24,0.010,Devices!A2:F2,7,23.422,74677,0,360777.2927,28.0,85.0,#N/A
9258468,19/12/20 12:28:25,0.027,Devices!A2:F2,7,23.417,74675,0,360729.7003,28.0,85.0,#N/A
9258475,19/12/20 12:28:26,0.044,Devices!A2:F2,7,23.423,74661,0,360690.5689,28.0,85.0,#N/A
9258481,19/12/20 12:28:27,0.060,Devices!A2:F2,7,23.426,74660,0,360653.9054,28.0,85.0,#N/A
9258486,19/12/20 12:28:28,0.077,Devices!A2:F2,7,23.429,74655,0,360630.4702,28.0,85.0,#N/A
9258500,19/12/20 12:28:29,0.094,Devices!A2:F2,7,23.427,74650,0,360625.6935,28.0,85.0,#N/A
9258508,19/12/20 12:28:30,0.111,Devices!A2:F2,7,23.426,74649,0,360613.3894,28.0,85.0,#N/A
9258509,19/12/20 12:28:31,0.127,Devices!A2:F2,7,23.427,74641,0,360589.9157,28.0,85.0,#N/A
9258523,19/12/20 12:28:32,0.144,Devices!A2:F2,7,23.425,74637,0,360577.3777,28.0,85.0,#N/A
9258532,19/12/20 12:28:33,0.160,Devices!A2:F2,7,23.42,74636,0,360575.8622,28.0,85.0,#N/A
9258540,19/12/20 12:28:34,0.177,Devices!A2:F2,7,23.427,74636,0,360568.1951,28.0,85.0,#N/A
9258545,19/12/20 12:28:35,0.193,Devices!A2:F2,7,23.425,74624,0,360554.0379,28.0,85.0,#N/A
9258553,19/12/20 12:28:36,0.210,Devices!A2:F2,7,23.429,74623,0,360546.8633,28.0,85.0,#N/A
9258564,19/12/20 12:28:37,0.227,Devices!A2:F2,7,23.428,74619,0,360534.9656,28.0,85.0,#N/A
9258572,19/12/20 12:28:38,0.244,Devices!A2:F2,7,23.426,74615,0,360524.3901,28.0,85.0,#N/A
9258578,19/12/20 12:28:39,0.260,Devices!A2:F2,7,23.422,74619,0,360512.9481,28.0,85.0,#N/A
9258588,19/12/20 12:28:40,0.277,Devices!A2:F2,7,23.42,74613,0,360516.7547,28.0,85.0,#N/A
9258593,19/12/20 12:28:41,0.297,Devices!A2:F2,7,23.426,74615,0,360527.2006,28.0,85.0,#N/A
9258602,19/12/20 12:28:42,0.310,Devices!A2:F2,7,23.426,74606,0,360491.3151,28.0,85.0,#N/A
9258612,19/12/20 12:28:43,0.327,Devices!A2:F2,7,23.426,74602,0,360498.2672,28.0,85.0,#N/A
9258620,19/12/20 12:28:44,0.344,Devices!A2:F2,7,23.425,74598,0,360486.6036,28.0,85.0,#N/A
9258623,19/12/20 12:28:45,0.361,Devices!A2:F2,7,23.424,74599,0,360477.7428,28.0,85.0,#N/A
9258629,19/12/20 12:28:46,0.377,Devices!A2:F2,7,23.43,74589,0,360478.745,28.0,85.0,#N/A
9258644,19/12/20 12:28:47,0.394,Devices!A2:F2,7,23.426,74590,0,360475.6683,28.0,85.0,#N/A
9258651,19/12/20 12:28:48,0.411,Devices!A2:F2,7,23.429,74580,0,360459.0501,28.0,85.0,#N/A
9258660,19/12/20 12:28:49,0.427,Devices!A2:F2,7,23.426,74584,0,360454.4844,28.0,85.0,#N/A
9258668,19/12/20 12:28:50,0.443,Devices!A2:F2,7,23.425,74585,0,360446.0954,28.0,85.0,#N/A
9258676,19/12/20 12:28:51,0.461,Devices!A2:F2,7,23.43,74581,0,360457.7242,28.0,85.0,#N/A
9258677,19/12/20 12:28:52,0.477,Devices!A2:F2,7,23.427,74577,0,360441.2502,28.0,85.0,#N/A
9258692,19/12/20 12:28:53,0.493,Devices!A2:F2,7,23.425,74567,0,360444.2938,28.0,85.0,#N/A
9258699,19/12/20 12:28:54,0.510,Devices!A2:F2,7,23.428,74572,0,360437.2315,28.0,85.0,#N/A
9258708,19/12/20 12:28:55,0.527,Devices!A2:F2,7,23.43,74567,0,360434.7037,28.0,85.0,#N/A
9258716,19/12/20 12:28:56,0.543,Devices!A2:F2,7,23.428,74569,0,360416.8911,28.0,85.0,#N/A
9258723,19/12/20 12:28:57,0.560,Devices!A2:F2,7,23.425,74567,0,360416.172,28.0,85.0,#N/A
9258732,19/12/20 12:28:58,0.577,Devices!A2:F2,7,23.426,74564,0,360419.3273,28.0,85.0,#N/A
9258735,19/12/20 12:28:59,0.594,Devices!A2:F2,7,23.422,74565,0,360402.1756,28.0,85.0,#N/A
9258748,19/12/20 12:29:00,0.611,Devices!A2:F2,7,23.426,74553,0,360395.6722,28.0,85.0,#N/A
9258750,19/12/20 12:29:01,0.627,Devices!A2:F2,7,23.427,74550,0,360392.3544,28.0,85.0,#N/A
9258757,19/12/20 12:29:02,0.644,Devices!A2:F2,7,23.421,74553,0,360382.3165,28.0,85.0,#N/A
9258772,19/12/20 12:29:03,0.660,Devices!A2:F2,7,23.422,74555,0,360388.5326,28.0,85.0,#N/A
9258776,19/12/20 12:29:04,0.677,Devices!A2:F2,7,23.425,74548,0,360372.8,28.0,85.0,#N/A
9258787,19/12/20 12:29:05,0.693,Devices!A2:F2,7,23.428,74542,0,360378.3284,28.0,85.0,#N/A
9258789,19/12/20 12:29:06,0.710,Devices!A2:F2,7,23.423,74544,0,360373.7029,28.0,85.0,#N/A
9258804,19/12/20 12:29:07,0.727,Devices!A2:F2,7,23.427,74539,0,360379.1582,28.0,85.0,#N/A
9258812,19/12/20 12:29:08,0.744,Devices!A2:F2,7,23.42,74530,0,360359.7082,28.0,85.0,#N/A
9258819,19/12/20 12:29:09,0.760,Devices!A2:F2,7,23.429,74537,0,360353.6261,28.0,85.0,#N/A
9258828,19/12/20 12:29:10,0.777,Devices!A2:F2,7,23.428,74534,0,360340.6009,28.0,85.0,#N/A
9258835,19/12/20 12:29:11,0.794,Devices!A2:F2,7,23.422,74533,0,360347.5424,28.0,85.0,#N/A
9258840,19/12/20 12:29:12,0.810,Devices!A2:F2,7,23.426,74528,0,360334.7382,28.0,85.0,#N/A
