Id,Time,Delta T [min],Device,Channel,Sensor,Calibration,User,Value,Oxygen Unit,Temp,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
9258476,12:28:26,0,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,278.204,µmol/L,10.123,°C,1029,hPa,Humid,35,0
9258479,12:28:27,0.015,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.95,µmol/L,10.131,°C,1029,hPa,Humid,35,0
9258491,12:28:28,0.032,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,278.089,µmol/L,10.131,°C,1029,hPa,Humid,35,0
9258495,12:28:29,0.048,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,278.148,µmol/L,10.119,°C,1029,hPa,Humid,35,0
9258502,12:28:30,0.065,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.985,µmol/L,10.124,°C,1029,hPa,Humid,35,0
9258511,12:28:31,0.082,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.889,µmol/L,10.137,°C,1029,hPa,Humid,35,0
9258520,12:28:32,0.099,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.831,µmol/L,10.149,°C,1029,hPa,Humid,35,0
9258525,12:28:33,0.115,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.776,µmol/L,10.14,°C,1029,hPa,Humid,35,0
9258534,12:28:34,0.132,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.79,µmol/L,10.143,°C,1029,hPa,Humid,35,0
9258541,12:28:35,0.149,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.812,µmol/L,10.135,°C,1029,hPa,Humid,35,0
9258554,12:28:36,0.165,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.77,µmol/L,10.138,°C,1029,hPa,Humid,35,0
9258557,12:28:37,0.181,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.9,µmol/L,10.128,°C,1029,hPa,Humid,35,0
9258567,12:28:38,0.198,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.923,µmol/L,10.128,°C,1029,hPa,Humid,35,0
9258574,12:28:39,0.215,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.854,µmol/L,10.133,°C,1029,hPa,Humid,35,0
9258586,12:28:40,0.232,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.613,µmol/L,10.15,°C,1029,hPa,Humid,35,0
9258591,12:28:41,0.248,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.73,µmol/L,10.145,°C,1029,hPa,Humid,35,0
9258601,12:28:42,0.265,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.875,µmol/L,10.139,°C,1029,hPa,Humid,35,0
