TimePoint,Date,Side,Count,Fragment.ID,Treatment,Red.Standard,Green.Standard,Blue.Standard,Red.Coral,Green.Coral,Blue.Coral
Time0,20210205,Top,T0,2197,Ambient,198.233,101.858,254.702,101.282,142.974,216.517
,,,,1443,Ambient,198.26,100.524,254.709,93.973,93.821,171.775
,,,,1497,Ambient,196.856,100.602,254.571,105.623,101.506,179.564
,,,,1182,Ambient ,198.187,99.123,254.555,68.826,87.087,161.934
,,,,1290,Ambient ,196.673,100.033,254.562,141.319,165.217,225.022
,,,,1458,Ambient,197.109,99.825,254.583,140.908,170.784,233.968
,,,,2201,Ambient,196.177,100.6,254.538,110.367,138.629,208.78
,,,,1479,Ambient,199.114,100.285,254.384,97.767,106.04,171.346
,,,,1621,Ambient,197.913,100.933,254.689,85.256,89.32,154.875
,,,,2997,Ambient,202.709,99.779,254.702,87.905,101.812,157.217
,,,,1159,Ambient,198.073,99.098,254.58,115.094,159.196,234.533
,,,,1450,Ambient,197.687,100.207,254.639,108.509,142.14,216.578
,,,,1174,Ambient,196.448,99.914,254.695,128.441,163.299,236.476
,,,,1085,Ambient,204.947,106.466,254.557,132.463,174.692,244.538
,,,,2279,Ambient,204.382,98.741,254.553,117.212,148.456,224.025
,,,2,1636,Ambient ,195.091,117.273,254.653,117.1,132.653,193.375
,,,,2004,Ambient ,193.952,117.298,254.654,128.539,134.567,198.795
,,,,1138,Ambient ,193.401,117.895,254.663,111.553,135.722,200.606
,,,,2862,Ambient ,193.54,117.402,254.658,80.554,94.17,138.35
,,,,3002,Ambient ,194.745,117.403,254.656,127.398,168.313,229.016
,,,,1147,Ambient ,194.004,116.509,254.653,115.917,136.223,205.918
,,,,1337,Ambient,192.777,116.715,254.656,88.622,114.744,191.492
,,,,2401,Ambient,195.542,118.429,254.649,74.159,94.758,150.683
,,,,2979,Ambient,193.681,117.678,254.659,69.491,83.007,152.725
,,,,2016,Ambient ,194.162,117.761,254.655,85.755,112.616,184.932
,,,,1238,Ambient,195.104,117.742,254.666,74.69,91,162.381
,,,,2060,Ambient,195.222,117.636,254.659,102.95,127.545,193.236
,,,,2375,Ambient,194.854,117.693,254.653,115.707,139.079,212.73
,,,,1189,Ambient,193.346,117.206,254.654,107.443,141.411,205.825
,,,5,1167,Ambient,175.557,114.055,254.669,98.318,128.224,206.391
,,,,1163,Ambient,175.791,114.929,254.637,116.389,140.947,197.574
,,,,2403,Ambient,175.073,115.278,254.655,132.454,151.029,217.731
,,,,2305,Ambient ,176.032,114.146,254.666,94.116,124.462,197.015
,,,,1105,Ambinet ,175.392,113.777,254.654,107.083,126.244,199.562
,,,,2198,Ambient,175.387,114.475,254.639,97.277,124.085,198.502
,,,,2730,Ambient ,175.347,114.92,254.665,109.777,145.316,203.103
,,,,2190,Ambient,175.871,114.049,254.661,74.384,113.604,194.362
,,,,2000,Ambient,175.489,113.9,254.652,81.537,107.325,184.535
,,,,1109,Ambient ,175.727,113.742,254.677,68.05,83.663,159.124
,,,,1814,Ambient ,176.066,112.933,254.647,74.519,96.141,185.254
,,,,1058,Ambient,175.984,114.308,254.674,59.696,84.809,166.72
,,,,1448,Ambient ,176.294,113.789,254.663,135.826,163.42,235.481
,,,,1170,Ambient,174.798,113.892,254.661,127.034,135.383,208.587
,,,,1077,Ambient,175.668,114.047,254.66,90.457,122.287,202.682
,,,3,2414,Heat,210.898,124.743,254.579,124.138,147.711,216.438
,,,,2301,Heat,212.277,124.306,254.569,132.595,153.727,207.685
,,,,1186,Heat,212.905,124.79,254.583,119.574,136.908,189.107
,,,,1499,Heat,214.326,124.497,254.563,129.234,157.657,217.779
,,,,1125,Heat,214.299,124.502,254.591,136.839,142.063,203.258
,,,,1075,Heat,213.557,124.552,254.584,126.033,148.75,216.471
,,,,2202,Heat,214.312,124.733,254.58,123.588,134.542,195.269
,,,,1735,Heat,213.961,124.654,254.588,137.08,152.987,218.676
,,,,1483,Heat,214.712,124.914,254.564,113.967,123.493,180.157
,,,,1250,Heat,214.181,124.417,254.58,111.175,143.049,207.047
,,,,2079,Heat,214.492,123.929,254.578,118.227,133.365,199.648
,,,,1647,Heat,214.623,124.521,254.554,119.638,155.245,219.568
,,,,2563,Heat,214.999,124.856,254.576,134.501,175.761,236.697
,,,,1618,Heat,215.367,124.76,254.593,84.609,97.415,159.53
