#,Date-Time (EST),Ch: 1 - Temperature  °C (°C),Ch: 2 - Light  lux (lux),Button Down,Button Up,Host Connected,End of File
1,02/06/2021 20:00:00,4.97,1336,,,,
2,02/06/2021 20:10:00,5.36,1189,,,,
3,02/06/2021 20:20:00,5.62,1012,,,,
4,02/06/2021 20:30:00,5.79,852,,,,
5,02/06/2021 20:40:00,5.40,700,,,,
6,02/06/2021 20:50:00,4.93,550,,,,
7,02/06/2021 21:00:00,4.63,480,,,,
8,02/06/2021 21:10:00,4.46,400,,,,
9,02/06/2021 21:20:00,4.72,316,,,,
10,02/06/2021 21:30:00,5.10,243,,,,
11,02/06/2021 21:40:00,5.32,161,,,,
12,02/06/2021 21:50:00,5.49,86,,,,
13,02/06/2021 22:00:00,5.70,0,,,,
14,02/06/2021 22:10:00,5.79,0,,,,
15,02/06/2021 22:20:00,5.45,0,,,,
16,02/06/2021 22:30:00,4.97,0,,,,
17,02/06/2021 22:40:00,4.63,0,,,,
18,02/06/2021 22:50:00,4.42,0,,,,
19,02/06/2021 23:00:00,4.80,0,,,,
20,02/06/2021 23:10:00,5.06,0,,,,
21,02/06/2021 23:20:00,5.32,0,,,,
22,02/06/2021 23:30:00,5.57,0,,,,
23,02/06/2021 23:40:00,5.66,0,,,,
24,02/06/2021 23:50:00,5.79,0,,,,
25,02/07/2021 00:00:00,5.79,0,,,,
26,02/07/2021 00:10:00,5.27,0,,,,
27,02/07/2021 00:20:00,4.84,0,,,,
28,02/07/2021 00:30:00,4.50,0,,,,
29,02/07/2021 00:40:00,4.63,0,,,,
30,02/07/2021 00:50:00,4.97,0,,,,
31,02/07/2021 01:00:00,5.27,0,,,,
32,02/07/2021 01:10:00,5.49,0,,,,
33,02/07/2021 01:20:00,5.62,0,,,,
34,02/07/2021 01:30:00,5.75,0,,,,
35,02/07/2021 01:40:00,5.83,0,,,,
36,02/07/2021 01:50:00,5.36,0,,,,
37,02/07/2021 02:00:00,4.89,0,,,,
38,02/07/2021 02:10:00,4.54,0,,,,
39,02/07/2021 02:20:00,4.59,0,,,,
40,02/07/2021 02:30:00,4.93,0,,,,
41,02/07/2021 02:40:00,5.19,0,,,,
42,02/07/2021 02:50:00,5.49,0,,,,
43,02/07/2021 03:00:00,5.66,0,,,,
44,02/07/2021 03:10:00,5.83,0,,,,
45,02/07/2021 03:20:00,5.53,0,,,,
46,02/07/2021 03:30:00,4.97,0,,,,
47,02/07/2021 03:40:00,4.63,0,,,,
48,02/07/2021 03:50:00,4.46,0,,,,
49,02/07/2021 04:00:00,4.80,0,,,,
50,02/07/2021 04:10:00,5.23,0,,,,
51,02/07/2021 04:20:00,5.53,0,,,,
52,02/07/2021 04:30:00,5.75,0,,,,
53,02/07/2021 04:40:00,5.53,0,,,,
54,02/07/2021 04:50:00,5.15,0,,,,
55,02/07/2021 05:00:00,4.80,0,,,,
56,02/07/2021 05:10:00,4.59,0,,,,
57,02/07/2021 05:20:00,4.46,0,,,,
58,02/07/2021 05:30:00,4.63,0,,,,
59,02/07/2021 05:40:00,5.10,0,,,,
60,02/07/2021 05:50:00,5.53,0,,,,
61,02/07/2021 06:00:00,5.79,0,,,,
62,02/07/2021 06:10:00,5.49,72,,,,
63,02/07/2021 06:20:00,5.10,153,,,,
64,02/07/2021 06:30:00,4.80,229,,,,
65,02/07/2021 06:40:00,4.59,302,,,,
66,02/07/2021 06:50:00,4.50,393,,,,
67,02/07/2021 07:00:00,4.63,468,,,,
68,02/07/2021 07:10:00,5.10,540,,,,
69,02/07/2021 07:20:00,5.49,813,,,,
70,02/07/2021 07:30:00,5.79,985,,,,
71,02/07/2021 07:40:00,5.53,1161,,,,
72,02/07/2021 07:50:00,5.19,1311,,,,
73,02/07/2021 08:00:00,4.84,1464,,,,
74,02/07/2021 08:10:00,4.59,1624,,,,
75,02/07/2021 08:20:00,4.50,1766,,,,
76,02/07/2021 08:30:00,4.93,1914,,,,
77,02/07/2021 08:40:00,5.32,2063,,,,
78,02/07/2021 08:50:00,5.53,2220,,,,
79,02/07/2021 09:00:00,5.83,2367,,,,
80,02/07/2021 09:10:00,5.57,2493,,,,
81,02/07/2021 09:20:00,5.15,2648,,,,
82,02/07/2021 09:30:00,4.80,2784,,,,
83,02/07/2021 09:40:00,4.59,2913,,,,
84,02/07/2021 09:50:00,4.67,3053,,,,
85,02/07/2021 10:00:00,5.10,3180,,,,
86,02/07/2021 10:10:00,5.45,3197,,,,
87,02/07/2021 10:20:00,5.70,3197,,,,
88,02/07/2021 10:30:00,5.92,3188,,,,
89,02/07/2021 10:40:00,5.53,3164,,,,
90,02/07/2021 10:50:00,5.06,3176,,,,
91,02/07/2021 11:00:00,4.76,3178,,,,
92,02/07/2021 11:10:00,4.50,3191,,,,
93,02/07/2021 11:20:00,4.89,3169,,,,
94,02/07/2021 11:30:00,5.19,3180,,,,
95,02/07/2021 11:40:00,5.49,3195,,,,
96,02/07/2021 11:50:00,5.70,3160,,,,
97,02/07/2021 12:00:00,5.87,3178,,,,
98,02/07/2021 12:10:00,5.66,3167,,,,
99,02/07/2021 12:20:00,5.15,3171,,,,
100,02/07/2021 12:30:00,4.80,3178,,,,
101,02/07/2021 12:40:00,4.59,3173,,,,
102,02/07/2021 12:50:00,4.89,3181,,,,
103,02/07/2021 13:00:00,5.23,3167,,,,
104,02/07/2021 13:10:00,5.49,3185,,,,
105,02/07/2021 13:20:00,5.66,3181,,,,
106,02/07/2021 13:30:00,5.79,3180,,,,
107,02/07/2021 13:40:00,5.83,3171,,,,
108,02/07/2021 13:50:00,5.36,3180,,,,
109,02/07/2021 14:00:00,4.89,3174,,,,
110,02/07/2021 14:10:00,4.59,3162,,,,
111,02/07/2021 14:20:00,4.76,3183,,,,
112,02/07/2021 14:30:00,5.06,3162,,,,
113,02/07/2021 14:40:00,5.32,3176,,,,
114,02/07/2021 14:50:00,5.45,3165,,,,
115,02/07/2021 15:00:00,5.57,3154,,,,
116,02/07/2021 15:10:00,5.75,3165,,,,
117,02/07/2021 15:20:00,5.79,3149,,,,
118,02/07/2021 15:30:00,5.83,3146,,,,
119,02/07/2021 15:40:00,5.87,3162,,,,
120,02/07/2021 15:50:00,5.40,3164,,,,
121,02/07/2021 16:00:00,4.89,3174,,,,
122,02/07/2021 16:10:00,4.50,3121,,,,
123,02/07/2021 16:20:00,4.72,3156,,,,
124,02/07/2021 16:30:00,5.02,3162,,,,
125,02/07/2021 16:40:00,5.19,3185,,,,
126,02/07/2021 16:50:00,5.40,3169,,,,
127,02/07/2021 17:00:00,5.49,3174,,,,
128,02/07/2021 17:10:00,5.62,3169,,,,
129,02/07/2021 17:20:00,5.75,3173,,,,
130,02/07/2021 17:30:00,5.83,3162,,,,
131,02/07/2021 17:40:00,5.87,3155,,,,
132,02/07/2021 17:50:00,5.87,3176,,,,
133,02/07/2021 18:00:00,5.32,3176,,,,
134,02/07/2021 18:10:00,4.84,3050,,,,
135,02/07/2021 18:20:00,4.59,2920,,,,
136,02/07/2021 18:30:00,4.89,2776,,,,
137,02/07/2021 18:40:00,5.15,2656,,,,
138,02/07/2021 18:50:00,5.32,2491,,,,
139,02/07/2021 19:00:00,5.49,2376,,,,
140,02/07/2021 19:10:00,5.66,2234,,,,
141,02/07/2021 19:20:00,5.79,2098,,,,
142,02/07/2021 19:30:00,5.87,1767,,,,
143,02/07/2021 19:40:00,5.40,1611,,,,
144,02/07/2021 19:50:00,4.97,1460,,,,
145,02/07/2021 20:00:00,4.59,1322,,,,
146,02/07/2021 20:10:00,4.63,1159,,,,
147,02/07/2021 20:20:00,4.93,1005,,,,
148,02/07/2021 20:30:00,5.23,842,,,,
149,02/07/2021 20:40:00,5.40,692,,,,
150,02/07/2021 20:50:00,5.53,544,,,,
151,02/07/2021 21:00:00,5.70,476,,,,
152,02/07/2021 21:10:00,5.83,397,,,,
153,02/07/2021 21:20:00,5.87,316,,,,
154,02/07/2021 21:30:00,5.62,239,,,,
155,02/07/2021 21:40:00,5.02,162,,,,
156,02/07/2021 21:50:00,4.54,85,,,,
157,02/07/2021 22:00:00,4.59,0,,,,
158,02/07/2021 22:10:00,4.84,0,,,,
159,02/07/2021 22:20:00,5.02,0,,,,
160,02/07/2021 22:30:00,5.19,0,,,,
161,02/07/2021 22:40:00,5.36,0,,,,
162,02/07/2021 22:50:00,5.45,0,,,,
163,02/07/2021 23:00:00,5.49,0,,,,
164,02/07/2021 23:10:00,5.57,0,,,,
165,02/07/2021 23:20:00,5.66,0,,,,
166,02/07/2021 23:30:00,5.66,0,,,,
167,02/07/2021 23:40:00,5.70,0,,,,
168,02/07/2021 23:50:00,5.70,0,,,,
169,02/08/2021 00:00:00,5.70,0,,,,
170,02/08/2021 00:10:00,5.75,0,,,,
171,02/08/2021 00:20:00,5.75,0,,,,
172,02/08/2021 00:30:00,5.70,0,,,,
173,02/08/2021 00:40:00,5.75,0,,,,
174,02/08/2021 00:50:00,5.70,0,,,,
175,02/08/2021 01:00:00,5.75,0,,,,
