Serial Number:21002982 --

"Date Time, GMT -0400","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2021-04-30 14:00:00,9.61,"3,635", , , , 
2021-04-30 14:10:00,9.74,"3,478", , , , 
2021-04-30 14:20:00,9.78,"3,315", , , , 
2021-04-30 14:30:00,9.69,"3,149", , , , 
2021-04-30 14:40:00,9.65,"2,961", , , , 
2021-04-30 14:50:00,9.82,"2,812", , , , 
2021-04-30 15:00:00,9.65,"2,665", , , , 
2021-04-30 15:10:00,9.69,"2,451", , , , 
2021-04-30 15:20:00,9.82,"2,268", , , , 
2021-04-30 15:30:00,9.56,"2,052", , , , 
2021-04-30 15:40:00,9.74,"1,862", , , , 
2021-04-30 15:50:00,9.78,"1,668", , , , 
2021-04-30 16:00:00,9.56,"1,461", , , , 
2021-04-30 16:10:00,9.78,"1,245", , , , 
2021-04-30 16:20:00,9.69,"1,052", , , , 
2021-04-30 16:30:00,9.65,838, , , , 
2021-04-30 16:40:00,9.78,637, , , , 
2021-04-30 16:50:00,9.56,509, , , , 
2021-04-30 17:00:00,9.78,436, , , , 
2021-04-30 17:10:00,9.61,367, , , , 
2021-04-30 17:20:00,9.69,295, , , , 
2021-04-30 17:30:00,9.65,223, , , , 
2021-04-30 17:40:00,9.74,147, , , , 
2021-04-30 17:50:00,9.69,76, , , , 
2021-04-30 18:00:00,9.65,0, , , , 
2021-04-30 18:10:00,9.74,0, , , , 
2021-04-30 18:20:00,9.65,0, , , , 
2021-04-30 18:30:00,9.74,0, , , , 
2021-04-30 18:40:00,9.61,0, , , , 
2021-04-30 18:50:00,9.82,0, , , , 
2021-04-30 19:00:00,9.61,0, , , , 
2021-04-30 19:10:00,9.78,0, , , , 
2021-04-30 19:20:00,9.56,0, , , , 
2021-04-30 19:30:00,9.82,0, , , , 
2021-04-30 19:40:00,9.52,0, , , , 
2021-04-30 19:50:00,9.74,0, , , , 
2021-04-30 20:00:00,9.65,0, , , , 
2021-04-30 20:10:00,9.61,0, , , , 
2021-04-30 20:20:00,9.78,0, , , , 
2021-04-30 20:30:00,9.56,0, , , , 
2021-04-30 20:40:00,9.69,0, , , , 
2021-04-30 20:50:00,9.74,0, , , , 
2021-04-30 21:00:00,9.52,0, , , , 
2021-04-30 21:10:00,9.74,0, , , , 
2021-04-30 21:20:00,9.56,0, , , , 
2021-04-30 21:30:00,9.61,0, , , , 
2021-04-30 21:40:00,9.69,0, , , , 
2021-04-30 21:50:00,9.65,0, , , , 
2021-04-30 22:00:00,9.52,0, , , , 
2021-04-30 22:10:00,9.69,0, , , , 
2021-04-30 22:20:00,9.69,0, , , , 
2021-04-30 22:30:00,9.52,0, , , , 
2021-04-30 22:40:00,9.65,0, , , , 
2021-04-30 22:50:00,9.69,0, , , , 
2021-04-30 23:00:00,9.52,0, , , , 
2021-04-30 23:10:00,9.65,0, , , , 
2021-04-30 23:20:00,9.74,0, , , , 
2021-04-30 23:30:00,9.56,0, , , , 
2021-04-30 23:40:00,9.61,0, , , , 
2021-04-30 23:50:00,9.69,0, , , , 
2021-05-01 00:00:00,9.56,0, , , , 
2021-05-01 00:10:00,9.52,0, , , , 
2021-05-01 00:20:00,9.74,0, , , , 
2021-05-01 00:30:00,9.61,0, , , , 
2021-05-01 00:40:00,9.52,0, , , , 
2021-05-01 00:50:00,9.69,0, , , , 
2021-05-01 01:00:00,9.69,0, , , , 
2021-05-01 01:10:00,9.52,0, , , , 
2021-05-01 01:20:00,9.56,0, , , , 
2021-05-01 01:30:00,9.69,0, , , , 
2021-05-01 01:40:00,9.61,0, , , , 
2021-05-01 01:50:00,9.52,0, , , , 
2021-05-01 02:00:00,9.61,0, , , , 
2021-05-01 02:10:00,9.65,0, , , , 
2021-05-01 02:20:00,9.65,0, , , , 
2021-05-01 02:30:00,9.52,0, , , , 
2021-05-01 02:40:00,9.56,0, , , , 
2021-05-01 02:50:00,9.69,0, , , , 
2021-05-01 03:00:00,9.65,0, , , , 
2021-05-01 03:10:00,9.48,0, , , , 
2021-05-01 03:20:00,9.65,0, , , , 
2021-05-01 03:30:00,9.69,0, , , , 
2021-05-01 03:40:00,9.52,0, , , , 
2021-05-01 03:50:00,9.56,0, , , , 
2021-05-01 04:00:00,9.69,0, , , , 
2021-05-01 04:10:00,9.61,0, , , , 
2021-05-01 04:20:00,9.52,0, , , , 
2021-05-01 04:30:00,9.65,0, , , , 
2021-05-01 04:40:00,9.65,0, , , , 
2021-05-01 04:50:00,9.48,0, , , , 
2021-05-01 05:00:00,9.65,0, , , , 
2021-05-01 05:10:00,9.74,0, , , , 
2021-05-01 05:20:00,9.52,0, , , , 
2021-05-01 05:30:00,9.56,0, , , , 
2021-05-01 05:40:00,9.74,0, , , , 
2021-05-01 05:50:00,9.56,0, , , , 
2021-05-01 06:00:00,9.61,0, , , , 
2021-05-01 06:10:00,9.74,66, , , , 
2021-05-01 06:20:00,9.56,137, , , , 
2021-05-01 06:30:00,9.61,210, , , , 
2021-05-01 06:40:00,9.74,280, , , , 
2021-05-01 06:50:00,9.61,356, , , , 
2021-05-01 07:00:00,9.61,419, , , , 
2021-05-01 07:10:00,9.78,490, , , , 
2021-05-01 07:20:00,9.56,608, , , , 
2021-05-01 07:30:00,9.65,789, , , , 
2021-05-01 07:40:00,9.78,"1,006", , , , 
2021-05-01 07:50:00,9.56,"1,205", , , , 
2021-05-01 08:00:00,9.69,"1,399", , , , 
2021-05-01 08:10:00,9.78,"1,610", , , , 
2021-05-01 08:20:00,9.61,"1,825", , , , 
2021-05-01 08:30:00,9.69,"2,008", , , , 
2021-05-01 08:40:00,9.78,"2,209", , , , 
2021-05-01 08:50:00,9.61,"2,410", , , , 
2021-05-01 09:00:00,9.69,"2,614", , , , 
2021-05-01 09:10:00,9.82,"2,756", , , , 
2021-05-01 09:20:00,9.61,"2,968", , , , 
2021-05-01 09:30:00,9.82,"3,144", , , , 
2021-05-01 09:40:00,9.78,"3,332", , , , 
2021-05-01 09:50:00,9.65,"3,501", , , , 
2021-05-01 10:00:00,9.82,"3,661", , , , 
2021-05-01 10:10:00,9.69,"3,685", , , , 
2021-05-01 10:20:00,9.65,"3,672", , , , 
2021-05-01 10:30:00,9.86,"3,685", , , , 
2021-05-01 10:40:00,9.65,"3,667", , , , 
2021-05-01 10:50:00,9.74,"3,679", , , , 
2021-05-01 11:00:00,9.82,"3,648", , , , 
2021-05-01 11:10:00,9.61,"3,679", , , , 
2021-05-01 11:20:00,9.78,"3,651", , , , 
2021-05-01 11:30:00,9.78,"3,672", , , , 
2021-05-01 11:40:00,9.65,"3,663", , , , 
2021-05-01 11:50:00,9.78,"3,648", , , , 
2021-05-01 12:00:00,9.74,"3,663", , , , 
2021-05-01 12:10:00,9.65,"3,663", , , , 
2021-05-01 12:20:00,9.82,"3,620", , , , 
2021-05-01 12:30:00,9.65,"3,679", , , , 
2021-05-01 12:40:00,9.74,"3,661", , , , 
2021-05-01 12:50:00,9.86,"3,672", , , , 
