"Plot Title: 20444034"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20444034, SEN S/N: 20444034, LBL: Celcius)","Coupler Detached (LGR S/N: 20444034)","Coupler Attached (LGR S/N: 20444034)","Host Connected (LGR S/N: 20444034)","Stopped (LGR S/N: 20444034)","End Of File (LGR S/N: 20444034)"
1,12/21/20 01:00:00 PM,20.412,Logged,,,,
2,12/21/20 01:10:00 PM,20.246,,,,,
3,12/21/20 01:20:00 PM,20.126,,,,,
4,12/21/20 01:30:00 PM,20.103,,,,,
5,12/21/20 01:40:00 PM,20.198,,,,,
6,12/21/20 01:50:00 PM,15.867,,,,,
7,12/21/20 02:00:00 PM,7.920,,,,,
8,12/21/20 02:10:00 PM,7.544,,,,,
9,12/21/20 02:20:00 PM,7.444,,,,,
10,12/21/20 02:30:00 PM,7.343,,,,,
11,12/21/20 02:40:00 PM,7.293,,,,,
12,12/21/20 02:50:00 PM,7.242,,,,,
13,12/21/20 03:00:00 PM,7.192,,,,,
14,12/21/20 03:10:00 PM,7.142,,,,,
15,12/21/20 03:20:00 PM,7.091,,,,,
16,12/21/20 03:30:00 PM,7.066,,,,,
17,12/21/20 03:40:00 PM,7.041,,,,,
18,12/21/20 03:50:00 PM,7.015,,,,,
19,12/21/20 04:00:00 PM,7.015,,,,,
20,12/21/20 04:10:00 PM,6.990,,,,,
21,12/21/20 04:20:00 PM,6.965,,,,,
22,12/21/20 04:30:00 PM,6.965,,,,,
23,12/21/20 04:40:00 PM,6.940,,,,,
24,12/21/20 04:50:00 PM,6.940,,,,,
25,12/21/20 05:00:00 PM,6.940,,,,,
26,12/21/20 05:10:00 PM,6.940,,,,,
27,12/21/20 05:20:00 PM,6.940,,,,,
28,12/21/20 05:30:00 PM,6.940,,,,,
29,12/21/20 05:40:00 PM,6.965,,,,,
30,12/21/20 05:50:00 PM,6.965,,,,,
31,12/21/20 06:00:00 PM,6.990,,,,,
32,12/21/20 06:10:00 PM,6.990,,,,,
33,12/21/20 06:20:00 PM,6.990,,,,,
34,12/21/20 06:30:00 PM,7.015,,,,,
35,12/21/20 06:40:00 PM,7.015,,,,,
36,12/21/20 06:50:00 PM,7.041,,,,,
37,12/21/20 07:00:00 PM,7.041,,,,,
38,12/21/20 07:10:00 PM,7.066,,,,,
39,12/21/20 07:20:00 PM,7.091,,,,,
40,12/21/20 07:30:00 PM,7.091,,,,,
41,12/21/20 07:40:00 PM,7.116,,,,,
42,12/21/20 07:50:00 PM,7.142,,,,,
43,12/21/20 08:00:00 PM,7.142,,,,,
44,12/21/20 08:10:00 PM,7.167,,,,,
45,12/21/20 08:20:00 PM,7.192,,,,,
46,12/21/20 08:30:00 PM,7.242,,,,,
47,12/21/20 08:40:00 PM,7.293,,,,,
48,12/21/20 08:50:00 PM,7.368,,,,,
49,12/21/20 09:00:00 PM,7.419,,,,,
50,12/21/20 09:10:00 PM,7.469,,,,,
51,12/21/20 09:20:00 PM,7.519,,,,,
52,12/21/20 09:30:00 PM,7.594,,,,,
53,12/21/20 09:40:00 PM,7.645,,,,,
54,12/21/20 09:50:00 PM,7.670,,,,,
55,12/21/20 10:00:00 PM,7.720,,,,,
56,12/21/20 10:10:00 PM,7.770,,,,,
57,12/21/20 10:20:00 PM,7.820,,,,,
58,12/21/20 10:30:00 PM,7.870,,,,,
59,12/21/20 10:40:00 PM,7.920,,,,,
60,12/21/20 10:50:00 PM,7.970,,,,,
61,12/21/20 11:00:00 PM,7.970,,,,,
62,12/21/20 11:10:00 PM,7.945,,,,,
63,12/21/20 11:20:00 PM,7.945,,,,,
64,12/21/20 11:30:00 PM,7.895,,,,,
65,12/21/20 11:40:00 PM,7.895,,,,,
66,12/21/20 11:50:00 PM,7.895,,,,,
67,12/22/20 12:00:00 AM,7.895,,,,,
68,12/22/20 12:10:00 AM,7.895,,,,,
69,12/22/20 12:20:00 AM,7.920,,,,,
70,12/22/20 12:30:00 AM,7.920,,,,,
71,12/22/20 12:40:00 AM,7.895,,,,,
72,12/22/20 12:50:00 AM,7.845,,,,,
73,12/22/20 01:00:00 AM,7.820,,,,,
74,12/22/20 01:10:00 AM,7.795,,,,,
75,12/22/20 01:20:00 AM,7.770,,,,,
76,12/22/20 01:30:00 AM,7.745,,,,,
77,12/22/20 01:40:00 AM,7.720,,,,,
78,12/22/20 01:50:00 AM,7.670,,,,,
79,12/22/20 02:00:00 AM,7.619,,,,,
80,12/22/20 02:10:00 AM,7.544,,,,,
81,12/22/20 02:20:00 AM,7.494,,,,,
82,12/22/20 02:30:00 AM,7.419,,,,,
83,12/22/20 02:40:00 AM,7.368,,,,,
84,12/22/20 02:50:00 AM,7.318,,,,,
85,12/22/20 03:00:00 AM,7.268,,,,,
86,12/22/20 03:10:00 AM,7.242,,,,,
87,12/22/20 03:20:00 AM,7.217,,,,,
88,12/22/20 03:30:00 AM,7.192,,,,,
89,12/22/20 03:40:00 AM,7.192,,,,,
90,12/22/20 03:50:00 AM,7.192,,,,,
91,12/22/20 04:00:00 AM,7.192,,,,,
92,12/22/20 04:10:00 AM,7.192,,,,,
93,12/22/20 04:20:00 AM,7.192,,,,,
94,12/22/20 04:30:00 AM,7.217,,,,,
95,12/22/20 04:40:00 AM,7.217,,,,,
96,12/22/20 04:50:00 AM,7.242,,,,,
97,12/22/20 05:00:00 AM,7.242,,,,,
98,12/22/20 05:10:00 AM,7.268,,,,,
99,12/22/20 05:20:00 AM,7.268,,,,,
100,12/22/20 05:30:00 AM,7.293,,,,,
101,12/22/20 05:40:00 AM,7.293,,,,,
102,12/22/20 05:50:00 AM,7.293,,,,,
103,12/22/20 06:00:00 AM,7.293,,,,,
104,12/22/20 06:10:00 AM,7.293,,,,,
105,12/22/20 06:20:00 AM,7.318,,,,,
106,12/22/20 06:30:00 AM,7.318,,,,,
107,12/22/20 06:40:00 AM,7.343,,,,,
108,12/22/20 06:50:00 AM,7.343,,,,,
109,12/22/20 07:00:00 AM,7.368,,,,,
110,12/22/20 07:10:00 AM,7.393,,,,,
111,12/22/20 07:20:00 AM,7.444,,,,,
112,12/22/20 07:30:00 AM,7.469,,,,,
113,12/22/20 07:40:00 AM,7.494,,,,,
114,12/22/20 07:50:00 AM,7.519,,,,,
115,12/22/20 08:00:00 AM,7.544,,,,,
116,12/22/20 08:10:00 AM,7.569,,,,,
117,12/22/20 08:20:00 AM,7.569,,,,,
118,12/22/20 08:30:00 AM,7.569,,,,,
119,12/22/20 08:40:00 AM,7.569,,,,,
120,12/22/20 08:50:00 AM,7.569,,,,,
121,12/22/20 09:00:00 AM,7.569,,,,,
122,12/22/20 09:10:00 AM,7.569,,,,,
123,12/22/20 09:20:00 AM,7.594,,,,,
124,12/22/20 09:30:00 AM,7.619,,,,,
125,12/22/20 09:40:00 AM,7.670,,,,,
126,12/22/20 09:50:00 AM,7.745,,,,,
127,12/22/20 10:00:00 AM,7.795,,,,,
128,12/22/20 10:10:00 AM,7.845,,,,,
129,12/22/20 10:20:00 AM,7.920,,,,,
130,12/22/20 10:30:00 AM,7.995,,,,,
131,12/22/20 10:40:00 AM,8.070,,,,,
132,12/22/20 10:50:00 AM,8.120,,,,,
133,12/22/20 11:00:00 AM,8.170,,,,,
134,12/22/20 11:10:00 AM,8.195,,,,,
135,12/22/20 11:20:00 AM,8.195,,,,,
136,12/22/20 11:30:00 AM,8.145,,,,,
137,12/22/20 11:40:00 AM,8.070,,,,,
138,12/22/20 11:50:00 AM,7.995,,,,,
139,12/22/20 12:00:00 PM,7.945,,,,,
140,12/22/20 12:10:00 PM,7.920,,,,,
141,12/22/20 12:20:00 PM,7.970,,,,,
142,12/22/20 12:30:00 PM,8.020,,,,,
143,12/22/20 12:40:00 PM,8.070,,,,,
144,12/22/20 12:50:00 PM,8.070,,,,,
145,12/22/20 01:00:00 PM,8.020,,,,,
146,12/22/20 01:10:00 PM,7.945,,,,,
