"Plot Title: 20719657"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20719657, SEN S/N: 20719657)","Coupler Detached (LGR S/N: 20719657)","Coupler Attached (LGR S/N: 20719657)","End Of File (LGR S/N: 20719657)"
1,02/06/21 04:00:00 PM,8.270,Logged,,
2,02/06/21 04:10:00 PM,8.494,,,
3,02/06/21 04:20:00 PM,8.220,,,
4,02/06/21 04:30:00 PM,8.494,,,
5,02/06/21 04:40:00 PM,8.220,,,
6,02/06/21 04:50:00 PM,8.494,,,
7,02/06/21 05:00:00 PM,8.170,,,
8,02/06/21 05:10:00 PM,8.469,,,
9,02/06/21 05:20:00 PM,8.195,,,
10,02/06/21 05:30:00 PM,8.469,,,
11,02/06/21 05:40:00 PM,8.220,,,
12,02/06/21 05:50:00 PM,8.444,,,
13,02/06/21 06:00:00 PM,8.245,,,
14,02/06/21 06:10:00 PM,8.419,,,
15,02/06/21 06:20:00 PM,8.295,,,
16,02/06/21 06:30:00 PM,8.394,,,
17,02/06/21 06:40:00 PM,8.319,,,
18,02/06/21 06:50:00 PM,8.369,,,
19,02/06/21 07:00:00 PM,8.369,,,
20,02/06/21 07:10:00 PM,8.319,,,
21,02/06/21 07:20:00 PM,8.444,,,
22,02/06/21 07:30:00 PM,8.270,,,
23,02/06/21 07:40:00 PM,8.494,,,
24,02/06/21 07:50:00 PM,8.245,,,
25,02/06/21 08:00:00 PM,8.494,,,
26,02/06/21 08:10:00 PM,8.195,,,
27,02/06/21 08:20:00 PM,8.469,,,
28,02/06/21 08:30:00 PM,8.195,,,
29,02/06/21 08:40:00 PM,8.419,,,
30,02/06/21 08:50:00 PM,8.245,,,
31,02/06/21 09:00:00 PM,8.419,,,
32,02/06/21 09:10:00 PM,8.245,,,
33,02/06/21 09:20:00 PM,8.419,,,
34,02/06/21 09:30:00 PM,8.245,,,
35,02/06/21 09:40:00 PM,8.419,,,
36,02/06/21 09:50:00 PM,8.270,,,
37,02/06/21 10:00:00 PM,8.394,,,
38,02/06/21 10:10:00 PM,8.319,,,
39,02/06/21 10:20:00 PM,8.394,,,
40,02/06/21 10:30:00 PM,8.344,,,
41,02/06/21 10:40:00 PM,8.394,,,
42,02/06/21 10:50:00 PM,8.344,,,
43,02/06/21 11:00:00 PM,8.394,,,
44,02/06/21 11:10:00 PM,8.295,,,
45,02/06/21 11:20:00 PM,8.419,,,
46,02/06/21 11:30:00 PM,8.270,,,
47,02/06/21 11:40:00 PM,8.469,,,
48,02/06/21 11:50:00 PM,8.245,,,
49,02/07/21 12:00:00 AM,8.469,,,
50,02/07/21 12:10:00 AM,8.220,,,
51,02/07/21 12:20:00 AM,8.494,,,
52,02/07/21 12:30:00 AM,8.270,,,
53,02/07/21 12:40:00 AM,8.543,,,
54,02/07/21 12:50:00 AM,8.344,,,
55,02/07/21 01:00:00 AM,8.419,,,
56,02/07/21 01:10:00 AM,8.444,,,
57,02/07/21 01:20:00 AM,8.245,,,
58,02/07/21 01:30:00 AM,8.494,,,
