"","Day","WTMP"
"1","1-1",5.25406729797255
"2","1-10",4.41010273872085
"3","1-11",4.40066442576773
"4","1-12",4.81108324448188
"5","1-13",4.98636862854229
"6","1-14",4.76000915824045
"7","1-15",4.39196714479112
"8","1-16",4.08326022392103
"9","1-17",3.78720796540808
"10","1-18",4.05584639186196
"11","1-19",4.16581410557679
"12","1-2",5.18570991769277
"13","1-20",4.00155675667994
"14","1-21",3.59370574587161
"15","1-22",3.39749569272416
"16","1-23",3.53062972240255
"17","1-24",3.44691054805756
"18","1-25",3.36535586056938
"19","1-26",3.30466404916704
"20","1-27",3.27971370910852
"21","1-28",3.38219558541638
"22","1-29",3.53690204549587
"23","1-3",4.8786237972547
"24","1-30",3.3914977093995
"25","1-31",3.37284453945726
"26","1-4",4.66030999027809
"27","1-5",4.66605950872245
"28","1-6",4.58468290634194
"29","1-7",4.5349435298145
"30","1-8",4.41243539778266
"31","1-9",4.41939973206469
"32","10-1",18.0775172834623
"33","10-10",17.1437195149126
"34","10-11",16.9415493880249
"35","10-12",16.7818524905345
"36","10-13",16.5319740984578
"37","10-14",16.4971084475325
"38","10-15",16.4572693866046
"39","10-16",16.2318826471809
"40","10-17",15.8760185302673
"41","10-18",15.6892709521574
"42","10-19",15.5427610061813
"43","10-2",17.9965829741254
"44","10-20",15.5435534432842
"45","10-21",15.5060354255371
"46","10-22",15.3488275344008
"47","10-23",15.0677174996667
"48","10-24",14.8849228608725
"49","10-25",14.6511617337004
"50","10-26",14.4048255637541
"51","10-27",14.2796590902871
"52","10-28",14.3026914692409
"53","10-29",13.9993760086884
"54","10-3",17.8864658670753
"55","10-30",13.6247083251234
"56","10-31",13.5793596792267
"57","10-4",17.7748966414351
"58","10-5",17.7148301555839
"59","10-6",17.5814341144458
"60","10-7",17.6428421918351
"61","10-8",17.4820283537192
"62","10-9",17.3172932247717
"63","11-1",13.6772834463404
"64","11-10",12.4298895509453
"65","11-11",11.9178394002529
"66","11-12",11.7685159473277
"67","11-13",11.6930694327195
"68","11-14",11.5350965608487
"69","11-15",11.4617750685549
"70","11-16",11.6296094586625
"71","11-17",11.2960450795208
"72","11-18",10.8410838900994
"73","11-19",10.5798041670345
"74","11-2",13.4601957850566
"75","11-20",10.3432281589167
"76","11-21",10.0776205697946
"77","11-22",10.0419022964468
"78","11-23",9.85546045265955
"79","11-24",9.55404321317377
"80","11-25",9.41466381913768
"81","11-26",9.60794448367164
"82","11-27",9.83937192570442
"83","11-28",9.58478992763558
"84","11-29",9.19868923978731
"85","11-3",13.0451495607393
"86","11-30",9.24310347037187
"87","11-4",12.8721987862655
"88","11-5",12.9113092353193
"89","11-6",13.0572458413835
"90","11-7",12.862707091129
"91","11-8",12.4621809131706
"92","11-9",12.2964874298232
"93","12-1",9.44247888057197
"94","12-10",7.55439126593253
"95","12-11",7.56203294448036
"96","12-12",7.4282591173852
"97","12-13",7.41538986010277
"98","12-14",7.22762328164378
"99","12-15",7.21776191944252
"100","12-16",6.92754736260806
"101","12-17",6.69570230496096
"102","12-18",6.40849805334283
"103","12-19",6.03834318004176
"104","12-2",9.20971941477652
"105","12-20",5.95827944057943
"106","12-21",6.15035120889457
"107","12-22",6.26633096442069
"108","12-23",6.14754885694378
"109","12-24",6.3293062531966
"110","12-25",6.58331369021653
"111","12-26",6.30880284184892
"112","12-27",6.3392575681134
"113","12-28",6.16571282506277
"114","12-29",6.00148445214762
"115","12-3",9.02678940122354
"116","12-30",5.66263500132291
"117","12-31",5.53501037263014
"118","12-4",8.75957068953449
"119","12-5",8.42304899481422
"120","12-6",8.2848273721287
"121","12-7",7.88558341419468
"122","12-8",7.56504197707899
"123","12-9",7.26207945238462
"124","2-1",3.20736647384087
"125","2-10",2.74105453358147
"126","2-11",2.77401570294396
"127","2-12",2.80952279160122
"128","2-13",2.75381201665947
"129","2-14",2.71170295902866
"130","2-15",2.77881915957695
"131","2-16",2.7477925823434
"132","2-17",2.80907613553447
"133","2-18",2.77180529301336
"134","2-19",2.69114330730377
"135","2-2",3.43636524591867
"136","2-20",2.68805469599546
"137","2-21",2.85985142584744
"138","2-22",3.05274272557842
"139","2-23",3.24789617216378
"140","2-24",3.09951395426902
"141","2-25",3.21239388615746
"142","2-26",3.13702178122158
"143","2-27",2.99815125049623
"144","2-28",3.05653317036722
"145","2-29",3.79154128402134
"146","2-3",3.35833264090013
"147","2-4",3.22577621404943
"148","2-5",3.22338081792542
"149","2-6",3.04624830108474
"150","2-7",3.12345658287196
"151","2-8",3.20595123185582
"152","2-9",2.84083365390919
"153","3-1",3.07141484751427
"154","3-10",3.55905851252863
"155","3-11",3.7482284702027
"156","3-12",3.85957291692985
"157","3-13",3.88285348801796
"158","3-14",3.98792190252317
"159","3-15",4.03639702941667
"160","3-16",4.0356267143601
"161","3-17",4.06009621069556
"162","3-18",4.23841035940084
"163","3-19",4.31038009310311
"164","3-2",3.06732865384573
"165","3-20",4.43624874365016
"166","3-21",4.44536428665649
"167","3-22",4.44422377144735
"168","3-23",4.39654454152375
"169","3-24",4.36451184912167
"170","3-25",4.51676111898454
"171","3-26",4.5404106857911
"172","3-27",4.47056653278585
"173","3-28",4.71773079577611
"174","3-29",4.83827499782931
"175","3-3",2.96939954577065
"176","3-30",4.94329141281999
"177","3-31",5.17952037795648
"178","3-4",2.82126185059434
"179","3-5",2.84173646152879
"180","3-6",2.90633943598312
"181","3-7",3.0670313884643
"182","3-8",3.12110339410857
"183","3-9",3.41298885398819
"184","4-1",5.27629134150533
"185","4-10",6.54129977660927
"186","4-11",6.95856241716833
"187","4-12",6.97958965696215
"188","4-13",7.10084025716255
"189","4-14",7.4124140435825
"190","4-15",7.38442385166613
"191","4-16",7.2796596154714
"192","4-17",7.4392116286269
"193","4-18",7.66410304203137
"194","4-19",7.94133309691981
"195","4-2",5.36232076622992
"196","4-20",8.06024156890216
"197","4-21",8.05092425149109
"198","4-22",8.41909685979521
"199","4-23",8.37516544958479
"200","4-24",8.47106002927469
"201","4-25",8.93622476772391
"202","4-26",9.03354507102738
"203","4-27",9.01056245423129
"204","4-28",9.07728265726916
"205","4-29",9.40790075354679
"206","4-3",5.5777450698824
"207","4-30",9.49001435936619
"208","4-4",5.69994018869532
"209","4-5",5.72621089019161
"210","4-6",5.96844369744945
"211","4-7",6.22622872448074
"212","4-8",6.17482770940217
"213","4-9",6.29871775717063
"214","5-1",9.67285673746454
