YYYY	MM	DD	hh	WD	WSP	D GST	WVHT	DPD	APD	MWD	BAR	ATMP	WTMP	DEWP	VIS	TIDE
2004	11	1	22	355	3.6	8.7	99	99	99	999	1017.8	13.2	13.7	999	99	99
2004	11	1	23	1	3.5	8.6	99	99	99	999	1018.7	12.5	13.6	999	99	99
2004	11	2	0	3	3.6	5.1	99	99	99	999	1020.1	11.7	13.5	999	99	99
2004	11	2	1	32	4.2	8.3	99	99	99	999	1020.9	11.1	13.5	999	99	99
2004	11	2	2	62	3.9	10.3	99	99	99	999	1022	9.8	13.6	999	99	99
2004	11	2	3	50	4.4	5.8	99	99	99	999	1022	9.3	13.4	999	99	99
2004	11	2	4	34	4.4	7.3	99	99	99	999	1022.3	8.5	13.3	999	99	99
2004	11	2	5	26	4	8.2	99	99	99	999	1022.3	8.1	13.3	999	99	99
2004	11	2	6	32	3.8	6.5	99	99	99	999	1022.8	7.8	13.2	999	99	99
2004	11	2	7	38	3.6	5.8	99	99	99	999	1023.3	7.6	13.2	999	99	99
2004	11	2	8	57	2.7	6.5	99	99	99	999	1023.3	6.8	13.2	999	99	99
2004	11	2	9	61	3.1	4.6	99	99	99	999	1023.2	6.4	13.2	999	99	99
2004	11	2	10	32	2	4.5	99	99	99	999	1023.4	6.2	13.3	999	99	99
2004	11	2	11	28	2.2	4.5	99	99	99	999	1024.3	6.6	13.2	999	99	99
2004	11	2	12	56	2.9	4.4	99	99	99	999	1024.1	7.2	13.1	999	99	99
2004	11	2	13	46	4.5	5.3	99	99	99	999	1024.4	7.3	13.2	999	99	99
2004	11	2	14	18	0.1	1.3	99	99	99	999	1024	8.2	13.1	999	99	99
2004	11	2	15	213	0	0.6	99	99	99	999	1023.8	9.5	13	999	99	99
2004	11	2	16	140	2.8	4.2	99	99	99	999	1023.1	9.8	13	999	99	99
2004	11	2	17	185	1.1	4	99	99	99	999	1022.2	10	13	999	99	99
2004	11	2	18	165	4.1	5	99	99	99	999	1021	10.6	12.6	999	99	99
2004	11	2	19	186	4.3	6.2	99	99	99	999	1020.2	10.9	12.8	999	99	99
2004	11	2	20	207	4.5	6	99	99	99	999	1019.8	11.3	12.7	999	99	99
2004	11	2	21	200	5.8	7.1	99	99	99	999	1018.5	11.3	12.9	999	99	99
2004	11	2	22	209	4.8	7	99	99	99	999	1018.1	11.5	12.8	999	99	99
2004	11	2	23	209	5.5	8	99	99	99	999	1017.7	11.7	12.8	999	99	99
2004	11	3	0	196	6.6	7.8	99	99	99	999	1016.4	12	12.8	999	99	99
2004	11	3	1	205	6.5	10.2	99	99	99	999	1015.1	12.6	12.9	999	99	99
2004	11	3	2	222	5.5	8.2	99	99	99	999	1014.5	13.3	13	999	99	99
2004	11	3	3	209	4.2	5.5	99	99	99	999	1012.9	13.4	13	999	99	99
2004	11	3	4	216	4.3	6	99	99	99	999	1011.4	13.7	13	999	99	99
2004	11	3	5	230	4.9	6	99	99	99	999	1010	13.9	13	999	99	99
2004	11	3	6	246	4.2	5.9	99	99	99	999	1009.2	14.5	12.9	999	99	99
2004	11	3	7	240	4.2	5.7	99	99	99	999	1008	14.4	12.9	999	99	99
2004	11	3	8	262	0.4	6.1	99	99	99	999	1006.8	14.4	12.8	999	99	99
2004	11	3	9	293	2.5	3.4	99	99	99	999	1007	14.4	12.9	999	99	99
2004	11	3	10	326	3.3	4.6	99	99	99	999	1007.3	14.3	13.1	999	99	99
2004	11	3	11	354	6.2	9.1	99	99	99	999	1008.3	14.2	13.1	999	99	99
2004	11	3	12	351	6.7	12.9	99	99	99	999	1009.9	13.6	13.1	999	99	99
2004	11	3	13	350	8.9	12.2	99	99	99	999	1011.7	12.7	13.1	999	99	99
2004	11	3	14	349	7.9	11.5	99	99	99	999	1012.5	13.2	13.1	999	99	99
2004	11	3	15	2	4.6	13.1	99	99	99	999	1013.7	13.1	13	999	99	99
2004	11	3	16	15	7.3	12.8	99	99	99	999	1014	13	13.2	999	99	99
2004	11	3	17	359	7.6	9.8	99	99	99	999	1014.5	13.5	13.2	999	99	99
