#,Date-Time (EST),Ch: 1 - Temperature  °C (°C),Ch: 2 - Light  lux (lux),Button Down,Button Up,Host Connected,End of File
1,01/29/2021 18:00:00,8.79,48,,,,
2,01/29/2021 18:10:00,8.83,47,,,,
3,01/29/2021 18:20:00,8.79,45,,,,
4,01/29/2021 18:30:00,8.79,43,,,,
5,01/29/2021 18:40:00,8.79,42,,,,
6,01/29/2021 18:50:00,8.79,39,,,,
7,01/29/2021 19:00:00,8.79,39,,,,
8,01/29/2021 19:10:00,8.71,36,,,,
9,01/29/2021 19:20:00,8.83,34,,,,
10,01/29/2021 19:30:00,8.71,20,,,,
11,01/29/2021 19:40:00,8.79,19,,,,
12,01/29/2021 19:50:00,8.66,17,,,,
13,01/29/2021 20:00:00,8.83,17,,,,
14,01/29/2021 20:10:00,8.71,14,,,,
15,01/29/2021 20:20:00,8.79,12,,,,
16,01/29/2021 20:30:00,8.71,10,,,,
17,01/29/2021 20:40:00,8.83,8,,,,
18,01/29/2021 20:50:00,8.66,7,,,,
19,01/29/2021 21:00:00,8.83,5,,,,
20,01/29/2021 21:10:00,8.71,5,,,,
21,01/29/2021 21:20:00,8.88,4,,,,
22,01/29/2021 21:30:00,8.66,3,,,,
23,01/29/2021 21:40:00,8.83,2,,,,
24,01/29/2021 21:50:00,8.71,1,,,,
25,01/29/2021 22:00:00,8.92,0,,,,
26,01/29/2021 22:10:00,8.71,0,,,,
27,01/29/2021 22:20:00,8.83,0,,,,
28,01/29/2021 22:30:00,8.75,0,,,,
29,01/29/2021 22:40:00,8.83,0,,,,
30,01/29/2021 22:50:00,8.79,0,,,,
31,01/29/2021 23:00:00,8.75,0,,,,
32,01/29/2021 23:10:00,8.83,0,,,,
33,01/29/2021 23:20:00,8.66,0,,,,
34,01/29/2021 23:30:00,8.92,0,,,,
35,01/29/2021 23:40:00,8.66,0,,,,
36,01/29/2021 23:50:00,8.88,0,,,,
37,01/30/2021 00:00:00,8.66,0,,,,
38,01/30/2021 00:10:00,8.88,0,,,,
39,01/30/2021 00:20:00,8.71,0,,,,
40,01/30/2021 00:30:00,8.83,0,,,,
41,01/30/2021 00:40:00,8.71,0,,,,
42,01/30/2021 00:50:00,8.88,0,,,,
43,01/30/2021 01:00:00,8.66,0,,,,
44,01/30/2021 01:10:00,8.83,0,,,,
45,01/30/2021 01:20:00,8.66,0,,,,
46,01/30/2021 01:30:00,8.88,0,,,,
47,01/30/2021 01:40:00,8.66,0,,,,
48,01/30/2021 01:50:00,8.79,0,,,,
49,01/30/2021 02:00:00,8.71,0,,,,
50,01/30/2021 02:10:00,8.75,0,,,,
51,01/30/2021 02:20:00,8.79,0,,,,
52,01/30/2021 02:30:00,8.71,0,,,,
53,01/30/2021 02:40:00,8.83,0,,,,
54,01/30/2021 02:50:00,8.62,0,,,,
55,01/30/2021 03:00:00,8.83,0,,,,
56,01/30/2021 03:10:00,8.71,0,,,,
57,01/30/2021 03:20:00,8.75,0,,,,
58,01/30/2021 03:30:00,8.83,0,,,,
59,01/30/2021 03:40:00,8.66,0,,,,
60,01/30/2021 03:50:00,8.83,0,,,,
61,01/30/2021 04:00:00,8.66,0,,,,
62,01/30/2021 04:10:00,8.75,0,,,,
63,01/30/2021 04:20:00,8.71,0,,,,
64,01/30/2021 04:30:00,8.66,0,,,,
65,01/30/2021 04:40:00,8.79,0,,,,
66,01/30/2021 04:50:00,8.62,0,,,,
67,01/30/2021 05:00:00,8.79,0,,,,
68,01/30/2021 05:10:00,8.66,0,,,,
69,01/30/2021 05:20:00,8.71,0,,,,
70,01/30/2021 05:30:00,8.83,0,,,,
71,01/30/2021 05:40:00,8.62,0,,,,
72,01/30/2021 05:50:00,8.88,0,,,,
73,01/30/2021 06:00:00,8.62,0,,,,
74,01/30/2021 06:10:00,8.75,0,,,,
75,01/30/2021 06:20:00,8.71,1,,,,
76,01/30/2021 06:30:00,8.71,2,,,,
77,01/30/2021 06:40:00,8.83,2,,,,
78,01/30/2021 06:50:00,8.62,3,,,,
79,01/30/2021 07:00:00,8.79,4,,,,
80,01/30/2021 07:10:00,8.71,5,,,,
81,01/30/2021 07:20:00,8.75,18,,,,
82,01/30/2021 07:30:00,8.79,18,,,,
83,01/30/2021 07:40:00,8.62,20,,,,
84,01/30/2021 07:50:00,8.88,21,,,,
85,01/30/2021 08:00:00,8.62,22,,,,
86,01/30/2021 08:10:00,8.83,24,,,,
87,01/30/2021 08:20:00,8.62,26,,,,
88,01/30/2021 08:30:00,8.83,27,,,,
89,01/30/2021 08:40:00,8.75,29,,,,
90,01/30/2021 08:50:00,8.79,30,,,,
91,01/30/2021 09:00:00,8.83,32,,,,
92,01/30/2021 09:10:00,8.75,33,,,,
93,01/30/2021 09:20:00,8.83,34,,,,
94,01/30/2021 09:30:00,8.75,35,,,,
95,01/30/2021 09:40:00,8.83,37,,,,
96,01/30/2021 09:50:00,8.71,39,,,,
97,01/30/2021 10:00:00,8.88,39,,,,
98,01/30/2021 10:10:00,8.71,39,,,,
99,01/30/2021 10:20:00,8.92,40,,,,
100,01/30/2021 10:30:00,8.71,42,,,,
101,01/30/2021 10:40:00,8.92,41,,,,
102,01/30/2021 10:50:00,8.75,40,,,,
103,01/30/2021 11:00:00,8.83,39,,,,
104,01/30/2021 11:10:00,8.79,40,,,,
105,01/30/2021 11:20:00,8.66,40,,,,
106,01/30/2021 11:30:00,8.92,43,,,,
107,01/30/2021 11:40:00,8.79,39,,,,
108,01/30/2021 11:50:00,8.88,39,,,,
109,01/30/2021 12:00:00,8.83,46,,,,
110,01/30/2021 12:10:00,8.92,49,,,,
111,01/30/2021 12:20:00,8.88,56,,,,
112,01/30/2021 12:30:00,8.75,58,,,,
113,01/30/2021 12:40:00,8.92,58,,,,
114,01/30/2021 12:50:00,8.66,59,,,,
115,01/30/2021 13:00:00,8.92,62,,,,
116,01/30/2021 13:10:00,8.66,49,,,,
117,01/30/2021 13:20:00,8.92,48,,,,
118,01/30/2021 13:30:00,8.71,49,,,,
119,01/30/2021 13:40:00,8.92,48,,,,
120,01/30/2021 13:50:00,8.75,49,,,,
121,01/30/2021 14:00:00,8.92,48,,,,
122,01/30/2021 14:10:00,8.75,50,,,,
123,01/30/2021 14:20:00,8.92,53,,,,
124,01/30/2021 14:30:00,10.98,219,,,,
125,01/30/2021 14:40:00,13.08,213,,,,
126,01/30/2021 14:50:00,13.98,216,,,,
127,01/30/2021 15:00:00,14.54,8,,,,
128,01/30/2021 15:10:00,16.17,207,,,,
129,01/30/2021 15:20:00,15.91,212,,,,
130,01/30/2021 15:30:00,15.70,207,,,,
131,01/30/2021 15:40:00,10.72,3517,,,,
132,01/30/2021 15:50:00,8.92,3364,,,,
133,01/30/2021 16:00:00,8.58,3160,,,,
134,01/30/2021 16:10:00,8.83,3709,,,,
135,01/30/2021 16:20:00,8.58,3549,,,,
136,01/30/2021 16:30:00,8.83,3291,,,,
137,01/30/2021 16:40:00,8.58,3542,,,,
138,01/30/2021 16:50:00,8.75,3346,,,,
139,01/30/2021 17:00:00,8.66,3382,,,,
140,01/30/2021 17:10:00,8.75,3190,,,,
141,01/30/2021 17:20:00,8.71,3180,,,,
142,01/30/2021 17:30:00,8.71,3273,,,,
143,01/30/2021 17:40:00,8.83,3274,,,,
144,01/30/2021 17:50:00,8.62,3132,,,,
145,01/30/2021 18:00:00,8.83,3263,,,,
146,01/30/2021 18:10:00,8.58,3045,,,,
147,01/30/2021 18:20:00,8.83,2820,,,,
148,01/30/2021 18:30:00,8.58,2787,,,,
149,01/30/2021 18:40:00,8.71,2593,,,,
