#,Date-Time (EST),Ch: 1 - Temperature  °C (°C),Ch: 2 - Light  lux (lux),Button Down,Button Up,Host Connected,End of File
1,12/21/2020 18:00:00,20.89,191,,,,
2,12/21/2020 18:10:00,20.63,191,,,,
3,12/21/2020 18:20:00,20.42,191,,,,
4,12/21/2020 18:30:00,20.33,197,,,,
5,12/21/2020 18:40:00,18.32,240,,,,
6,12/21/2020 18:50:00,19.26,33,,,,
7,12/21/2020 19:00:00,10.89,125,,,,
8,12/21/2020 19:10:00,7.76,27,,,,
9,12/21/2020 19:20:00,7.63,27,,,,
10,12/21/2020 19:30:00,7.55,122,,,,
11,12/21/2020 19:40:00,7.46,27,,,,
12,12/21/2020 19:50:00,7.42,0,,,,
13,12/21/2020 20:00:00,7.38,0,,,,
14,12/21/2020 20:10:00,7.33,0,,,,
15,12/21/2020 20:20:00,7.29,0,,,,
16,12/21/2020 20:30:00,7.25,0,,,,
17,12/21/2020 20:40:00,7.20,0,,,,
18,12/21/2020 20:50:00,7.25,0,,,,
19,12/21/2020 21:00:00,7.20,0,,,,
20,12/21/2020 21:10:00,7.16,0,,,,
21,12/21/2020 21:20:00,7.16,0,,,,
22,12/21/2020 21:30:00,7.16,0,,,,
23,12/21/2020 21:40:00,7.12,0,,,,
24,12/21/2020 21:50:00,7.12,0,,,,
25,12/21/2020 22:00:00,7.08,0,,,,
26,12/21/2020 22:10:00,7.16,0,,,,
27,12/21/2020 22:20:00,7.12,0,,,,
28,12/21/2020 22:30:00,7.12,0,,,,
29,12/21/2020 22:40:00,7.16,0,,,,
30,12/21/2020 22:50:00,7.16,0,,,,
31,12/21/2020 23:00:00,7.16,0,,,,
32,12/21/2020 23:10:00,7.16,0,,,,
33,12/21/2020 23:20:00,7.20,0,,,,
34,12/21/2020 23:30:00,7.16,0,,,,
35,12/21/2020 23:40:00,7.20,0,,,,
36,12/21/2020 23:50:00,7.20,0,,,,
37,12/22/2020 00:00:00,7.20,0,,,,
38,12/22/2020 00:10:00,7.25,0,,,,
39,12/22/2020 00:20:00,7.29,0,,,,
40,12/22/2020 00:30:00,7.33,0,,,,
41,12/22/2020 00:40:00,7.29,0,,,,
42,12/22/2020 00:50:00,7.29,0,,,,
43,12/22/2020 01:00:00,7.33,0,,,,
44,12/22/2020 01:10:00,7.33,0,,,,
45,12/22/2020 01:20:00,7.38,0,,,,
46,12/22/2020 01:30:00,7.42,0,,,,
47,12/22/2020 01:40:00,7.46,0,,,,
48,12/22/2020 01:50:00,7.50,0,,,,
49,12/22/2020 02:00:00,7.63,0,,,,
50,12/22/2020 02:10:00,7.63,0,,,,
51,12/22/2020 02:20:00,7.72,0,,,,
52,12/22/2020 02:30:00,7.76,0,,,,
53,12/22/2020 02:40:00,7.81,0,,,,
54,12/22/2020 02:50:00,7.89,0,,,,
55,12/22/2020 03:00:00,7.89,0,,,,
56,12/22/2020 03:10:00,7.98,0,,,,
57,12/22/2020 03:20:00,8.02,0,,,,
58,12/22/2020 03:30:00,8.02,0,,,,
59,12/22/2020 03:40:00,8.06,0,,,,
60,12/22/2020 03:50:00,8.15,0,,,,
61,12/22/2020 04:00:00,8.19,0,,,,
62,12/22/2020 04:10:00,8.19,0,,,,
63,12/22/2020 04:20:00,8.15,0,,,,
64,12/22/2020 04:30:00,8.11,0,,,,
65,12/22/2020 04:40:00,8.06,0,,,,
66,12/22/2020 04:50:00,8.11,0,,,,
67,12/22/2020 05:00:00,8.11,0,,,,
68,12/22/2020 05:10:00,8.11,0,,,,
69,12/22/2020 05:20:00,8.11,0,,,,
70,12/22/2020 05:30:00,8.11,0,,,,
71,12/22/2020 05:40:00,8.11,0,,,,
72,12/22/2020 05:50:00,8.11,0,,,,
73,12/22/2020 06:00:00,7.98,0,,,,
74,12/22/2020 06:10:00,7.98,2,,,,
75,12/22/2020 06:20:00,7.93,5,,,,
76,12/22/2020 06:30:00,7.93,9,,,,
77,12/22/2020 06:40:00,7.89,14,,,,
78,12/22/2020 06:50:00,7.85,20,,,,
79,12/22/2020 07:00:00,7.81,26,,,,
80,12/22/2020 07:10:00,7.76,31,,,,
81,12/22/2020 07:20:00,7.68,63,,,,
82,12/22/2020 07:30:00,7.63,68,,,,
83,12/22/2020 07:40:00,7.50,72,,,,
84,12/22/2020 07:50:00,7.50,76,,,,
85,12/22/2020 08:00:00,7.46,81,,,,
86,12/22/2020 08:10:00,7.42,85,,,,
87,12/22/2020 08:20:00,7.38,89,,,,
88,12/22/2020 08:30:00,7.38,94,,,,
89,12/22/2020 08:40:00,7.42,98,,,,
90,12/22/2020 08:50:00,7.38,100,,,,
91,12/22/2020 09:00:00,7.33,104,,,,
92,12/22/2020 09:10:00,7.38,108,,,,
93,12/22/2020 09:20:00,7.42,111,,,,
94,12/22/2020 09:30:00,7.42,116,,,,
95,12/22/2020 09:40:00,7.38,117,,,,
96,12/22/2020 09:50:00,7.38,121,,,,
97,12/22/2020 10:00:00,7.46,123,,,,
98,12/22/2020 10:10:00,7.50,125,,,,
99,12/22/2020 10:20:00,7.50,124,,,,
100,12/22/2020 10:30:00,7.46,122,,,,
101,12/22/2020 10:40:00,7.46,122,,,,
102,12/22/2020 10:50:00,7.50,122,,,,
103,12/22/2020 11:00:00,7.46,122,,,,
104,12/22/2020 11:10:00,7.46,124,,,,
105,12/22/2020 11:20:00,7.46,122,,,,
106,12/22/2020 11:30:00,7.50,122,,,,
107,12/22/2020 11:40:00,7.50,121,,,,
108,12/22/2020 11:50:00,7.55,121,,,,
109,12/22/2020 12:00:00,7.59,121,,,,
110,12/22/2020 12:10:00,7.59,123,,,,
111,12/22/2020 12:20:00,7.63,121,,,,
112,12/22/2020 12:30:00,7.68,122,,,,
