Serial Number:20937871 --

"Date Time, GMT -0400","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2021-04-30 14:00:00,12.91,"3,288", , , , 
2021-04-30 14:10:00,13.12,"3,163", , , , 
2021-04-30 14:20:00,13.00,"3,002", , , , 
2021-04-30 14:30:00,12.87,"2,836", , , , 
2021-04-30 14:40:00,12.95,"2,697", , , , 
2021-04-30 14:50:00,13.04,"2,525", , , , 
2021-04-30 15:00:00,13.00,"2,362", , , , 
2021-04-30 15:10:00,12.91,"2,195", , , , 
2021-04-30 15:20:00,12.82,"2,025", , , , 
2021-04-30 15:30:00,12.82,"1,868", , , , 
2021-04-30 15:40:00,13.00,"1,680", , , , 
2021-04-30 15:50:00,13.08,"1,516", , , , 
2021-04-30 16:00:00,13.00,"1,340", , , , 
2021-04-30 16:10:00,12.91,"1,166", , , , 
2021-04-30 16:20:00,12.87,"1,000", , , , 
2021-04-30 16:30:00,12.78,836, , , , 
2021-04-30 16:40:00,12.82,759, , , , 
2021-04-30 16:50:00,13.00,653, , , , 
2021-04-30 17:00:00,13.00,561, , , , 
2021-04-30 17:10:00,12.95,477, , , , 
2021-04-30 17:20:00,12.95,382, , , , 
2021-04-30 17:30:00,13.00,285, , , , 
2021-04-30 17:40:00,12.95,195, , , , 
2021-04-30 17:50:00,12.91,107, , , , 
2021-04-30 18:00:00,12.95,0, , , , 
2021-04-30 18:10:00,13.00,0, , , , 
2021-04-30 18:20:00,13.00,0, , , , 
2021-04-30 18:30:00,12.95,0, , , , 
2021-04-30 18:40:00,12.91,0, , , , 
2021-04-30 18:50:00,12.91,0, , , , 
2021-04-30 19:00:00,12.87,0, , , , 
2021-04-30 19:10:00,12.87,0, , , , 
2021-04-30 19:20:00,12.87,0, , , , 
2021-04-30 19:30:00,12.82,0, , , , 
2021-04-30 19:40:00,12.82,0, , , , 
2021-04-30 19:50:00,12.78,0, , , , 
2021-04-30 20:00:00,12.87,0, , , , 
2021-04-30 20:10:00,12.78,0, , , , 
2021-04-30 20:20:00,13.04,0, , , , 
2021-04-30 20:30:00,13.00,0, , , , 
2021-04-30 20:40:00,12.91,0, , , , 
2021-04-30 20:50:00,12.87,0, , , , 
2021-04-30 21:00:00,12.78,0, , , , 
2021-04-30 21:10:00,13.04,0, , , , 
2021-04-30 21:20:00,12.95,0, , , , 
2021-04-30 21:30:00,12.91,0, , , , 
2021-04-30 21:40:00,12.82,0, , , , 
2021-04-30 21:50:00,12.91,0, , , , 
2021-04-30 22:00:00,13.04,0, , , , 
2021-04-30 22:10:00,12.91,0, , , , 
2021-04-30 22:20:00,12.82,0, , , , 
2021-04-30 22:30:00,12.87,0, , , , 
2021-04-30 22:40:00,13.04,0, , , , 
2021-04-30 22:50:00,12.95,0, , , , 
2021-04-30 23:00:00,12.87,0, , , , 
2021-04-30 23:10:00,12.87,0, , , , 
2021-04-30 23:20:00,13.04,0, , , , 
2021-04-30 23:30:00,12.95,0, , , , 
2021-04-30 23:40:00,12.78,0, , , , 
2021-04-30 23:50:00,13.08,0, , , , 
2021-05-01 00:00:00,13.00,0, , , , 
2021-05-01 00:10:00,12.87,0, , , , 
2021-05-01 00:20:00,12.87,0, , , , 
2021-05-01 00:30:00,13.04,0, , , , 
2021-05-01 00:40:00,12.91,0, , , , 
2021-05-01 00:50:00,12.78,0, , , , 
2021-05-01 01:00:00,13.04,0, , , , 
2021-05-01 01:10:00,12.91,0, , , , 
2021-05-01 01:20:00,12.78,0, , , , 
2021-05-01 01:30:00,13.08,0, , , , 
2021-05-01 01:40:00,12.95,0, , , , 
2021-05-01 01:50:00,12.82,0, , , , 
2021-05-01 02:00:00,13.04,0, , , , 
2021-05-01 02:10:00,12.95,0, , , , 
2021-05-01 02:20:00,12.78,0, , , , 
2021-05-01 02:30:00,13.12,0, , , , 
2021-05-01 02:40:00,12.95,0, , , , 
2021-05-01 02:50:00,12.74,0, , , , 
2021-05-01 03:00:00,13.04,0, , , , 
2021-05-01 03:10:00,12.95,0, , , , 
2021-05-01 03:20:00,12.82,0, , , , 
2021-05-01 03:30:00,13.00,0, , , , 
2021-05-01 03:40:00,13.00,0, , , , 
2021-05-01 03:50:00,12.87,0, , , , 
2021-05-01 04:00:00,12.82,0, , , , 
2021-05-01 04:10:00,13.04,0, , , , 
2021-05-01 04:20:00,12.95,0, , , , 
2021-05-01 04:30:00,12.82,0, , , , 
2021-05-01 04:40:00,12.95,0, , , , 
2021-05-01 04:50:00,13.00,0, , , , 
2021-05-01 05:00:00,12.87,0, , , , 
2021-05-01 05:10:00,12.78,0, , , , 
2021-05-01 05:20:00,13.04,0, , , , 
2021-05-01 05:30:00,13.04,0, , , , 
2021-05-01 05:40:00,12.91,0, , , , 
2021-05-01 05:50:00,12.82,0, , , , 
2021-05-01 06:00:00,12.95,0, , , , 
2021-05-01 06:10:00,13.04,84, , , , 
2021-05-01 06:20:00,12.91,181, , , , 
2021-05-01 06:30:00,12.87,274, , , , 
2021-05-01 06:40:00,12.78,364, , , , 
