Serial Number:20937870 --

"Date Time, GMT -1000","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2020-12-21 13:00:00,20.59,195, , , , 
2020-12-21 13:10:00,20.42,193, , , , 
2020-12-21 13:20:00,20.25,194, , , , 
2020-12-21 13:30:00,20.25,198, , , , 
2020-12-21 13:40:00,20.59,196, , , , 
2020-12-21 13:50:00,20.16,193, , , , 
2020-12-21 14:00:00,11.07,428, , , , 
2020-12-21 14:10:00,7.81,61, , , , 
2020-12-21 14:20:00,7.63,61, , , , 
2020-12-21 14:30:00,7.55,301, , , , 
2020-12-21 14:40:00,7.42,63, , , , 
2020-12-21 14:50:00,7.38,0, , , , 
2020-12-21 15:00:00,7.29,0, , , , 
2020-12-21 15:10:00,7.29,0, , , , 
2020-12-21 15:20:00,7.25,0, , , , 
2020-12-21 15:30:00,7.20,0, , , , 
2020-12-21 15:40:00,7.20,0, , , , 
2020-12-21 15:50:00,7.16,0, , , , 
2020-12-21 16:00:00,7.12,0, , , , 
2020-12-21 16:10:00,7.12,0, , , , 
2020-12-21 16:20:00,7.12,0, , , , 
2020-12-21 16:30:00,7.08,0, , , , 
2020-12-21 16:40:00,7.08,0, , , , 
2020-12-21 16:50:00,7.08,0, , , , 
2020-12-21 17:00:00,7.08,0, , , , 
2020-12-21 17:10:00,7.08,0, , , , 
2020-12-21 17:20:00,7.12,0, , , , 
2020-12-21 17:30:00,7.12,0, , , , 
2020-12-21 17:40:00,7.12,0, , , , 
2020-12-21 17:50:00,7.12,0, , , , 
2020-12-21 18:00:00,7.12,0, , , , 
2020-12-21 18:10:00,7.12,0, , , , 
2020-12-21 18:20:00,7.16,0, , , , 
2020-12-21 18:30:00,7.12,0, , , , 
2020-12-21 18:40:00,7.16,0, , , , 
2020-12-21 18:50:00,7.16,0, , , , 
2020-12-21 19:00:00,7.20,0, , , , 
2020-12-21 19:10:00,7.25,0, , , , 
2020-12-21 19:20:00,7.25,0, , , , 
2020-12-21 19:30:00,7.29,0, , , , 
2020-12-21 19:40:00,7.29,0, , , , 
2020-12-21 19:50:00,7.29,0, , , , 
2020-12-21 20:00:00,7.33,0, , , , 
2020-12-21 20:10:00,7.33,0, , , , 
2020-12-21 20:20:00,7.33,0, , , , 
2020-12-21 20:30:00,7.46,0, , , , 
2020-12-21 20:40:00,7.46,0, , , , 
2020-12-21 20:50:00,7.50,0, , , , 
2020-12-21 21:00:00,7.59,0, , , , 
2020-12-21 21:10:00,7.63,0, , , , 
2020-12-21 21:20:00,7.68,0, , , , 
2020-12-21 21:30:00,7.72,0, , , , 
2020-12-21 21:40:00,7.76,0, , , , 
2020-12-21 21:50:00,7.81,0, , , , 
2020-12-21 22:00:00,7.89,0, , , , 
2020-12-21 22:10:00,7.93,0, , , , 
2020-12-21 22:20:00,7.93,0, , , , 
2020-12-21 22:30:00,8.06,0, , , , 
2020-12-21 22:40:00,8.11,0, , , , 
2020-12-21 22:50:00,8.11,0, , , , 
2020-12-21 23:00:00,8.11,0, , , , 
2020-12-21 23:10:00,8.11,0, , , , 
2020-12-21 23:20:00,8.11,0, , , , 
2020-12-21 23:30:00,8.06,0, , , , 
2020-12-21 23:40:00,8.11,0, , , , 
2020-12-21 23:50:00,8.06,0, , , , 
2020-12-22 00:00:00,8.06,0, , , , 
2020-12-22 00:10:00,8.06,0, , , , 
2020-12-22 00:20:00,8.11,0, , , , 
2020-12-22 00:30:00,8.06,0, , , , 
2020-12-22 00:40:00,8.06,0, , , , 
2020-12-22 00:50:00,7.98,0, , , , 
2020-12-22 01:00:00,8.02,0, , , , 
2020-12-22 01:10:00,7.93,10, , , , 
2020-12-22 01:20:00,7.98,20, , , , 
2020-12-22 01:30:00,7.89,34, , , , 
2020-12-22 01:40:00,7.89,55, , , , 
2020-12-22 01:50:00,7.85,76, , , , 
2020-12-22 02:00:00,7.76,100, , , , 
2020-12-22 02:10:00,7.68,120, , , , 
2020-12-22 02:20:00,7.63,202, , , , 
2020-12-22 02:30:00,7.59,219, , , , 
2020-12-22 02:40:00,7.55,238, , , , 
2020-12-22 02:50:00,7.46,260, , , , 
2020-12-22 03:00:00,7.42,277, , , , 
2020-12-22 03:10:00,7.42,294, , , , 
2020-12-22 03:20:00,7.38,313, , , , 
2020-12-22 03:30:00,7.29,327, , , , 
2020-12-22 03:40:00,7.38,341, , , , 
2020-12-22 03:50:00,7.33,357, , , , 
2020-12-22 04:00:00,7.33,373, , , , 
2020-12-22 04:10:00,7.33,382, , , , 
2020-12-22 04:20:00,7.38,397, , , , 
2020-12-22 04:30:00,7.38,414, , , , 
2020-12-22 04:40:00,7.42,428, , , , 
2020-12-22 04:50:00,7.38,437, , , , 
2020-12-22 05:00:00,7.42,448, , , , 
2020-12-22 05:10:00,7.42,448, , , , 
2020-12-22 05:20:00,7.42,447, , , , 
2020-12-22 05:30:00,7.46,447, , , , 
2020-12-22 05:40:00,7.50,444, , , , 
2020-12-22 05:50:00,7.42,448, , , , 
2020-12-22 06:00:00,7.46,446, , , , 
2020-12-22 06:10:00,7.50,444, , , , 
2020-12-22 06:20:00,7.46,449, , , , 
2020-12-22 06:30:00,7.46,445, , , , 
2020-12-22 06:40:00,7.55,443, , , , 
2020-12-22 06:50:00,7.55,444, , , , 
2020-12-22 07:00:00,7.50,439, , , , 
2020-12-22 07:10:00,7.55,444, , , , 
2020-12-22 07:20:00,7.59,443, , , , 
2020-12-22 07:30:00,7.63,442, , , , 
2020-12-22 07:40:00,7.68,440, , , , 
2020-12-22 07:50:00,7.68,442, , , , 
2020-12-22 08:00:00,7.72,448, , , , 
2020-12-22 08:10:00,7.72,442, , , , 
2020-12-22 08:20:00,7.72,440, , , , 
2020-12-22 08:30:00,7.72,438, , , , 
2020-12-22 08:40:00,7.68,440, , , , 
2020-12-22 08:50:00,7.72,441, , , , 
2020-12-22 09:00:00,7.76,441, , , , 
2020-12-22 09:10:00,7.72,430, , , , 
2020-12-22 09:20:00,7.76,412, , , , 
2020-12-22 09:30:00,7.76,403, , , , 
2020-12-22 09:40:00,7.89,391, , , , 
2020-12-22 09:50:00,7.89,373, , , , 
2020-12-22 10:00:00,7.93,361, , , , 
2020-12-22 10:10:00,8.02,349, , , , 
2020-12-22 10:20:00,8.11,332, , , , 
2020-12-22 10:30:00,8.19,317, , , , 
2020-12-22 10:40:00,8.23,305, , , , 
2020-12-22 10:50:00,8.28,291, , , , 
2020-12-22 11:00:00,8.32,270, , , , 
2020-12-22 11:10:00,8.32,254, , , , 
2020-12-22 11:20:00,8.36,234, , , , 
2020-12-22 11:30:00,8.36,217, , , , 
2020-12-22 11:40:00,8.23,196, , , , 
2020-12-22 11:50:00,8.15,176, , , , 
2020-12-22 12:00:00,8.06,154, , , , 
2020-12-22 12:10:00,8.11,134, , , , 
2020-12-22 12:20:00,8.11,113, , , , 
2020-12-22 12:30:00,8.15,92, , , , 
2020-12-22 12:40:00,8.19,79, , , , 
2020-12-22 12:50:00,8.23,71, , , , 
2020-12-22 13:00:00,8.15,60, , , , 
2020-12-22 13:10:00,8.11,60, , , , 
2020-12-22 13:20:00,8.06,59, , , , 
2020-12-22 13:30:00,7.93,61, , , , 
2020-12-22 13:40:00,7.85,60, , , , 
2020-12-22 13:50:00,7.81,59, , , , 
2020-12-22 14:00:00,7.72,62, , , , 
2020-12-22 14:10:00,7.72,61, , , , 
2020-12-22 14:20:00,7.68,62, , , , 
2020-12-22 14:30:00,7.63,0, , , , 
2020-12-22 14:40:00,7.59,0, , , , 
2020-12-22 14:50:00,7.59,0, , , , 
2020-12-22 15:00:00,7.59,0, , , , 
2020-12-22 15:10:00,7.59,0, , , , 
2020-12-22 15:20:00,7.50,0, , , , 
2020-12-22 15:30:00,7.50,0, , , , 
