"Plot Title: 20987159"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20987159, SEN S/N: 20987159)","Coupler Detached (LGR S/N: 20987159)","Coupler Attached (LGR S/N: 20987159)","End Of File (LGR S/N: 20987159)"
1,02/06/21 04:00:00 PM,8.120,Logged,,
2,02/06/21 04:10:00 PM,8.295,,,
3,02/06/21 04:20:00 PM,8.195,,,
4,02/06/21 04:30:00 PM,8.120,,,
5,02/06/21 04:40:00 PM,8.270,,,
6,02/06/21 04:50:00 PM,8.020,,,
7,02/06/21 05:00:00 PM,8.344,,,
8,02/06/21 05:10:00 PM,8.095,,,
9,02/06/21 05:20:00 PM,8.319,,,
10,02/06/21 05:30:00 PM,8.195,,,
11,02/06/21 05:40:00 PM,8.145,,,
12,02/06/21 05:50:00 PM,8.245,,,
13,02/06/21 06:00:00 PM,8.020,,,
14,02/06/21 06:10:00 PM,8.319,,,
15,02/06/21 06:20:00 PM,8.045,,,
16,02/06/21 06:30:00 PM,8.319,,,
17,02/06/21 06:40:00 PM,8.095,,,
18,02/06/21 06:50:00 PM,8.295,,,
19,02/06/21 07:00:00 PM,8.195,,,
20,02/06/21 07:10:00 PM,8.120,,,
21,02/06/21 07:20:00 PM,8.245,,,
22,02/06/21 07:30:00 PM,8.020,,,
23,02/06/21 07:40:00 PM,8.295,,,
24,02/06/21 07:50:00 PM,8.045,,,
25,02/06/21 08:00:00 PM,8.344,,,
26,02/06/21 08:10:00 PM,8.120,,,
27,02/06/21 08:20:00 PM,8.220,,,
28,02/06/21 08:30:00 PM,8.245,,,
29,02/06/21 08:40:00 PM,8.045,,,
30,02/06/21 08:50:00 PM,8.319,,,
31,02/06/21 09:00:00 PM,8.070,,,
32,02/06/21 09:10:00 PM,8.319,,,
33,02/06/21 09:20:00 PM,8.170,,,
34,02/06/21 09:30:00 PM,8.095,,,
35,02/06/21 09:40:00 PM,8.270,,,
36,02/06/21 09:50:00 PM,8.020,,,
37,02/06/21 10:00:00 PM,8.344,,,
38,02/06/21 10:10:00 PM,8.120,,,
39,02/06/21 10:20:00 PM,8.270,,,
40,02/06/21 10:30:00 PM,8.220,,,
41,02/06/21 10:40:00 PM,8.045,,,
42,02/06/21 10:50:00 PM,8.295,,,
43,02/06/21 11:00:00 PM,8.095,,,
44,02/06/21 11:10:00 PM,8.295,,,
45,02/06/21 11:20:00 PM,8.245,,,
46,02/06/21 11:30:00 PM,8.045,,,
47,02/06/21 11:40:00 PM,8.344,,,
48,02/06/21 11:50:00 PM,8.170,,,
49,02/07/21 12:00:00 AM,8.145,,,
50,02/07/21 12:10:00 AM,8.295,,,
51,02/07/21 12:20:00 AM,8.120,,,
52,02/07/21 12:30:00 AM,8.270,,,
53,02/07/21 12:40:00 AM,8.270,,,
54,02/07/21 12:50:00 AM,8.095,,,
55,02/07/21 01:00:00 AM,8.319,,,
56,02/07/21 01:10:00 AM,8.245,,,
