"Plot Title: 20987157"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20987157, SEN S/N: 20987157)","Coupler Detached (LGR S/N: 20987157)","Coupler Attached (LGR S/N: 20987157)","End Of File (LGR S/N: 20987157)"
1,07/29/21 01:00:00 PM,22.681,Logged,,
2,07/29/21 01:15:00 PM,22.633,,,
3,07/29/21 01:30:00 PM,22.585,,,
4,07/29/21 01:45:00 PM,22.513,,,
5,07/29/21 02:00:00 PM,22.417,,,
6,07/29/21 02:15:00 PM,22.321,,,
7,07/29/21 02:30:00 PM,22.250,,,
8,07/29/21 02:45:00 PM,22.178,,,
9,07/29/21 03:00:00 PM,22.130,,,
10,07/29/21 03:15:00 PM,22.106,,,
11,07/29/21 03:30:00 PM,22.130,,,
12,07/29/21 03:45:00 PM,22.226,,,
13,07/29/21 04:00:00 PM,22.321,,,
14,07/29/21 04:15:00 PM,22.417,,,
15,07/29/21 04:30:00 PM,22.513,,,
16,07/29/21 04:45:00 PM,22.585,,,
17,07/29/21 05:00:00 PM,22.633,,,
18,07/29/21 05:15:00 PM,22.609,,,
19,07/29/21 05:30:00 PM,22.609,,,
20,07/29/21 05:45:00 PM,22.609,,,
21,07/29/21 06:00:00 PM,22.657,,,
22,07/29/21 06:15:00 PM,22.729,,,
23,07/29/21 06:30:00 PM,22.753,,,
24,07/29/21 06:45:00 PM,22.776,,,
25,07/29/21 07:00:00 PM,22.776,,,
26,07/29/21 07:15:00 PM,22.753,,,
27,07/29/21 07:30:00 PM,22.705,,,
28,07/29/21 07:45:00 PM,22.681,,,
29,07/29/21 08:00:00 PM,22.657,,,
30,07/29/21 08:15:00 PM,22.633,,,
31,07/29/21 08:30:00 PM,22.633,,,
32,07/29/21 08:45:00 PM,22.633,,,
33,07/29/21 09:00:00 PM,22.609,,,
34,07/29/21 09:15:00 PM,22.585,,,
35,07/29/21 09:30:00 PM,22.537,,,
36,07/29/21 09:45:00 PM,22.489,,,
37,07/29/21 10:00:00 PM,22.489,,,
38,07/29/21 10:15:00 PM,22.465,,,
39,07/29/21 10:30:00 PM,22.441,,,
40,07/29/21 10:45:00 PM,22.441,,,
41,07/29/21 11:00:00 PM,22.417,,,
42,07/29/21 11:15:00 PM,22.393,,,
43,07/29/21 11:30:00 PM,22.393,,,
44,07/29/21 11:45:00 PM,22.393,,,
45,07/30/21 12:00:00 AM,22.345,,,
46,07/30/21 12:15:00 AM,22.298,,,
47,07/30/21 12:30:00 AM,22.250,,,
48,07/30/21 12:45:00 AM,22.202,,,
49,07/30/21 01:00:00 AM,22.154,,,
50,07/30/21 01:15:00 AM,22.106,,,
51,07/30/21 01:30:00 AM,22.058,,,
52,07/30/21 01:45:00 AM,22.034,,,
53,07/30/21 02:00:00 AM,22.011,,,
54,07/30/21 02:15:00 AM,22.011,,,
55,07/30/21 02:30:00 AM,21.987,,,
56,07/30/21 02:45:00 AM,21.987,,,
57,07/30/21 03:00:00 AM,21.963,,,
58,07/30/21 03:15:00 AM,21.963,,,
59,07/30/21 03:30:00 AM,21.963,,,
60,07/30/21 03:45:00 AM,21.987,,,
61,07/30/21 04:00:00 AM,21.987,,,
62,07/30/21 04:15:00 AM,21.987,,,
63,07/30/21 04:30:00 AM,22.011,,,
64,07/30/21 04:45:00 AM,22.034,,,
65,07/30/21 05:00:00 AM,22.082,,,
66,07/30/21 05:15:00 AM,22.106,,,
67,07/30/21 05:30:00 AM,22.130,,,
68,07/30/21 05:45:00 AM,22.130,,,
69,07/30/21 06:00:00 AM,22.154,,,
70,07/30/21 06:15:00 AM,22.154,,,
71,07/30/21 06:30:00 AM,22.154,,,
72,07/30/21 06:45:00 AM,22.154,,,
73,07/30/21 07:00:00 AM,22.130,,,
74,07/30/21 07:15:00 AM,22.106,,,
75,07/30/21 07:30:00 AM,22.106,,,
76,07/30/21 07:45:00 AM,22.130,,,
77,07/30/21 08:00:00 AM,22.154,,,
78,07/30/21 08:15:00 AM,22.178,,,
79,07/30/21 08:30:00 AM,22.202,,,
80,07/30/21 08:45:00 AM,22.226,,,
81,07/30/21 09:00:00 AM,22.250,,,
82,07/30/21 09:15:00 AM,22.250,,,
83,07/30/21 09:30:00 AM,22.274,,,
84,07/30/21 09:45:00 AM,22.298,,,
85,07/30/21 10:00:00 AM,22.321,,,
86,07/30/21 10:15:00 AM,22.369,,,
87,07/30/21 10:30:00 AM,22.393,,,
88,07/30/21 10:45:00 AM,22.441,,,
89,07/30/21 11:00:00 AM,22.465,,,
90,07/30/21 11:15:00 AM,22.513,,,
91,07/30/21 11:30:00 AM,22.537,,,
92,07/30/21 11:45:00 AM,22.609,,,
93,07/30/21 12:00:00 PM,22.657,,,
94,07/30/21 12:15:00 PM,22.681,,,
95,07/30/21 12:30:00 PM,22.729,,,
96,07/30/21 12:45:00 PM,22.753,,,
97,07/30/21 01:00:00 PM,22.753,,,
98,07/30/21 01:15:00 PM,22.729,,,
99,07/30/21 01:30:00 PM,22.705,,,
100,07/30/21 01:45:00 PM,22.705,,,
101,07/30/21 02:00:00 PM,22.681,,,
102,07/30/21 02:15:00 PM,22.657,,,
103,07/30/21 02:30:00 PM,22.681,,,
104,07/30/21 02:45:00 PM,22.729,,,
105,07/30/21 03:00:00 PM,22.729,,,
106,07/30/21 03:15:00 PM,22.705,,,
107,07/30/21 03:30:00 PM,22.681,,,
108,07/30/21 03:45:00 PM,22.657,,,
109,07/30/21 04:00:00 PM,22.705,,,
110,07/30/21 04:15:00 PM,22.824,,,
111,07/30/21 04:30:00 PM,22.944,,,
112,07/30/21 04:45:00 PM,23.016,,,
113,07/30/21 05:00:00 PM,23.040,,,
114,07/30/21 05:15:00 PM,23.040,,,
115,07/30/21 05:30:00 PM,23.016,,,
116,07/30/21 05:45:00 PM,22.968,,,
117,07/30/21 06:00:00 PM,22.920,,,
118,07/30/21 06:15:00 PM,22.920,,,
119,07/30/21 06:30:00 PM,22.944,,,
120,07/30/21 06:45:00 PM,22.992,,,
121,07/30/21 07:00:00 PM,23.040,,,
122,07/30/21 07:15:00 PM,23.088,,,
123,07/30/21 07:30:00 PM,23.112,,,
124,07/30/21 07:45:00 PM,23.136,,,
125,07/30/21 08:00:00 PM,23.160,,,
126,07/30/21 08:15:00 PM,23.160,,,
127,07/30/21 08:30:00 PM,23.160,,,
128,07/30/21 08:45:00 PM,23.160,,,
129,07/30/21 09:00:00 PM,23.160,,,
130,07/30/21 09:15:00 PM,23.160,,,
131,07/30/21 09:30:00 PM,23.136,,,
132,07/30/21 09:45:00 PM,23.136,,,
133,07/30/21 10:00:00 PM,23.112,,,
134,07/30/21 10:15:00 PM,23.088,,,
135,07/30/21 10:30:00 PM,23.040,,,
136,07/30/21 10:45:00 PM,22.992,,,
137,07/30/21 11:00:00 PM,22.968,,,
138,07/30/21 11:15:00 PM,22.968,,,
139,07/30/21 11:30:00 PM,22.944,,,
140,07/30/21 11:45:00 PM,22.920,,,
141,07/31/21 12:00:00 AM,22.872,,,
142,07/31/21 12:15:00 AM,22.848,,,
143,07/31/21 12:30:00 AM,22.824,,,
144,07/31/21 12:45:00 AM,22.776,,,
145,07/31/21 01:00:00 AM,22.729,,,
146,07/31/21 01:15:00 AM,22.681,,,
147,07/31/21 01:30:00 AM,22.633,,,
148,07/31/21 01:45:00 AM,22.609,,,
149,07/31/21 02:00:00 AM,22.585,,,
150,07/31/21 02:15:00 AM,22.561,,,
151,07/31/21 02:30:00 AM,22.537,,,
152,07/31/21 02:45:00 AM,22.513,,,
153,07/31/21 03:00:00 AM,22.489,,,
154,07/31/21 03:15:00 AM,22.465,,,
155,07/31/21 03:30:00 AM,22.417,,,
156,07/31/21 03:45:00 AM,22.369,,,
157,07/31/21 04:00:00 AM,22.321,,,
158,07/31/21 04:15:00 AM,22.274,,,
159,07/31/21 04:30:00 AM,22.274,,,
160,07/31/21 04:45:00 AM,22.274,,,
161,07/31/21 05:00:00 AM,22.298,,,
162,07/31/21 05:15:00 AM,22.298,,,
163,07/31/21 05:30:00 AM,22.298,,,
164,07/31/21 05:45:00 AM,22.274,,,
165,07/31/21 06:00:00 AM,22.274,,,
166,07/31/21 06:15:00 AM,22.298,,,
167,07/31/21 06:30:00 AM,22.298,,,
168,07/31/21 06:45:00 AM,22.298,,,
169,07/31/21 07:00:00 AM,22.321,,,
170,07/31/21 07:15:00 AM,22.298,,,
171,07/31/21 07:30:00 AM,22.298,,,
172,07/31/21 07:45:00 AM,22.298,,,
173,07/31/21 08:00:00 AM,22.298,,,
174,07/31/21 08:15:00 AM,22.321,,,
175,07/31/21 08:30:00 AM,22.345,,,
176,07/31/21 08:45:00 AM,22.369,,,
177,07/31/21 09:00:00 AM,22.369,,,
178,07/31/21 09:15:00 AM,22.393,,,
179,07/31/21 09:30:00 AM,22.417,,,
180,07/31/21 09:45:00 AM,22.441,,,
181,07/31/21 10:00:00 AM,22.441,,,
182,07/31/21 10:15:00 AM,22.465,,,
183,07/31/21 10:30:00 AM,22.489,,,
184,07/31/21 10:45:00 AM,22.489,,,
185,07/31/21 11:00:00 AM,22.489,,,
186,07/31/21 11:15:00 AM,22.489,,,
187,07/31/21 11:30:00 AM,22.489,,,
188,07/31/21 11:45:00 AM,22.537,,,
189,07/31/21 12:00:00 PM,22.561,,,
190,07/31/21 12:15:00 PM,22.585,,,
191,07/31/21 12:30:00 PM,22.609,,,
192,07/31/21 12:45:00 PM,22.633,,,
193,07/31/21 01:00:00 PM,22.657,,,
194,07/31/21 01:15:00 PM,22.705,,,
195,07/31/21 01:30:00 PM,22.753,,,
196,07/31/21 01:45:00 PM,22.776,,,
197,07/31/21 01:54:24 PM,,,Logged,Logged
