"","id","read_count_1065","read_count_1147","read_count_1412","read_count_1560","read_count_1567","read_count_1617","read_count_1722","read_count_2000","read_count_2007","read_count_2302","read_count_2360","read_count_2398","read_count_2404","read_count_2412","read_count_2512","read_count_2523","read_count_2563","read_count_2729"
"1","chromosome_10_365643",2,34,4,1,1,6,10,1,2,0,0,3,1,0,0,0,2,1
"2","chromosome_10_365701",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3","chromosome_10_366823",1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,4,0
"4","chromosome_10_366897",229,0,37,0,0,284,592,1,108,26,19,0,14,1,10,39,261,9
"5","chromosome_10_367039",2,29,2,0,4,3,0,2,6,4,0,0,3,0,0,0,13,0
"6","chromosome_10_367612",0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"7","chromosome_10_367894",56,241,27,8,28,182,54,37,64,60,3,64,159,13,15,30,96,4
"8","chromosome_10_368110",0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0
"9","chromosome_10_368443",0,68,6,0,8,1,24,21,1,12,4,31,4,2,0,5,0,1
"10","chromosome_10_370371",11,1101,13,2,21,12,151,40,12,34,1,16,42,3,5,6,27,3
"11","chromosome_10_370480",0,0,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,1
"12","chromosome_10_370856",2,9,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0
"13","chromosome_10_371859",1,20,6,30,231,2,19,4,1,9,0,13,2,0,10,6,8,11
"14","chromosome_10_371901",0,153,0,0,0,0,49,0,0,23,0,20,20,0,1,13,0,0
"15","chromosome_10_372459",2,15,2,0,1,7,3,5,0,3,0,5,8,0,0,0,4,0
"16","chromosome_10_372462",0,44,2,0,4,2,3,5,1,2,0,4,5,0,0,2,0,0
"17","chromosome_10_372497",2,15,2,0,1,7,3,5,0,3,0,5,8,0,0,0,4,0
"18","chromosome_10_372626",5,26,1,0,3,9,3,1,11,3,0,0,11,0,0,0,3,3
"19","chromosome_10_372934",0,159,0,0,13,7,101,11,2,9,0,48,7,1,0,1,3,2
"20","chromosome_10_373634",2,0,0,0,2,0,0,0,5,0,0,0,0,2,0,0,0,0
"21","chromosome_10_374053",18,5168,216,2,674,286,1635,434,292,1023,87,1197,311,54,14,108,80,51
"22","chromosome_10_374068",1318,12488,1416,63,3572,3029,13376,2989,2680,10955,320,10425,6879,760,183,2665,2139,647
"23","chromosome_10_374070",9,347,40,1,58,44,119,87,19,88,0,62,30,5,5,31,13,7
"24","chromosome_10_375874",1,32,5,0,0,0,2,0,1,1,0,0,1,0,1,0,0,0
"25","chromosome_10_376397",2,188,0,0,13,1,12,2,1,2,1,3,8,0,0,0,1,6
"26","chromosome_10_376487",0,72,0,0,0,2,0,4,0,0,1,3,1,1,0,0,0,0
"27","chromosome_10_377004",6,198,4,0,11,17,49,14,13,3,5,28,28,0,1,11,19,0
"28","chromosome_10_377464",0,21,0,0,0,1,1,0,0,4,0,1,0,0,0,2,0,0
"29","chromosome_10_377632",0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,2,2
"30","chromosome_10_377733",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"31","chromosome_10_378089",0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"32","chromosome_10_378757",0,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"33","chromosome_10_379130",0,44,2,0,4,2,3,5,1,2,0,4,5,0,0,2,0,0
"34","chromosome_10_379725",0,44,2,0,4,2,3,5,1,2,0,4,5,0,0,2,0,0
"35","chromosome_10_380188",0,61,0,0,0,0,1,0,1,0,5,43,0,3,0,0,0,0
"36","chromosome_10_380390",1,9,0,0,0,0,0,3,0,3,0,6,0,2,0,0,1,0
"37","chromosome_10_380526",7,38,3,0,5,9,0,5,12,8,0,3,62,0,0,5,2,3
"38","chromosome_10_381466",1,25,0,0,0,3,1,1,0,1,6,1,5,0,0,0,1,0
"39","chromosome_10_382189",0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,5
"40","chromosome_10_382364",5,1161,89,6,23,93,48,136,26,528,11,292,1,28,1,63,6,13
"41","chromosome_10_382464",6,7,1,0,0,4,5,2,0,0,0,3,6,0,0,0,4,0
"42","chromosome_10_382924",0,4,0,0,20,2,1,0,0,0,0,1,5,2,1,0,5,1
"43","chromosome_10_383295",10,52,6,1,9,3,8,7,1,5,0,3,13,3,1,2,1,0
"44","chromosome_10_383771",1,24,2,0,0,2,5,0,4,0,1,1,0,0,0,1,3,0
"45","chromosome_10_384396",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"46","chromosome_10_384807",0,44,2,0,4,2,3,5,1,2,0,4,5,0,0,2,0,0
"47","chromosome_10_386393",0,116,60,0,22,0,3,0,24,112,3,19,33,1,0,0,0,0
"48","chromosome_10_386625",33,954,2,1,22,29,41,21,21,56,4,29,190,0,1,6,16,8
"49","chromosome_10_386939",97,1237,225,9,134,385,446,240,485,291,29,233,314,11,18,134,96,13
"50","chromosome_10_387079",0,65,1,0,2,2,5,3,1,8,0,15,3,0,0,3,1,0
"51","chromosome_10_387335",6,7,1,0,0,4,5,2,0,0,0,3,6,0,0,0,3,0
"52","chromosome_10_387449",0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"53","chromosome_10_388650",2,0,0,2,0,0,0,0,3,0,0,0,0,0,0,4,0,0
"54","chromosome_10_388660",0,25,5,0,0,0,4,1,0,5,0,3,8,1,0,2,3,0
"55","chromosome_10_389402",80,2,1218,41,1,451,6,27,0,6,185,32,0,5,2472,4,73,63
"56","chromosome_10_389646",57,12861,141,5,771,555,2746,489,170,936,52,2113,498,78,39,328,337,86
"57","chromosome_10_389652",1328,87765,3721,179,3660,9713,25363,7068,4134,16114,1545,18493,5268,1200,608,6008,5527,1467
"58","chromosome_10_389679",0,0,0,0,0,6,0,0,0,1,0,0,2,0,0,0,0,0
"59","chromosome_10_389860",57,12861,141,5,771,555,2746,489,170,936,52,2113,498,78,39,328,337,86
"60","chromosome_10_389864",1328,87765,3721,179,3660,9713,25363,7068,4134,16114,1545,18493,5268,1200,608,6008,5527,1467
"61","chromosome_10_389884",57,12861,141,5,771,555,2746,489,170,936,52,2113,498,78,39,328,337,86
"62","chromosome_10_389890",1328,87765,3721,179,3660,9713,25363,7068,4134,16114,1545,18493,5268,1200,608,6008,5527,1467
"63","chromosome_10_390163",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"64","chromosome_10_390165",10,49,6,0,14,6,21,7,19,3,1,9,11,1,1,10,0,0
"65","chromosome_10_390433",0,14,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"66","chromosome_10_390434",0,14,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"67","chromosome_10_390519",0,44,2,0,4,2,3,5,1,2,0,4,5,0,0,2,0,0
"68","chromosome_10_390725",2,153,3,1,3,1,50,10,5,6,0,2,26,0,0,0,0,0
"69","chromosome_10_390728",26,15,6,0,6,26,3,1,9,19,1,4,14,0,2,9,9,2
"70","chromosome_10_391205",0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
"71","chromosome_10_391371",0,17,0,0,0,7,2,8,1,7,1,6,7,0,0,0,0,0
"72","chromosome_10_391545",0,2,0,0,0,0,9,1,0,0,0,0,11,1,0,10,0,0
"73","chromosome_10_392162",0,7,4,33,3,1,3,3,1,2,3,11,0,0,4,3,4,28
"74","chromosome_10_392315",6,20,1,0,4,7,16,4,1,5,0,3,8,1,0,4,1,4
"75","chromosome_10_392818",0,6,3,0,0,29,2,0,1,49,2,22,0,2,0,0,0,2
"76","chromosome_10_393091",0,19,0,0,3,0,2,35,7,0,0,0,3,0,0,0,0,0
"77","chromosome_10_393301",0,101,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"78","chromosome_10_393303",0,1,0,0,5,22,10,0,3,4,1,9,11,3,0,0,0,1
"79","chromosome_10_394021",2,9,9,2,21,1,5,2,0,4,0,2,0,0,1,0,5,2
"80","chromosome_10_394071",21,14,16,20,61,6,1,39,13,16,41,14,15,17,24,32,54,19
"81","chromosome_10_394365",56,241,27,8,28,182,54,37,64,60,3,64,159,13,15,30,96,4
"82","chromosome_10_394648",11,174,6,0,0,8,20,11,6,85,0,104,5,4,5,42,5,1
"83","chromosome_10_395442",0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"84","chromosome_10_395495",20,304,16,0,52,69,17,42,12,105,7,114,51,5,9,40,18,4
"85","chromosome_10_395813",0,7,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0
"86","chromosome_10_396173",1,0,0,0,0,5,0,0,9,0,1,0,0,0,0,0,0,1
"87","chromosome_10_396210",0,0,0,0,0,3,0,0,0,4,0,0,1,0,0,3,0,0
"88","chromosome_10_396624",10,647,13,0,23,33,251,22,11,25,2,20,88,2,2,4,10,8
"89","chromosome_10_397430",0,11,0,0,0,2,5,0,0,0,0,5,4,0,0,0,0,0
"90","chromosome_10_397926",1,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0
"91","chromosome_10_397941",0,11,1,0,1,4,7,0,0,3,0,1,0,0,0,0,0,0
