,Day,WTMP
1,1-Jan,5.254067298
12,2-Jan,5.185709918
23,3-Jan,4.878623797
26,4-Jan,4.66030999
27,5-Jan,4.666059509
28,6-Jan,4.584682906
29,7-Jan,4.53494353
30,8-Jan,4.412435398
31,9-Jan,4.419399732
2,10-Jan,4.410102739
3,11-Jan,4.400664426
4,12-Jan,4.811083244
5,13-Jan,4.986368629
6,14-Jan,4.760009158
7,15-Jan,4.391967145
8,16-Jan,4.083260224
9,17-Jan,3.787207965
10,18-Jan,4.055846392
11,19-Jan,4.165814106
13,20-Jan,4.001556757
14,21-Jan,3.593705746
15,22-Jan,3.397495693
16,23-Jan,3.530629722
17,24-Jan,3.446910548
18,25-Jan,3.365355861
19,26-Jan,3.304664049
20,27-Jan,3.279713709
21,28-Jan,3.382195585
22,29-Jan,3.536902045
24,30-Jan,3.391497709
25,31-Jan,3.372844539
124,1-Feb,3.207366474
135,2-Feb,3.436365246
146,3-Feb,3.358332641
147,4-Feb,3.225776214
148,5-Feb,3.223380818
149,6-Feb,3.046248301
150,7-Feb,3.123456583
151,8-Feb,3.205951232
152,9-Feb,2.840833654
125,10-Feb,2.741054534
126,11-Feb,2.774015703
127,12-Feb,2.809522792
128,13-Feb,2.753812017
129,14-Feb,2.711702959
130,15-Feb,2.77881916
131,16-Feb,2.747792582
132,17-Feb,2.809076136
133,18-Feb,2.771805293
134,19-Feb,2.691143307
136,20-Feb,2.688054696
137,21-Feb,2.859851426
138,22-Feb,3.052742726
139,23-Feb,3.247896172
140,24-Feb,3.099513954
141,25-Feb,3.212393886
142,26-Feb,3.137021781
143,27-Feb,2.99815125
144,28-Feb,3.05653317
153,1-Mar,3.071414848
164,2-Mar,3.067328654
175,3-Mar,2.969399546
178,4-Mar,2.821261851
179,5-Mar,2.841736462
180,6-Mar,2.906339436
181,7-Mar,3.067031388
182,8-Mar,3.121103394
183,9-Mar,3.412988854
154,10-Mar,3.559058513
155,11-Mar,3.74822847
156,12-Mar,3.859572917
157,13-Mar,3.882853488
158,14-Mar,3.987921903
159,15-Mar,4.036397029
160,16-Mar,4.035626714
161,17-Mar,4.060096211
162,18-Mar,4.238410359
163,19-Mar,4.310380093
165,20-Mar,4.436248744
166,21-Mar,4.445364287
167,22-Mar,4.444223771
168,23-Mar,4.396544542
169,24-Mar,4.364511849
170,25-Mar,4.516761119
171,26-Mar,4.540410686
172,27-Mar,4.470566533
173,28-Mar,4.717730796
174,29-Mar,4.838274998
176,30-Mar,4.943291413
177,31-Mar,5.179520378
184,1-Apr,5.276291342
195,2-Apr,5.362320766
206,3-Apr,5.57774507
208,4-Apr,5.699940189
209,5-Apr,5.72621089
210,6-Apr,5.968443697
211,7-Apr,6.226228724
212,8-Apr,6.174827709
213,9-Apr,6.298717757
185,10-Apr,6.541299777
186,11-Apr,6.958562417
187,12-Apr,6.979589657
188,13-Apr,7.100840257
189,14-Apr,7.412414044
190,15-Apr,7.384423852
191,16-Apr,7.279659615
192,17-Apr,7.439211629
193,18-Apr,7.664103042
194,19-Apr,7.941333097
196,20-Apr,8.060241569
197,21-Apr,8.050924251
198,22-Apr,8.41909686
199,23-Apr,8.37516545
200,24-Apr,8.471060029
201,25-Apr,8.936224768
202,26-Apr,9.033545071
203,27-Apr,9.010562454
204,28-Apr,9.077282657
205,29-Apr,9.407900754
207,30-Apr,9.490014359
214,1-May,9.672856737
225,2-May,9.842680705
236,3-May,10.01049994
239,4-May,10.10507741
240,5-May,10.32717825
241,6-May,10.35952522
242,7-May,10.65656767
243,8-May,11.06909984
244,9-May,10.79194953
215,10-May,10.88124661
216,11-May,11.13120277
217,12-May,11.12639308
218,13-May,11.12352558
219,14-May,11.38289915
220,15-May,11.57376716
221,16-May,11.66496125
222,17-May,11.88487662
223,18-May,12.08811883
224,19-May,12.23202371
226,20-May,12.55838006
227,21-May,12.76730254
228,22-May,12.89067515
229,23-May,12.75480633
230,24-May,12.99533585
231,25-May,13.10600282
232,26-May,13.71881086
233,27-May,13.93839937
234,28-May,14.07801309
235,29-May,14.1290317
237,30-May,14.50574648
238,31-May,14.82370376
245,1-Jun,14.94393524
256,2-Jun,14.98614529
267,3-Jun,15.01018746
269,4-Jun,14.88497731
270,5-Jun,15.11398356
271,6-Jun,15.16420076
272,7-Jun,15.4338959
273,8-Jun,15.84548508
274,9-Jun,16.09181903
246,10-Jun,16.10905053
247,11-Jun,16.18140593
248,12-Jun,16.30200884
249,13-Jun,16.5137131
250,14-Jun,16.45517434
251,15-Jun,16.40791735
252,16-Jun,16.92169189
253,17-Jun,17.08194903
254,18-Jun,17.26596768
255,19-Jun,17.36605742
257,20-Jun,17.59328608
258,21-Jun,17.74122787
259,22-Jun,17.85280893
260,23-Jun,18.04623387
261,24-Jun,18.1681005
262,25-Jun,18.55426978
263,26-Jun,18.77458397
264,27-Jun,18.70330926
265,28-Jun,18.95376488
266,29-Jun,18.88093636
268,30-Jun,19.13180316
275,1-Jul,19.47692317
286,2-Jul,19.51623201
297,3-Jul,19.65587904
300,4-Jul,20.21002841
301,5-Jul,19.96034501
302,6-Jul,20.06546673
303,7-Jul,20.11722514
304,8-Jul,20.05201209
305,9-Jul,19.93719414
276,10-Jul,20.11785895
