"","Group.1","x"
"1","1-1",5.41943104376332
"2","1-10",4.5525509459936
"3","1-11",4.47268402946089
"4","1-12",4.82875113979302
"5","1-13",5.05135493217351
"6","1-14",4.83860853422191
"7","1-15",4.4488081643204
"8","1-16",4.13567818946639
"9","1-17",3.92467306433652
"10","1-18",4.26737812662807
"11","1-19",4.32586529286216
"12","1-2",5.38319860356364
"13","1-20",4.20300313305119
"14","1-21",3.81205758331093
"15","1-22",3.39749476700283
"16","1-23",3.53062972240255
"17","1-24",3.44691054805756
"18","1-25",3.36535586056938
"19","1-26",3.30466404916704
"20","1-27",3.27971370910852
"21","1-28",3.38219558541638
"22","1-29",3.53690204549587
"23","1-3",5.04290859361488
"24","1-30",3.3914977093995
"25","1-31",3.37284453945726
"26","1-4",4.78326584148181
"27","1-5",4.79288631547679
"28","1-6",4.75852287787585
"29","1-7",4.67707248118485
"30","1-8",4.49848047368422
"31","1-9",4.62009119568382
"32","10-1",18.0085801640882
"33","10-10",17.1226218035611
"34","10-11",16.8835786064858
"35","10-12",16.7530654960763
"36","10-13",16.5093526186019
"37","10-14",16.4705422205779
"38","10-15",16.3939114197856
"39","10-16",16.1452118606967
"40","10-17",15.8229537162357
"41","10-18",15.632845805758
"42","10-19",15.4719234683218
"43","10-2",17.9268644316597
"44","10-20",15.4599137962932
"45","10-21",15.3960211205729
"46","10-22",15.1997833206448
"47","10-23",14.9053173862863
"48","10-24",14.7252294466591
"49","10-25",14.5511157258236
"50","10-26",14.3109034408438
"51","10-27",14.1613277209976
"52","10-28",14.2106486783014
"53","10-29",13.92668008828
"54","10-3",17.8426469248803
"55","10-30",13.5979450529711
"56","10-31",13.5982460035209
"57","10-4",17.7379916027159
"58","10-5",17.6755101906475
"59","10-6",17.5243804891606
"60","10-7",17.5840802584477
"61","10-8",17.4744119927415
"62","10-9",17.3489090693861
"63","11-1",13.6693595874555
"64","11-10",12.3022062617491
"65","11-11",11.7434268417513
"66","11-12",11.5764478746804
"67","11-13",11.5461104813206
"68","11-14",11.4209702821892
"69","11-15",11.3766032830018
"70","11-16",11.5327716941783
"71","11-17",11.2334666033407
"72","11-18",10.8176036803036
"73","11-19",10.5779176547134
"74","11-2",13.4690390843073
"75","11-20",10.2915112707457
"76","11-21",9.96774897815123
"77","11-22",9.94870812855556
"78","11-23",9.72303127296031
"79","11-24",9.48155041503968
"80","11-25",9.33861980214192
"81","11-26",9.4936593011016
"82","11-27",9.71219733803533
"83","11-28",9.44201666355203
"84","11-29",9.08469753478547
"85","11-3",13.1614928647886
"86","11-30",9.12400172642136
"87","11-4",12.9189410510289
"88","11-5",12.8954736781677
"89","11-6",12.9982072925375
"90","11-7",12.7818566996734
"91","11-8",12.3505701345425
"92","11-9",12.168892147367
"93","12-1",9.25654537384467
"94","12-10",7.53360377008112
"95","12-11",7.50783514077905
"96","12-12",7.304433182001
"97","12-13",7.24856091250469
"98","12-14",7.06323026585213
"99","12-15",7.1254892572819
"100","12-16",6.90556810492697
"101","12-17",6.63956702652626
"102","12-18",6.38320039270149
"103","12-19",6.00867457120876
"104","12-2",9.11430256094681
"105","12-20",5.90506791913934
"106","12-21",6.09863079566039
"107","12-22",6.24127772007342
"108","12-23",6.15295643506102
"109","12-24",6.3138525960023
"110","12-25",6.46993275104578
"111","12-26",6.22642673500922
"112","12-27",6.32939017141973
"113","12-28",6.14446096401758
"114","12-29",5.96387722203558
"115","12-3",8.98451671932981
"116","12-30",5.66580758165802
"117","12-31",5.47572402710178
"118","12-4",8.69118095772568
"119","12-5",8.30143146269777
"120","12-6",8.22540536977679
"121","12-7",7.86948341958543
"122","12-8",7.52075156567438
"123","12-9",7.24493721834607
"124","2-1",3.20736647384087
"125","2-10",2.74105453358147
"126","2-11",2.77401570294396
"127","2-12",2.80952279160122
"128","2-13",2.75381201665947
"129","2-14",2.71170295902866
"130","2-15",2.77881915957695
"131","2-16",2.7477925823434
"132","2-17",2.80907613553447
"133","2-18",2.77180529301336
"134","2-19",2.69114330730377
