#YY	MM	DD	hh	mm	WDI	R WSP	D GST	WVHT	DPD	APD	MWD	PRES	ATMP	WTMP	DEWP	VIS	TIDE
2021	1	1	0	0	284	3.6	4.8	99	99	99	999	1024.2	4.5	6.9	999	99	99
2021	1	1	0	6	292	4.6	5.2	99	99	99	999	1024.6	4.5	6.9	999	99	99
2021	1	1	0	12	289	3.9	5.3	99	99	99	999	1024.6	4.5	6.9	999	99	99
2021	1	1	0	18	294	4.2	5.1	99	99	99	999	1024.3	4.4	6.9	999	99	99
2021	1	1	0	24	304	4	5.7	99	99	99	999	1024.7	4.4	6.9	999	99	99
2021	1	1	0	30	297	3.5	6	99	99	99	999	1024.5	4.3	6.9	999	99	99
2021	1	1	0	36	307	3.1	5.8	99	99	99	999	1024.6	4.4	6.9	999	99	99
2021	1	1	0	42	300	3	5.3	99	99	99	999	1024.7	4.3	6.9	999	99	99
2021	1	1	0	48	309	4.3	5.7	99	99	99	999	1024.7	4.2	6.9	999	99	99
2021	1	1	0	54	306	3.8	6.2	99	99	99	999	1025.1	4.3	6.9	999	99	99
2021	1	1	1	0	306	4	5.7	99	99	99	999	1025.2	4.2	6.9	999	99	99
2021	1	1	1	6	306	4.4	5.5	99	99	99	999	1025.5	4.2	6.9	999	99	99
2021	1	1	1	12	301	3.6	6.1	99	99	99	999	1025.6	4.2	6.9	999	99	99
2021	1	1	1	18	313	4.5	5.9	99	99	99	999	1025.7	4.1	6.9	999	99	99
2021	1	1	1	24	313	4.3	6.3	99	99	99	999	1025.9	4.1	6.9	999	99	99
2021	1	1	1	30	315	4.8	6.4	99	99	99	999	1026	4.1	6.8	999	99	99
2021	1	1	1	36	315	4.1	6.3	99	99	99	999	1025.9	4.1	6.8	999	99	99
2021	1	1	1	42	311	5.1	6.7	99	99	99	999	1026	4.1	6.8	999	99	99
2021	1	1	1	48	311	5.2	6.2	99	99	99	999	1026	4.1	6.8	999	99	99
2021	1	1	1	54	319	3.8	6.9	99	99	99	999	1026	4	6.9	999	99	99
2021	1	1	2	0	314	4.6	6.7	99	99	99	999	1026	4	6.9	999	99	99
2021	1	1	2	6	319	4.6	6.4	99	99	99	999	1026.1	4	6.8	999	99	99
2021	1	1	2	12	327	4.1	6.5	99	99	99	999	1026.1	4	6.8	999	99	99
2021	1	1	2	18	324	4.6	6.1	99	99	99	999	1026.2	4	6.8	999	99	99
2021	1	1	2	24	334	4.5	6.3	99	99	99	999	1026.4	999	6.8	999	99	99
2021	1	1	2	30	330	4	8.6	99	99	99	999	1026.6	999	6.7	999	99	99
2021	1	1	2	36	331	4	6.4	99	99	99	999	1026.8	3.9	6.7	999	99	99
2021	1	1	2	42	328	3.8	5.6	99	99	99	999	1027	3.9	6.7	999	99	99
2021	1	1	2	48	336	4.3	6.7	99	99	99	999	1026.9	3.8	6.6	999	99	99
2021	1	1	2	54	333	5	7.4	99	99	99	999	1026.8	3.7	6.6	999	99	99
2021	1	1	3	0	340	4.6	6.5	99	99	99	999	1026.8	3.7	6.6	999	99	99
2021	1	1	3	6	341	4.9	7.3	99	99	99	999	1026.9	3.6	6.6	999	99	99
2021	1	1	3	12	334	4.2	6.7	99	99	99	999	1026.9	3.6	6.6	999	99	99
2021	1	1	3	18	333	4.9	6.5	99	99	99	999	1027.1	3.5	6.7	999	99	99
2021	1	1	3	24	331	4.3	6.8	99	99	99	999	1027.2	3.4	6.6	999	99	99
2021	1	1	3	30	329	4	5.5	99	99	99	999	1027.3	3.4	6.7	999	99	99
2021	1	1	3	36	338	4.5	6.5	99	99	99	999	1027.5	3.4	6.8	999	99	99
2021	1	1	3	42	322	4.3	6.2	99	99	99	999	1027.5	3.3	6.8	999	99	99
2021	1	1	3	48	324	3.6	5.4	99	99	99	999	1027.6	3.3	6.7	999	99	99
2021	1	1	3	54	330	3.5	6.1	99	99	99	999	1027.7	3.3	6.7	999	99	99
2021	1	1	4	0	314	4.9	6.2	99	99	99	999	1027.7	3.2	6.7	999	99	99
2021	1	1	4	6	327	3.6	5.7	99	99	99	999	1027.9	3.1	6.6	999	99	99
2021	1	1	4	12	315	4	5.1	99	99	99	999	1028	3	6.6	999	99	99
2021	1	1	4	18	316	4.9	5.7	99	99	99	999	1028.1	3	6.6	999	99	99
2021	1	1	4	24	319	2.8	6	99	99	99	999	9999	2.9	6.6	999	99	99
2021	1	1	4	30	311	4.3	5.7	99	99	99	999	9999	2.8	6.6	999	99	99
2021	1	1	4	36	311	4.5	5.3	99	99	99	999	1028.4	2.7	6.6	999	99	99
2021	1	1	4	42	312	3.4	5.5	99	99	99	999	1028.5	2.7	6.6	999	99	99
2021	1	1	4	48	315	4.1	5.3	99	99	99	999	1028.4	2.6	6.6	999	99	99
2021	1	1	4	54	320	3.5	5.6	99	99	99	999	1028.5	2.5	6.6	999	99	99
2021	1	1	5	0	314	4.2	5.2	99	99	99	999	1028.6	2.5	6.6	999	99	99
2021	1	1	5	6	999	99	99	99	99	99	999	1028.6	2.4	6.6	999	99	99
2021	1	1	5	12	999	99	99	99	99	99	999	1028.7	2.4	6.6	999	99	99
2021	1	1	5	18	999	99	99	99	99	99	999	1028.8	2.4	6.6	999	99	99
2021	1	1	5	24	318	3.6	5	99	99	99	999	1028.8	2.4	6.6	999	99	99
2021	1	1	5	30	302	2.8	4.9	99	99	99	999	1028.8	2.3	6.6	999	99	99
2021	1	1	5	36	304	2	3.7	99	99	99	999	1028.9	2.2	6.6	999	99	99
2021	1	1	5	42	301	2.1	3.1	99	99	99	999	1029	2.1	6.6	999	99	99
2021	1	1	5	48	304	2.5	3.9	99	99	99	999	1029	2.1	6.6	999	99	99
2021	1	1	5	54	999	99	99	99	99	99	999	1029.2	2.1	6.6	999	99	99
2021	1	1	6	0	999	99	99	99	99	99	999	1029.2	2.1	6.6	999	99	99
2021	1	1	6	6	326	3	4.7	99	99	99	999	1029.4	2.1	6.6	999	99	99
2021	1	1	6	12	308	3.1	4.3	99	99	99	999	1029.4	2	6.6	999	99	99
2021	1	1	6	18	312	2.6	3.9	99	99	99	999	1029.7	2	6.6	999	99	99
