Run,Light_Level,Light_Value,Date,Start.time,Stop.time
1,1,340,20210410,10:38,11:10
1,0,0,20210410,11:12,11:34
2,1,392,20210430,11:03,11:24
2,0,0,20210430,11:27,11:47
3,1,321,20210602,11:04,11:34
3,0,0,20210602,11:36,12:00
4,1,319,20210625,12:16,12:36
4,0,0,20210625,12:38,12:58
5,1,319,20210625,13:30,13:50
5,0,0,20210625,13:52,14:12
6,1,366,20210723,10:24,10:44
6,0,0,20210723,10:46,11:08
7,1,366,20210723,11:40,12:00
7,0,0,20210723,12:02,12:21
8,1,342,20210901,10:45,11:05
8,0,0,20210901,11:07,11:27
9,1,342,20210901,12:01,12:21
9,0,0,20210901,12:23,12:43
