Date,colony_id,Chamber.Channel,Chamber ,Run,Temp.Cat,Treatment,Chamber.Vol.L,Surface.Area.cm2,Notes
20210401,BK-1,1,1,9,6.15,Ambient,0.548,NA,
20210401,AST-2539,3,3,9,6.15,Ambient,0.574,25,
20210401,AST-1037,5,5,9,6.15,Ambient,0.582,25,
20210401,AST-1337,6,6,9,6.15,Ambient,0.584,25,
20210401,AST-2020,7,7,9,6.15,Ambient,0.608,25,
20210401,BK-2,8,8,9,6.15,Ambient,0.524,NA,
20210401,AST-2403,1,1,10,6.19,Ambient,0.602,25,
20210401,AST-1182,2,2,10,6.19,Ambient,0.592,25,
20210401,BK-4,3,3,10,6.19,Ambient,0.61,NA,
20210401,BK-3,5,5,10,6.19,Ambient,0.604,NA,
20210401,AST-2538,6,6,10,6.19,Ambient,0.588,25,
20210401,AST-1288,8,8,10,6.19,Ambient,0.6,25,did not get vol; this is average vol from run 2
20210401,BK-6,1,1,11,10.15,Heat,0.606,NA,
20210401,AST-2165,2,2,11,10.15,Heat,0.59,25,
20210401,AST-1496,3,3,11,10.15,Heat,0.61,25,
20210401,AST-1473,6,6,11,10.15,Heat,0.594,25,
20210401,AST-1735,7,7,11,10.15,Heat,0.6,25,
20210401,BK-5,8,8,11,10.15,Heat,0.612,NA,
20210401,BK-8,1,1,12,9.88,Heat,0.604,NA,
20210401,AST-1273,2,2,12,9.88,Heat,0.606,25,
20210401,BK-7,3,3,12,9.88,Heat,0.59,NA,
20210401,AST-2541,5,5,12,9.88,Heat,0.602,25,
20210401,AST-1184,7,7,12,9.88,Heat,0.604,25,
20210401,AST-1761,8,8,12,9.88,Heat,0.602,25,
