Tin_ID,Plug_ID,Fraction ,Volume_mL,Tin_g,Tin_Dry_g,Dry_Biomass_g,Tin_Burn_g,AFDW_g_mL,Notes
616,AST-1343,Host,4,1.1116,1.1582,0.0466,1.1534,0.0012,
482,AST2539,Host,4,1.1434,1.1866,0.0432,1.1806,0.0015,
509,AST-2000,Host,4,1.1279,1.1673,0.0394,1.1644,0.000725,
882,AST-2873,Host,4,1.1355,1.1743,0.0388,1.1708,0.000875,
876,AST-2404,Host,4,1.1364,1.176,0.0396,1.1738,0.00055,
662,,,,1.1225,,,,,
558,AST-1647,Host,4,1.1763,1.2207,0.0444,1.2156,0.001275,
775,FLD-0009,Host,4,1.1358,1.1769,0.0411,1.1726,0.001075,
502,,,,1.118,,,,,
833,,,,1.1415,,,1.1573,,FLD or AST sample?
839,AST-2729,Host,4,1.1182,1.159,0.0408,1.1561,0.000725,
828,FLD-2550,Host,4,1.1308,1.1741,0.0433,1.1677,0.0016,
458,AST-1058,Host,4,1.1218,1.1632,0.0414,1.1575,0.001425,
651,FLD-0017,Host,4,1.1265,,,1.136,,
653,AST-2737,Host,4,1.1159,1.1296,0.0137,1.1267,0.000725,
562,,,,1.1383,,,,,
857,FLD-0026,Host,4,1.1435,,,1.1571,,
477,AST-2561,Host,4,1.127,1.1471,0.0201,1.1409,0.00155,
875,FLD-0032,Host,4,1.1449,1.1765,0.0316,1.174,0.000625,
872,AST-2060,Host,4,1.1405,1.1915,0.051,1.1812,0.002575,
716,AST-1194,Host,4,1.1522,1.1827,0.0305,1.179,0.000925,
788,AST-1450,Host,4,1.1476,1.1806,0.033,1.1788,0.00045,
998,AST-1457,Host,4,1.1293,1.1373,0.008,1.1349,0.0006,
925,AST-1578,Host,4,1.128,1.1653,0.0373,1.1628,0.000625,
914,AST-2731,Host,4,1.1552,1.1787,0.0235,1.1769,0.00045,
981,,,,1.1314,,,,,
983,AST-1189,Host,4,1.1539,1.1954,0.0415,1.189,0.0016,
933,,,,1.1388,,,,,
991,FLD-0020,Host,4,1.147,1.1896,0.0426,1.1848,0.0012,
911,FLD-0013,Host,4,1.1267,1.1796,0.0529,1.1678,0.00295,
928,AST-2208,Host,4,1.1313,1.1699,0.0386,1.1671,0.0007,
922,AST-1562,Host,4,1.1173,1.1603,0.043,1.1568,0.000875,
982,AST-2301,Host,4,1.1428,1.1866,0.0438,1.1803,0.001575,
821,AST-1074,Host,4,1.128,1.169,0.041,1.166,0.00075,
993,AST-2738,Host,4,1.1307,1.1488,0.0181,1.1449,0.000975,
920,AST-2209,Host,4,1.1432,1.1835,0.0403,1.1792,0.001075,
936,AST-1458,Host,4,1.1451,,,1.1864,,
989,,,,1.1286,,,,,
967,AST-2512,Host,4,1.1249,1.1516,0.0267,1.1515,2.5E-05,
996,AST-2523,Host,4,1.1512,1.182,0.0308,1.1799,0.000525,
992,AST-1105,Host,4,1.1418,1.1857,0.0439,1.1808,0.001225,
941,AST-1138,Host,4,1.1304,,,1.1674,,
931,FLD-2305,Host,4,1.1287,1.1709,0.0422,1.1651,0.00145,
929,,,,1.1325,,,,,
915,AST-1434,Host,4,1.1588,1.1988,0.04,1.1952,0.0009,
968,,,,1.1465,,,,,
987,AST-1739,Host,4,1.1381,1.1845,0.0464,1.1776,0.001725,
