Well ,485,Run
A1,0.07,1
B1,0.082,1
C1,0.074,1
D1,0.065,1
E1,0.091,1
F1,0.089,1
G1,0.093,1
H1,0.091,1
A2,0.113,1
B2,0.112,1
C2,0.133,1
D2,0.134,1
E2,0.171,1
F2,0.165,1
G2,0.198,1
H2,0.135,1
A3,0.475,1
B3,0.482,1
C3,0.866,1
D3,0.938,1
E3,0.101,1
F3,0.063,1
G3,0.187,1
H3,0.195,1
A4,0.123,1
B4,0.089,1
C4,0.158,1
D4,0.147,1
E4,0.274,1
F4,0.333,1
G4,0.164,1
H4,0.166,1
A5,0.091,1
B5,0.079,1
C5,0.156,1
D5,0.158,1
E5,0.147,1
F5,0.137,1
G5,0.274,1
H5,0.278,1
A6,0.094,1
B6,0.118,1
C6,0.137,1
D6,0.125,1
E6,0.122,1
F6,0.08,1
G6,0.1,1
H6,0.105,1
A7,0.195,1
B7,0.193,1
C7,0.115,1
D7,0.161,1
E7,0.151,1
F7,0.161,1
G7,0.201,1
H7,0.254,1
A8,0.182,1
B8,0.185,1
C8,0.143,1
D8,0.112,1
E8,0.103,1
F8,0.13,1
G8,0.117,1
H8,0.107,1
A9,0.186,1
B9,0.186,1
C9,0.121,1
D9,0.121,1
E9,0.106,1
F9,0.092,1
G9,0.11,1
H9,0.102,1
A10,0.231,1
B10,0.229,1
C10,0.1,1
D10,0.081,1
E10,0.077,1
F10,0.069,1
G10,0.203,1
H10,0.202,1
A11,0.067,1
B11,0.062,1
C11,0.134,1
D11,0.104,1
E11,0.302,1
F11,0.237,1
G11,0.132,1
H11,0.114,1
A12,0.224,1
B12,0.22,1
C12,0.243,1
D12,0.225,1
E12,0.111,1
F12,0.094,1
G12,0.1,1
H12,0.104,1
A1,0.08,2
B1,0.07,2
C1,0.117,2
D1,0.128,2
E1,0.093,2
F1,0.084,2
G1,0.106,2
H1,0.123,2
A2,0.103,2
B2,0.102,2
C2,0.108,2
D2,0.123,2
E2,0.169,2
F2,0.168,2
G2,0.278,2
H2,0.276,2
A3,0.31,2
B3,0.239,2
C3,0.667,2
D3,0.678,2
E3,0.161,2
F3,0.14,2
G3,0.136,2
H3,0.188,2
A4,0.115,2
B4,0.124,2
C4,0.26,2
D4,0.265,2
E4,0.125,2
F4,0.074,2
G4,0.141,2
H4,0.108,2
A5,0.31,2
B5,0.342,2
C5,0.088,2
D5,0.093,2
E5,0.068,2
F5,0.069,2
G5,0.17,2
H5,0.167,2
A6,0.1,2
B6,0.077,2
C6,0.16,2
D6,0.128,2
E6,0.115,2
F6,0.104,2
G6,0.158,2
H6,0.177,2
A7,0.236,2
B7,0.247,2
C7,0.107,2
D7,0.094,2
E7,0.13,2
F7,0.125,2
G7,0.125,2
H7,0.125,2
A8,0.189,2
B8,0.161,2
C8,0.107,2
D8,0.106,2
E8,0.258,2
F8,0.261,2
G8,0.175,2
H8,0.178,2
A9,0.098,2
B9,0.103,2
C9,0.203,2
D9,0.195,2
E9,0.215,2
F9,0.203,2
G9,0.097,2
H9,0.086,2
A10,0.258,2
B10,0.26,2
C10,0.087,2
D10,0.084,2
E10,0.148,2
F10,0.143,2
G10,0.111,2
H10,0.111,2
A11,0.107,2
B11,0.107,2
C11,0.118,2
D11,0.118,2
E11,0.304,2
F11,0.308,2
G11,0.112,2
H11,0.108,2
A12,0.273,2
B12,0.269,2
C12,0.111,2
D12,0.116,2
E12,0.224,2
F12,0.209,2
G12,0.045,2
H12,0.047,2
A1,0.06,3
B1,0.061,3
C1,0.06,3
D1,0.059,3
E1,0.073,3
F1,0.073,3
G1,0.091,3
H1,0.09,3
A2,0.099,3
B2,0.094,3
C2,0.1,3
D2,0.098,3
E2,0.137,3
F2,0.146,3
G2,0.208,3
H2,0.216,3
A3,0.473,3
