Well,ID
A1,Blank 
B1,Blank 
C1,FLD-0020
D1,FLD-0020
E1,AST-2198
F1,AST-2198
G1,AST-1249
H1,AST-1249
A2,AST-1618
B2,AST-1618
C2,AST-2403
D2,AST-2403
E2,AST-2301
F2,AST-2301
G2,AST-1273
H2,AST-1273
A3,AST-2302
B3,AST-2302
C3,AST-1499/1409?
D3,AST-1499/1409?
E3,AST-2044
F3,AST-2044
G3,AST-2060
H3,AST-2060
A4,AST-2404
B4,AST-2404
C4,AST-2197
D4,AST-2197
E4,FLD-0032
F4,FLD-0032
G4,AST-1152
H4,AST-1152
A5,AST-1117
B5,AST-1117
C5,AST-1568
D5,AST-1568
E5,AST-2563
F5,AST-2563
G5,FLD-0031
H5,FLD-0031
A6,AST-1761
B6,AST-1761
C6,AST-1692
D6,AST-1692
E6,AST-1343
F6,AST-1343
G6,AST-1126
H6,AST-1126
A7,AST-1332
B7,AST-1332
C7,AST-1649
D7,AST-1649
E7,AST-1497
F7,AST-1497
G7,AST-2729
H7,AST-2729
A8,FLD-0029
B8,FLD-0029
C8,FLD-2305
D8,FLD-2305
E8,FLD-0014
F8,FLD-0014
G8,AST-1185
H8,AST-1185
A9,AST-2541
B9,AST-2541
C9,AST-2669
D9,AST-2669
E9,AST-1689
F9,AST-1689
G9,AST-2561
H9,AST-2561
A10,AST-2020
B10,AST-2020
C10,AST-1105
D10,AST-1105
E10,FLD-0027
F10,FLD-0027
G10,FLD-2550
H10,FLD-2550
A11,FLD-0042
B11,FLD-0042
C11,FLD-0001
D11,FLD-0001
E11,AST-1145
F11,AST-1145
G11,AST-2520
H11,AST-2520
A12,AST-1290
B12,AST-1290
C12,AST-1498
D12,AST-1498
E12,FLD-1655
F12,FLD-1655
G12,FLD-0003
H12,FLD-0003
