Well,630,663,750,
A1,0.028,0.027,0.027,
B1,0.026,0.026,0.026,
C1,0.031,0.045,0.028,
D1,0.032,0.05,0.028,
E1,0.034,0.055,0.028,
F1,0.037,0.063,0.029,
G1,0.032,0.034,0.03,
H1,0.031,0.035,0.029,
A2,0.044,0.077,0.035,
B2,0.043,0.085,0.031,
C2,0.046,0.092,0.032,
D2,0.049,0.105,0.032,
E2,0.04,0.082,0.029,
F2,0.044,0.098,0.029,
G2,0.048,0.124,0.028,
H2,0.054,0.151,0.029,
A3,0.054,0.116,0.036,
B3,0.049,0.126,0.028,
C3,0.038,0.07,0.029,
D3,0.044,0.083,0.032,
E3,0.029,0.028,0.028,
F3,0.029,0.029,0.028,
G3,0.029,0.028,0.028,
H3,0.028,0.028,0.028,
A4,0.031,0.031,0.03,
B4,0.028,0.028,0.028,
C4,0.028,0.028,0.028,
D4,0.029,0.028,0.028,
E4,0.028,0.028,0.028,
F4,0.029,0.029,0.028,
G4,0.028,0.028,0.028,
H4,0.029,0.029,0.028,
A5,0.029,0.029,0.029,
B5,0.029,0.028,0.028,
C5,0.028,0.028,0.028,
D5,0.028,0.028,0.028,
E5,0.028,0.028,0.028,
F5,0.028,0.028,0.028,
G5,0.028,0.028,0.028,
H5,0.028,0.028,0.028,
A6,0.029,0.029,0.029,
B6,0.028,0.028,0.028,
C6,0.028,0.028,0.028,
D6,0.029,0.028,0.028,
E6,0.028,0.028,0.028,
F6,0.028,0.028,0.028,
G6,0.028,0.028,0.028,
H6,0.029,0.029,0.029,
A7,0.029,0.029,0.028,
B7,0.028,0.028,0.028,
C7,0.028,0.028,0.028,
D7,0.028,0.028,0.028,
E7,0.028,0.028,0.028,
F7,0.029,0.029,0.028,
G7,0.028,0.028,0.028,
H7,0.028,0.028,0.028,
A8,0.029,0.029,0.029,
B8,0.029,0.029,0.029,
C8,0.029,0.029,0.028,
D8,0.028,0.028,0.028,
E8,0.028,0.028,0.028,
F8,0.028,0.028,0.028,
G8,0.028,0.028,0.028,
H8,0.028,0.028,0.028,
A9,0.029,0.029,0.028,
B9,0.031,0.031,0.03,
C9,0.029,0.029,0.029,
D9,0.028,0.028,0.028,
E9,0.029,0.028,0.028,
F9,0.03,0.03,0.029,
G9,0.028,0.028,0.028,
H9,0.032,0.032,0.032,
A10,0.03,0.029,0.029,
B10,0.029,0.029,0.029,
C10,0.028,0.028,0.028,
D10,0.029,0.029,0.029,
E10,0.029,0.028,0.028,
F10,0.028,0.028,0.028,
G10,0.028,0.028,0.028,
H10,0.03,0.03,0.029,
A11,0.03,0.029,0.029,
B11,0.028,0.028,0.028,
C11,0.028,0.028,0.028,
D11,0.029,0.029,0.028,
E11,0.028,0.028,0.028,
F11,0.028,0.028,0.028,
G11,0.028,0.028,0.028,
H11,0.031,0.031,0.03,
A12,0.029,0.029,0.029,
B12,0.028,0.028,0.028,
C12,0.029,0.029,0.029,
D12,0.028,0.028,0.028,
E12,0.028,0.028,0.028,
F12,0.028,0.028,0.028,
G12,0.029,0.029,0.029,
H12,0.028,0.028,0.028,
,,,,
,,,,
,,,,
