Date,colony_id,Chamber.Channel,Chamber ,Run,Temp.Cat,Treatment,Chamber.Vol.L,Surface.Area.cm2,Notes
20210410,FLD-1237,5,5,1,10.25,Field-TP2,0.6,25,NA
20210410,FLD-1241,1,1,1,10.25,Field-TP2,0.608,25,NA
20210410,FLD-1655,4,4,1,10.25,Field-TP2,0.605,25,NA
20210410,FLD-1693,7,7,1,10.25,Field-TP2,0.604,25,NA
20210410,FLD-2024,6,6,1,10.25,Field-TP2,0.604,25,NA
20210410,FLD-2305,3,3,1,10.25,Field-TP2,0.605,25,NA
20210410,FLD-2550,2,2,1,10.25,Field-TP2,0.606,25,NA
20210410,BK-24,8,8,1,10.25,Field-TP2,0.614,NA,NA
20210430,FLD-0001,1,1,2,11.28,Field-TP3,0.618,25,NA
20210430,FLD-0002,2,2,2,11.34,Field-TP3,0.618,25,NA
20210430,FLD-0003,3,3,2,11.07,Field-TP3,0.6,25,NA
20210430,FLD-0004,4,4,2,11.07,Field-TP3,0.605,25,NA
20210430,FLD-0005,5,5,2,11.06,Field-TP3,0.61,25,NA
20210430,FLD-0006,6,6,2,11.09,Field-TP3,0.606,25,NA
20210430,FLD-0007,7,7,2,11.13,Field-TP3,0.605,25,NA
20210430,BK-25,8,8,2,11.14,Field-TP3,0.62,NA,NA
20210602,FLD-0008,1,1,3,14.54,Field-TP4,0.578,25,NA
20210602,FLD-0009,2,2,3,14.54,Field-TP4,0.598,25,NA
20210602,FLD-0010,3,3,3,14.54,Field-TP4,0.602,25,NA
20210602,FLD-0011,4,4,3,14.54,Field-TP4,0.586,25,NA
20210602,FLD-0012,5,5,3,14.54,Field-TP4,0.606,25,NA
20210602,FLD-0013,6,6,3,14.54,Field-TP4,0.558,25,NA
20210602,FLD-0014,7,7,3,14.54,Field-TP4,0.62,25,NA
20210602,BK-34,8,8,3,14.54,Field-TP4,0.617,NA,NA
20210625,FLD-0015,2,2,4,16.82,Field-TP5,0.62,25,Did not take temp; temp is average of first and last value from PR file
20210625,FLD-0016,4,4,4,16.51,Field-TP5,0.615,25,Did not take temp; temp is average of first and last value from PR file
20210625,FLD-0017,5,5,4,16.78,Field-TP5,0.615,25,Did not take temp; temp is average of first and last value from PR file
20210625,FLD-0018,7,7,4,16.99,Field-TP5,0.625,25,Did not take temp; temp is average of first and last value from PR file
20210625,BK-39,8,8,4,16.85,Field-TP5,0.63,NA,Did not take temp; temp is average of first and last value from PR file
20210625,FLD-0019,2,2,5,17.85,Field-TP5,0.615,25,Did not take temp; temp is average of first and last value from PR file
20210625,FLD-0020,4,4,5,17.79,Field-TP5,0.61,25,Did not take temp; temp is average of first and last value from PR file
20210625,FLD-0021,5,5,5,18.25,Field-TP5,0.595,25,Did not take temp; temp is average of first and last value from PR file
20210625,FLD-0022,7,7,5,18.47,Field-TP5,0.595,25,Did not take temp; temp is average of first and last value from PR file
20210625,BK-40,8,8,5,18.76,Field-TP5,0.62,NA,Did not take temp; temp is average of first and last value from PR file
20210723,FLD-0023,2,2,6,22.38,Field-TP6,0.625,25,NA
20210723,FLD-0024,4,4,6,22.38,Field-TP6,0.63,25,NA
20210723,FLD-0025,7,7,6,22.38,Field-TP6,0.63,25,NA
20210723,FLD-0026,8,8,6,22.38,Field-TP6,0.625,25,NA
20210723,BK-45,5,5,6,22.38,Field-TP6,0.64,NA,NA
20210723,FLD-0027,8,8,7,22.76,Field-TP6,0.625,25,NA
20210723,FLD-0028,7,7,7,22.76,Field-TP6,0.63,25,NA
20210723,FLD-0029,5,5,7,22.76,Field-TP6,0.615,25,NA
20210723,FLD-0030,4,4,7,22.76,Field-TP6,0.63,25,NA
20210723,BK-46,2,2,7,22.76,Field-TP6,0.635,NA,NA
20210901,FLD-0031,2,2,8,24.77,Field-TP7,0.625,25,NA
20210901,FLD-0032,4,4,8,24.77,Field-TP7,0.635,25,NA
20210901,FLD-0033,5,5,8,24.77,Field-TP7,0.63,25,NA
20210901,FLD-0034,7,7,8,24.77,Field-TP7,0.635,25,NA
20210901,BK-53,8,8,8,24.77,Field-TP7,0.64,NA,NA
20210901,FLD-0035,2,2,9,25.05,Field-TP7,0.635,25,NA
20210901,FLD-0036,4,4,9,25.05,Field-TP7,0.64,25,NA
20210901,FLD-0037,5,5,9,25.05,Field-TP7,0.635,25,NA
20210901,FLD-0038,7,7,9,25.05,Field-TP7,0.63,25,NA
20210901,BK-54,8,8,9,25.05,Field-TP7,0.645,NA,NA
