Date,colony_id,Chamber.Channel,Chamber ,Run,Temp.Cat,Treatment,Chamber.Vol.L,Surface.Area.cm2,Notes
20210204,AST-2533,3,3,1,8,Acclimatization,0.601,2.612,NA
20210204,AST-2003,7,7,1,8,Acclimatization,0.566,1.35,NA
20210204,AST-2873,8,8,1,8,Acclimatization,0.596,4.21,NA
20210204,AST-1585,1,1,1,8,Acclimatization,0.596,7.306,NA
20210204,AST-1722,6,6,1,8,Acclimatization,0.578,1.689,NA
20210204,BK-1,5,5,1,8,Acclimatization,0.616,NA,NA
20210204,BK-2,2,2,1,8,Acclimatization,0.612,NA,NA
20210204,AST-2197,1,1,2,8,Acclimatization,0.59,1.216,NA
20210204,AST-1618,2,2,2,8,Acclimatization,0.592,0.699,NA
20210204,BK-4,3,3,2,8,Acclimatization,0.505,NA,NA
20210204,AST-2859,5,5,2,8,Acclimatization,0.626,1.073,NA
20210204,AST-1233,6,6,2,8,Acclimatization,0.586,4.628,NA
20210204,AST-1423,7,7,2,8,Acclimatization,0.594,11.752,NA
20210204,BK-3,8,8,2,8,Acclimatization,0.62,NA,NA
20210204,BK-5,1,1,3,8,Acclimatization,0.61,NA,NA
20210204,BK-6,2,2,3,8,Acclimatization,0.616,NA,NA
20210204,AST-1593,3,3,3,8,Acclimatization,0.616,2.339,NA
20210204,AST-1567,5,5,3,8,Acclimatization,0.61,3.306,NA
20210204,AST-1147,6,6,3,8,Acclimatization,0.6,1.352,NA
20210204,AST-2398,7,7,3,8,Acclimatization,0.608,0.972,NA
20210204,AST-1345,8,8,3,8,Acclimatization,0.598,1.866,NA
20210204,BK-7,1,1,4,8,Acclimatization,0.606,NA,NA
20210204,AST-2198,2,2,4,8,Acclimatization,0.594,2.332,NA
20210304,BK-8,1,1,5,6.06,Ambient,0.618,NA,NA
20210304,BK-9,3,3,5,6.06,Ambient,0.624,NA,NA
20210304,AST-2520,5,5,5,6.06,Ambient,0.61,9.138,NA
20210304,AST-2378,6,6,5,6.06,Ambient,0.6,6.158,NA
20210304,AST-1457,7,7,5,6.06,Ambient,0.606,3.894,NA
20210304,AST-1138,8,8,5,6.06,Ambient,0.616,2.863,NA
20210304,AST-2209,2,2,6,5.18,Ambient,0.6,4.276,NA
20210304,BK-10,3,3,6,5.18,Ambient,0.616,NA,NA
20210304,AST-1058,5,5,6,5.18,Ambient,0.618,3.579,NA
20210304,AST-1497,6,6,6,5.18,Ambient,0.6,2.528,NA
20210304,BK-11,7,7,6,5.18,Ambient,0.62,NA,NA
20210304,AST-1696,8,8,6,5.18,Ambient,0.61,1.787,NA
20210304,AST-1332,1,1,7,9,Heat,0.6,4.445,NA
20210304,AST-1777,2,2,7,9,Heat,0.61,1.441,NA
20210304,AST-1649,3,3,7,9,Heat,0.604,3.233,NA
20210304,BK-12,5,5,7,9,Heat,0.616,NA,NA
20210304,AST-1630,7,7,7,9,Heat,0.608,1.615,NA
20210304,BK-13,8,8,7,9,Heat,0.614,NA,NA
20210304,BK-15,2,2,8,9.45,Heat,0.61,NA,NA
20210304,AST-1146,3,3,8,9.45,Heat,0.61,4.072,NA
20210304,AST-1185,5,5,8,9.45,Heat,0.61,7.803,NA
20210304,AST-2301,6,6,8,9.45,Heat,0.568,2.739,NA
20210304,BK-14,7,7,8,9.45,Heat,0.618,NA,NA
20210304,AST-1325,8,8,8,9.45,Heat,0.608,7.357,NA
20210401,BK-16,1,1,9,6.15,Ambient,0.548,NA,NA
20210401,AST-2539,3,3,9,6.15,Ambient,0.574,7.357,NA
20210401,AST-1037,5,5,9,6.15,Ambient,0.582,5.618,NA
20210401,AST-1337,6,6,9,6.15,Ambient,0.584,2.369,NA
20210401,AST-2020,7,7,9,6.15,Ambient,0.608,2.418,NA
20210401,BK-17,8,8,9,6.15,Ambient,0.524,NA,NA
20210401,AST-2403,1,1,10,6.19,Ambient,0.602,3.903,NA
20210401,AST-1182,2,2,10,6.19,Ambient,0.592,2.015,NA
20210401,BK-19,3,3,10,6.19,Ambient,0.61,NA,NA
20210401,BK-18,5,5,10,6.19,Ambient,0.604,NA,NA
20210401,AST-2538,6,6,10,6.19,Ambient,0.588,1.398,NA
20210401,AST-1288,8,8,10,6.19,Ambient,0.6,7.436,did not get vol; this is average vol from run 2
20210401,BK-21,1,1,11,10.15,Heat,0.606,NA,NA
20210401,AST-2165,2,2,11,10.15,Heat,0.59,1.685,NA
20210401,AST-1496,3,3,11,10.15,Heat,0.61,2.011,NA
20210401,AST-1473,6,6,11,10.15,Heat,0.594,5.363,NA
20210401,AST-1735,7,7,11,10.15,Heat,0.6,8.912,NA
20210401,BK-20,8,8,11,10.15,Heat,0.612,NA,NA
20210401,BK-23,1,1,12,9.88,Heat,0.604,NA,NA
20210401,AST-1273,2,2,12,9.88,Heat,0.606,3.475,NA
20210401,BK-22,3,3,12,9.88,Heat,0.59,NA,NA
20210401,AST-2541,5,5,12,9.88,Heat,0.602,5.831,NA
20210401,AST-1184,7,7,12,9.88,Heat,0.604,5.802,NA
20210401,AST-1761,8,8,12,9.88,Heat,0.602,4.327,NA
20210429,AST-1075,3,1,13,12.33,Heat,0.56,6.225,NA
20210429,AST-1228,8,2,13,12.33,Heat,0.56,7.009,NA
20210429,AST-1148,5,3,13,12.33,Heat,0.6,2.836,NA
20210429,AST-2561,6,4,13,12.33,Heat,0.59,3.602,NA
