PlugID,File Name,Site,Tank,Treatment,Timepoint,Area_cm,Mean,Min,Max,Date analyzed ,Notes
AST-2533,2533_Tank8_TP0_20210205.JPG,FW,8,Ambient,TP0,2.612,38.446,8,140,6/7/22,shadowy picture
AST-2003,2003_Tank17_TP0_20210205.JPG,ENDV,17,Heat,TP0,1.35,32.591,10,103,6/7/22,shadowy picture
AST-2873,2873_Tank11_TP0_20210205.JPG,FW,11,Heat,TP0,4.21,26.105,5,117,6/7/22,shadowy picture
AST-1585,1585_Tank6_TP0_20210205.JPG,FW,6,Heat,TP0,7.306,34.301,4,150,6/7/22,shadowy picture
AST-1722,1722_Tank18_TP0_20210205.JPG,FW,18,Ambient,TP0,1.689,47.954,11,149,6/7/22,shadowy picture
AST-2197,2197_Tank11_TP0_20210205.JPG,FW,1,Ambient,TP0,1.216,25.572,4,104,6/7/22,shadowy picture
AST-1618,1619_Tank3_TP0_20210205.JPG,FW,3,Heat,TP0,0.699,27.245,9,115,6/7/22,shadowy picture
AST-2859,2859_Tank15_TP0_20210205.JPG,FW,15,Heat,TP0,1.073,45.691,13,112,6/7/22,shadowy picture
AST-1233,1233_Tank10_TP0_20210205.JPG,FW,10,Ambient,TP0,4.628,49.134,10,128,6/7/22,shadowy picture
AST-1423,1423_Tank4_TP0_20210205.JPG,FW,4,Heat,TP0,11.752,54.859,7,165,6/7/22,shadowy picture
AST-1593,1593_Tank16_TP0_20210205.JPG,FW,8,Ambient,TP0,2.339,58.632,12,123,6/7/22,shadowy picture
AST-1567,1567_Tank7_TP0_20210205.JPG,FW,7,Heat,TP0,3.306,45.422,5,135,6/7/22,shadowy picture
AST-1147,1147_Tank2_TP0_20210205.JPG,FW,2,Ambient,TP0,1.352,64.24,18,133,6/7/22,shadowy picture
AST-2398,2398_Tank9_TP0_20210205.JPG,FW,9,Heat,TP0,0.972,46.815,16,91,6/7/22,shadowy picture
AST-1345,1345_Tank12_TP0_20210205.JPG,FW,12,Ambient,TP0,1.866,67.665,28,119,6/7/22,shadowy picture
AST-2198,2198_Tank5_TP0_20210205.JPG,FW,5,Ambient,TP0,2.332,33.751,7,146,6/7/22,shadowy picture
AST-2520,Tank10.4_T1_20210303.JPG,FW,10,Ambient,TP1,9.138,45.551,10,169,5/8/22,
AST-2378,Tank8.2_T1_20210303.JPG,ENDV,8,Ambient,TP1,6.158,61.004,17,178,5/8/22,
AST-1457,Tank16.2_T1_20210303.JPG,FW,16,Ambient,TP1,3.894,59.812,18,149,5/8/22,
