"Plot Title: 20444040"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20444040, SEN S/N: 20444040)","Coupler Detached (LGR S/N: 20444040)","Coupler Attached (LGR S/N: 20444040)","Host Connected (LGR S/N: 20444040)","End Of File (LGR S/N: 20444040)"
1,12/21/20 01:00:00 PM,21.056,Logged,,,
2,12/21/20 01:10:00 PM,20.770,,,,
3,12/21/20 01:20:00 PM,20.555,,,,
4,12/21/20 01:30:00 PM,20.412,,,,
5,12/21/20 01:40:00 PM,20.484,,,,
6,12/21/20 01:50:00 PM,9.361,,,,
7,12/21/20 02:00:00 PM,7.795,,,,
8,12/21/20 02:10:00 PM,7.569,,,,
9,12/21/20 02:20:00 PM,7.469,,,,
10,12/21/20 02:30:00 PM,7.419,,,,
11,12/21/20 02:40:00 PM,7.343,,,,
12,12/21/20 02:50:00 PM,7.293,,,,
13,12/21/20 03:00:00 PM,7.242,,,,
14,12/21/20 03:10:00 PM,7.192,,,,
15,12/21/20 03:20:00 PM,7.142,,,,
16,12/21/20 03:30:00 PM,7.116,,,,
17,12/21/20 03:40:00 PM,7.091,,,,
18,12/21/20 03:50:00 PM,7.066,,,,
19,12/21/20 04:00:00 PM,7.066,,,,
20,12/21/20 04:10:00 PM,7.041,,,,
21,12/21/20 04:20:00 PM,7.041,,,,
22,12/21/20 04:30:00 PM,7.015,,,,
23,12/21/20 04:40:00 PM,6.990,,,,
24,12/21/20 04:50:00 PM,6.990,,,,
25,12/21/20 05:00:00 PM,6.990,,,,
26,12/21/20 05:10:00 PM,6.990,,,,
27,12/21/20 05:20:00 PM,6.990,,,,
28,12/21/20 05:30:00 PM,6.990,,,,
29,12/21/20 05:40:00 PM,7.015,,,,
30,12/21/20 05:50:00 PM,7.015,,,,
31,12/21/20 06:00:00 PM,7.041,,,,
32,12/21/20 06:10:00 PM,7.041,,,,
33,12/21/20 06:20:00 PM,7.066,,,,
34,12/21/20 06:30:00 PM,7.066,,,,
35,12/21/20 06:40:00 PM,7.066,,,,
36,12/21/20 06:50:00 PM,7.091,,,,
37,12/21/20 07:00:00 PM,7.091,,,,
38,12/21/20 07:10:00 PM,7.116,,,,
39,12/21/20 07:20:00 PM,7.142,,,,
40,12/21/20 07:30:00 PM,7.142,,,,
41,12/21/20 07:40:00 PM,7.167,,,,
42,12/21/20 07:50:00 PM,7.192,,,,
43,12/21/20 08:00:00 PM,7.192,,,,
44,12/21/20 08:10:00 PM,7.217,,,,
45,12/21/20 08:20:00 PM,7.242,,,,
46,12/21/20 08:30:00 PM,7.293,,,,
47,12/21/20 08:40:00 PM,7.343,,,,
48,12/21/20 08:50:00 PM,7.419,,,,
49,12/21/20 09:00:00 PM,7.469,,,,
50,12/21/20 09:10:00 PM,7.519,,,,
51,12/21/20 09:20:00 PM,7.569,,,,
52,12/21/20 09:30:00 PM,7.645,,,,
53,12/21/20 09:40:00 PM,7.695,,,,
54,12/21/20 09:50:00 PM,7.745,,,,
55,12/21/20 10:00:00 PM,7.770,,,,
56,12/21/20 10:10:00 PM,7.820,,,,
57,12/21/20 10:20:00 PM,7.870,,,,
58,12/21/20 10:30:00 PM,7.945,,,,
59,12/21/20 10:40:00 PM,7.970,,,,
60,12/21/20 10:50:00 PM,8.020,,,,
61,12/21/20 11:00:00 PM,8.045,,,,
62,12/21/20 11:10:00 PM,8.020,,,,
63,12/21/20 11:20:00 PM,7.995,,,,
64,12/21/20 11:30:00 PM,7.970,,,,
65,12/21/20 11:40:00 PM,7.945,,,,
66,12/21/20 11:50:00 PM,7.945,,,,
67,12/22/20 12:00:00 AM,7.945,,,,
68,12/22/20 12:10:00 AM,7.970,,,,
69,12/22/20 12:20:00 AM,7.970,,,,
70,12/22/20 12:30:00 AM,7.970,,,,
71,12/22/20 12:40:00 AM,7.945,,,,
72,12/22/20 12:50:00 AM,7.920,,,,
73,12/22/20 01:00:00 AM,7.870,,,,
74,12/22/20 01:10:00 AM,7.845,,,,
75,12/22/20 01:20:00 AM,7.820,,,,
76,12/22/20 01:30:00 AM,7.795,,,,
77,12/22/20 01:40:00 AM,7.770,,,,
78,12/22/20 01:50:00 AM,7.745,,,,
