"","Date.Time","Tank1","Tank2","Tank3","Tank4","Tank5","Tank6","Tank7","Tank8","Tank9","Tank10","Tank11","Tank12","Tank15","Tank16","Tank17","Tank18"
"1",2021-02-06 21:00:00,5.282,4.921,8.494,8.369,4.61,9.188,8.12,4.115,8.27,3.958,8.195,4.999,9.213,4.532,8.12,4.324
"2",2021-02-06 21:10:00,5.642,4.61,8.568,8.568,4.973,9.089,8.245,4.115,8.494,3.906,8.394,5.437,9.213,4.298,8.295,4.298
"3",2021-02-06 21:20:00,5.616,4.35,8.519,8.494,5.308,8.965,8.095,4.558,8.22,4.115,8.17,5.36,9.139,4.636,8.195,4.246
"4",2021-02-06 21:30:00,5.231,4.35,8.568,8.369,5.539,8.841,8.27,4.895,8.494,4.636,8.394,4.947,8.965,4.973,8.12,4.376
"5",2021-02-06 21:40:00,4.844,4.766,8.519,8.593,5.334,8.841,8.12,5.205,8.22,5.024,8.17,4.584,8.693,5.257,8.27,4.766
"6",2021-02-06 21:50:00,5.102,5.128,8.519,8.494,4.792,8.891,8.245,5.231,8.494,5.308,8.344,4.272,8.444,5.437,8.02,5.128
"7",2021-02-06 22:00:00,5.462,5.437,8.519,8.344,4.844,8.841,8.145,4.792,8.17,5.411,8.245,4.402,8.245,5.616,8.344,5.411
"8",2021-02-06 22:10:00,5.745,5.437,8.519,8.593,5.154,8.742,8.17,4.428,8.469,4.999,8.27,4.844,8.095,5.719,8.095,5.616
"9",2021-02-06 22:20:00,5.488,5.024,8.519,8.494,5.437,8.643,8.195,4.115,8.195,4.636,8.369,5.282,8.145,5.334,8.319,5.308
"10",2021-02-06 22:30:00,5.102,4.662,8.543,8.369,5.514,8.618,8.07,4.168,8.469,4.376,8.195,5.591,8.295,4.869,8.195,4.999
"11",2021-02-06 22:40:00,4.818,4.376,8.543,8.568,5.024,8.693,8.27,4.584,8.22,4.22,8.394,5.257,8.419,4.506,8.145,4.792
"12",2021-02-06 22:50:00,5.179,4.272,8.469,8.469,4.61,8.742,8.12,4.947,8.444,4.089,8.145,4.947,8.519,4.324,8.245,4.61
"13",2021-02-06 23:00:00,5.488,4.688,8.543,8.369,4.947,8.693,8.27,5.257,8.245,3.985,8.394,4.688,8.543,4.662,8.02,4.454
"14",2021-02-06 23:10:00,5.77,5.05,8.469,8.543,5.257,8.593,8.17,5.154,8.419,4.011,8.145,4.428,8.519,4.973,8.319,4.324
"15",2021-02-06 23:20:00,5.514,5.36,8.543,8.419,5.488,8.494,8.095,4.766,8.295,4.532,8.344,4.194,8.469,5.205,8.045,4.272
"16",2021-02-06 23:30:00,5.102,5.514,8.469,8.593,5.591,8.444,8.22,4.402,8.394,4.895,8.27,4.506,8.27,5.411,8.319,4.61
"17",2021-02-06 23:40:00,4.844,5.102,8.543,8.568,5.076,8.494,8.07,4.115,8.319,5.179,8.245,4.844,8.07,5.565,8.095,4.973
"18",2021-02-06 23:50:00,5.205,4.714,8.444,8.419,4.74,8.519,8.27,3.88,8.369,5.411,8.369,5.128,7.895,5.668,8.295,5.257
"19",2021-02-07 00:00:00,5.488,4.376,8.519,8.568,5.024,8.444,8.095,4.22,8.369,5.385,8.145,5.462,7.795,5.719,8.195,5.514
"20",2021-02-07 00:10:00,5.719,4.454,8.519,8.494,5.308,8.369,8.245,4.584,8.319,4.947,8.369,5.514,8.145,5.179,8.12,5.514
"21",2021-02-07 00:20:00,5.616,4.844,8.543,8.369,5.539,8.643,8.095,4.921,8.444,4.584,8.145,5.154,8.27,4.714,8.245,5.154
"22",2021-02-07 00:30:00,5.205,5.179,8.444,8.568,5.334,8.717,8.245,5.231,8.27,4.324,8.369,4.844,8.394,4.376,8.02,4.869
"23",2021-02-07 00:40:00,4.844,5.462,8.543,8.469,4.818,8.792,8.145,5.334,8.494,4.141,8.22,4.61,8.444,4.532,8.295,4.662
"24",2021-02-07 00:50:00,5.128,5.411,8.419,8.344,4.74,8.792,8.195,4.947,8.245,4.037,8.295,4.376,8.444,4.844,8.045,4.506
"25",2021-02-07 01:00:00,5.488,4.973,8.568,8.593,5.05,8.668,8.22,4.584,8.494,4.506,8.319,4.194,8.444,5.128,8.344,4.35
"26",2021-02-07 01:10:00,5.745,4.61,8.394,8.444,5.308,8.568,8.07,4.298,8.195,4.921,8.245,4.506,8.419,5.36,8.12,4.272
"27",2021-02-07 01:20:00,5.437,4.324,8.593,8.419,5.514,8.469,8.245,4.063,8.469,5.205,8.394,4.844,8.245,5.514,8.22,4.584
"28",2021-02-07 01:30:00,5.024,4.558,8.344,8.593,5.591,8.444,8.12,3.88,8.195,5.437,8.145,5.154,8.045,5.668,8.245,4.947
"29",2021-02-07 01:40:00,4.973,4.921,8.593,8.444,5.076,8.494,8.22,4.272,8.419,5.282,8.419,5.488,7.92,5.745,8.045,5.257
"30",2021-02-07 01:50:00,5.282,5.231,8.369,8.444,4.662,8.543,8.095,4.61,8.245,4.869,8.145,5.514,7.945,5.257,8.319,5.514
"31",2021-02-07 02:00:00,5.565,5.488,8.618,8.543,4.999,8.494,8.245,4.947,8.419,4.532,8.369,5.128,8.045,4.792,8.07,5.488
"32",2021-02-07 02:10:00,5.796,5.462,8.394,8.419,5.308,8.419,8.12,5.257,8.245,4.298,8.195,4.818,8.17,4.428,8.319,5.154
"33",2021-02-07 02:20:00,5.539,4.999,8.618,8.543,5.565,8.369,8.245,5.257,8.419,4.141,8.344,4.584,8.27,4.506,8.17,4.895
"34",2021-02-07 02:30:00,5.154,4.662,8.419,8.568,5.205,8.444,8.195,4.895,8.245,4.037,8.245,4.376,8.319,4.844,8.095,4.688
"35",2021-02-07 02:40:00,4.844,4.428,8.643,8.444,4.714,8.543,8.07,4.558,8.419,4.532,8.295,4.168,8.344,5.154,8.27,4.532
"36",2021-02-07 02:50:00,5.102,4.272,8.444,8.394,4.766,8.519,8.245,4.298,8.27,4.947,8.344,4.428,8.369,5.385,8.02,4.402
"37",2021-02-07 03:00:00,5.462,4.688,8.618,8.568,5.076,8.444,8.145,4.063,8.394,5.257,8.22,4.766,8.394,5.591,8.344,4.298
"38",2021-02-07 03:10:00,5.745,5.076,8.444,8.444,5.334,8.369,8.195,3.932,8.319,5.488,8.394,5.076,8.295,5.719,8.12,4.454
"39",2021-02-07 03:20:00,5.411,5.36,8.643,8.444,5.565,8.618,8.17,4.324,8.394,5.179,8.17,5.462,8.27,5.334,8.27,4.844
"40",2021-02-07 03:30:00,5.024,5.591,8.494,8.568,5.205,8.742,8.17,4.688,8.344,4.818,8.419,5.514,8.319,4.895,8.22,5.231
