"","Date.Time","Tank1_Temp","Tank1_Light","Tank2_Temp","Tank2_Light","Tank3_Temp","Tank3_Light","Tank4_Temp","Tank4_Light","Tank5_Temp","Tank5_Light","Tank6_Temp","Tank6_Light","Tank7_Temp","Tank7_Light","Tank8_Temp","Tank8_Light","Tank9_Temp","Tank9_Light","Tank10_Temp","Tank10_Light","Tank11_Temp","Tank11_Light","Tank12_Temp","Tank12_Light","Tank15_Temp","Tank15_Light","Tank16_Temp","Tank16_Light","Tank17_Temp","Tank17_Light","Tank18_Temp","Tank18_Light"
"1",2021-04-30 19:00:00,10.04,"3,195",10.12,"3,066",12.87,"3,693",13.38,"2,593",9.61,"3,635",13.68,"3,971",13.43,"2,922",9.86,"2,668",13.08,"3,921",9.91,"3,709",13.55,"4,275",10.21,"3,474",13.77,"3,286",9.82,"3,203",12.91,"3,288",10.08,"2,913"
"2",2021-04-30 19:10:00,10.04,"2,948",10.16,"3,587",13.17,"3,506",13.12,"2,517",9.74,"3,478",13.6,"3,729",13.08,"2,803",10.04,"2,502",13.38,"3,698",9.86,"3,496",13.55,"4,068",10.21,"3,228",13.55,"2,981",9.82,"2,748",13.12,"3,163",10.12,"2,685"
"3",2021-04-30 19:20:00,10.08,"2,898",10.25,"3,228",13.08,"3,359",13.43,"2,352",9.78,"3,315",13.51,"3,553",13.3,"2,670",9.99,"2,438",13.17,"3,562",9.74,"3,332",13.47,"3,831",10.12,"3,036",13.77,"2,835",9.95,"2,950",13,"3,002",10.12,"2,642"
"4",2021-04-30 19:30:00,10.16,"2,767",10.29,"2,817",12.91,"3,168",13.25,"2,300",9.69,"3,149",13.73,"3,540",13.21,"2,568",9.91,"2,210",13.12,"3,378",9.86,"3,150",13.64,"3,549",9.99,"2,967",13.6,"2,711",9.95,"2,571",12.87,"2,836",10.12,"2,408"
"5",2021-04-30 19:40:00,10.16,"2,615",10.25,"2,975",13.12,"3,021",13.21,"2,120",9.65,"2,961",13.68,"3,188",13.34,"2,394",9.91,"2,147",13.34,"3,205",9.95,"2,988",13.43,"3,329",10.12,"2,838",13.73,"2,541",9.86,"2,609",12.95,"2,697",10.16,"2,470"
"6",2021-04-30 19:50:00,9.99,"2,476",10.12,"2,838",13.04,"2,826",13.34,"1,958",9.82,"2,812",13.64,"2,990",13.25,"2,243",9.99,"2,040",13.12,"3,018",9.74,"2,842",13.64,"2,895",10.25,"2,567",13.64,"2,396",9.78,"2,452",13.04,"2,525",10.16,"2,167"
"7",2021-04-30 20:00:00,10.08,"2,275",10.21,"2,471",12.91,"2,444",13.12,"1,864",9.65,"2,665",13.55,"2,724",13.3,"2,099",10.04,"2,022",13.3,"2,888",9.91,"2,668",13.43,"2,738",10.12,"2,493",13.55,"2,276",9.91,"2,294",13,"2,362",10.21,"2,065"
"8",2021-04-30 20:10:00,10.16,"2,183",10.29,"2,201",13.04,"2,223",13.38,"1,741",9.69,"2,451",13.51,"2,516",13.25,"1,953",9.86,"1,903",13.25,"2,666",9.78,"2,455",13.6,"2,546",10.04,"2,380",13.73,"2,109",9.95,"2,091",12.91,"2,195",10.16,"1,914"
"9",2021-04-30 20:20:00,10.08,"2,012",10.25,"2,440",13.17,"2,044",13.21,"1,570",9.82,"2,268",13.47,"2,306",13.3,"1,795",10.04,"1,795",13.12,"2,507",9.95,"2,272",13.55,"2,402",10.12,"2,187",13.6,"1,944",9.86,"1,938",12.82,"2,025",10.08,"1,702"
"10",2021-04-30 20:30:00,9.99,"1,851",10.12,"1,421",13.04,"1,883",13.12,"1,473",9.56,"2,052",13.47,"2,125",13.34,"1,644",10.04,"1,729",13.34,"2,244",9.78,"2,173",13.51,"2,162",10.25,"1,947",13.81,"1,785",9.78,"1,722",12.82,"1,868",10.04,"1,626"
