"","mRNA","GO","Term","Annotated","Significant","Expected","Fisher","ontology","sig.prop"
"1","evm.TU.chromosome_1.1424","GO:0008344","adult locomotory behavior",55,1,0.05,0.04986,"Biological Processes",0.0181818181818182
"2","evm.TU.chromosome_4.2164","GO:0030198","extracellular matrix organization",309,5,0.29,0.01214,"Biological Processes",0.0161812297734628
"3","evm.TU.chromosome_4.2164","GO:0042744","hydrogen peroxide catabolic process",41,1,0.04,0.03739,"Biological Processes",0.024390243902439
"4","evm.TU.chromosome_4.1375","GO:0097185","cellular response to azide",4,1,0,0.00371,"Biological Processes",0.25
"5","evm.TU.chromosome_4.1375","GO:0071280","cellular response to copper ion",6,1,0.01,0.00556,"Biological Processes",0.166666666666667
"6","evm.TU.chromosome_4.1375","GO:0035874","cellular response to copper ion starvation",4,1,0,0.00371,"Biological Processes",0.25
"7","evm.TU.chromosome_4.1375","GO:0071504","cellular response to heparin",4,1,0,0.00371,"Biological Processes",0.25
"8","evm.TU.chromosome_4.1375","GO:0071420","cellular response to histamine",30,1,0.03,0.02749,"Biological Processes",0.0333333333333333
"9","evm.TU.chromosome_6.2759","GO:1900264","positive regulation of DNA-directed DNA polymerase ...",7,1,0.01,0.00648,"Biological Processes",0.142857142857143
"10","evm.TU.chromosome_7.266","GO:0060292","long-term synaptic depression",23,1,0.02,0.02114,"Biological Processes",0.0434782608695652
"11","evm.TU.chromosome_7.266","GO:0060291","long-term synaptic potentiation",45,1,0.04,0.04097,"Biological Processes",0.0222222222222222
"12","evm.TU.chromosome_8.1567","GO:0060413","atrial septum morphogenesis",18,1,0.02,0.01658,"Biological Processes",0.0555555555555556
"13","evm.TU.chromosome_8.1567","GO:0001709","cell fate determination",51,1,0.05,0.04631,"Biological Processes",0.0196078431372549
"14","evm.TU.chromosome_8.1567","GO:0002315","marginal zone B cell differentiation",11,1,0.01,0.01016,"Biological Processes",0.0909090909090909
"15","evm.TU.chromosome_8.1567","GO:0045967","negative regulation of growth rate",10,1,0.01,0.00924,"Biological Processes",0.1
"16","evm.TU.chromosome_8.1567","GO:0061314","Notch signaling involved in heart development",22,1,0.02,0.02023,"Biological Processes",0.0454545454545455
"17","evm.TU.chromosome_8.1567","GO:0046579","positive regulation of Ras protein signal transduct...",17,1,0.02,0.01567,"Biological Processes",0.0588235294117647
"18","evm.TU.chromosome_8.1567","GO:0003184","pulmonary valve morphogenesis",17,1,0.02,0.01567,"Biological Processes",0.0588235294117647
"19","evm.TU.chromosome_8.392","GO:0019886","antigen processing and presentation of exogenous pe...",39,1,0.04,0.0356,"Biological Processes",0.0256410256410256
"20","evm.TU.chromosome_8.392","GO:0051382","kinetochore assembly",10,1,0.01,0.00924,"Biological Processes",0.1
"21","evm.TU.chromosome_8.392","GO:0099607","lateral attachment of mitotic spindle microtubules ...",3,1,0,0.00278,"Biological Processes",0.333333333333333
"22","evm.TU.chromosome_8.392","GO:0099606","microtubule plus-end directed mitotic chromosome mi...",3,1,0,0.00278,"Biological Processes",0.333333333333333
"23","evm.TU.chromosome_8.392","GO:0007079","mitotic chromosome movement towards spindle pole",5,1,0,0.00463,"Biological Processes",0.2
"24","evm.TU.chromosome_8.392","GO:0030071","regulation of mitotic metaphase/anaphase transition",42,1,0.04,0.03829,"Biological Processes",0.0238095238095238
"25","evm.TU.chromosome_8.392","GO:0006890","retrograde vesicle-mediated transport, Golgi to end...",38,1,0.04,0.0347,"Biological Processes",0.0263157894736842
"26","evm.TU.chromosome_8.392","GO:0007062","sister chromatid cohesion",48,1,0.04,0.04365,"Biological Processes",0.0208333333333333
"27","evm.TU.chromosome_8.2664","GO:0035284","brain segmentation",4,1,0,0.00371,"Biological Processes",0.25
"28","evm.TU.chromosome_8.2664","GO:0042074","cell migration involved in gastrulation",23,1,0.02,0.02114,"Biological Processes",0.0434782608695652
"29","evm.TU.chromosome_8.2664","GO:0048263","determination of dorsal identity",4,1,0,0.00371,"Biological Processes",0.25
"30","evm.TU.chromosome_8.2664","GO:0007398","ectoderm development",21,1,0.02,0.01932,"Biological Processes",0.0476190476190476
"31","evm.TU.chromosome_8.2664","GO:0001710","mesodermal cell fate commitment",26,1,0.02,0.02387,"Biological Processes",0.0384615384615385
"32","evm.TU.chromosome_8.2664","GO:0021999","neural plate anterior/posterior regionalization",12,1,0.01,0.01108,"Biological Processes",0.0833333333333333
"33","evm.TU.chromosome_8.2664","GO:0030903","notochord development",34,1,0.03,0.0311,"Biological Processes",0.0294117647058824
"34","evm.TU.chromosome_8.2664","GO:0045743","positive regulation of fibroblast growth factor rec...",7,1,0.01,0.00648,"Biological Processes",0.142857142857143
"35","evm.TU.chromosome_8.2664","GO:0036342","post-anal tail morphogenesis",55,1,0.05,0.04986,"Biological Processes",0.0181818181818182
"36","evm.TU.chromosome_8.2664","GO:2000742","regulation of anterior head development",3,1,0,0.00278,"Biological Processes",0.333333333333333
"37","evm.TU.chromosome_8.2664","GO:0060061","Spemann organizer formation",5,1,0,0.00463,"Biological Processes",0.2
"38","evm.TU.chromosome_8.2664","GO:0021512","spinal cord anterior/posterior patterning",2,1,0,0.00186,"Biological Processes",0.5
"39","evm.TU.chromosome_9.133","GO:0001568","blood vessel development",585,3,0.54,0.01565,"Biological Processes",0.00512820512820513
"40","evm.TU.chromosome_9.133","GO:0071230","cellular response to amino acid stimulus",77,3,0.07,4.6e-05,"Biological Processes",0.038961038961039
"41","evm.TU.chromosome_9.133","GO:0071300","cellular response to retinoic acid",82,3,0.08,5.6e-05,"Biological Processes",0.0365853658536585
"42","evm.TU.chromosome_9.133","GO:0097067","cellular response to thyroid hormone stimulus",18,3,0.02,5.3e-07,"Biological Processes",0.166666666666667
"43","evm.TU.chromosome_9.133","GO:0030199","collagen fibril organization",84,3,0.08,6e-05,"Biological Processes",0.0357142857142857
"44","evm.TU.chromosome_9.133","GO:0070208","protein heterotrimerization",44,3,0.04,8.5e-06,"Biological Processes",0.0681818181818182
"45","evm.TU.chromosome_9.133","GO:0008217","regulation of blood pressure",362,3,0.34,0.0042,"Biological Processes",0.00828729281767956
"46","evm.TU.chromosome_9.133","GO:0071873","response to norepinephrine",8,3,0.01,3.7e-08,"Biological Processes",0.375
"47","evm.TU.chromosome_9.133","GO:0007266","Rho protein signal transduction",162,3,0.15,0.00042,"Biological Processes",0.0185185185185185
"48","evm.TU.chromosome_9.133","GO:0001501","skeletal system development",565,3,0.52,0.01426,"Biological Processes",0.00530973451327434
"49","evm.TU.chromosome_9.133","GO:0043589","skin morphogenesis",15,3,0.01,3e-07,"Biological Processes",0.2
"50","evm.TU.chromosome_9.133","GO:0007179","transforming growth factor beta receptor signaling ...",193,3,0.18,0.00069,"Biological Processes",0.0155440414507772
"51","evm.TU.chromosome_9.120","GO:0001568","blood vessel development",585,3,0.54,0.01565,"Biological Processes",0.00512820512820513
"52","evm.TU.chromosome_9.120","GO:0071230","cellular response to amino acid stimulus",77,3,0.07,4.6e-05,"Biological Processes",0.038961038961039
"53","evm.TU.chromosome_9.120","GO:0071300","cellular response to retinoic acid",82,3,0.08,5.6e-05,"Biological Processes",0.0365853658536585
"54","evm.TU.chromosome_9.120","GO:0097067","cellular response to thyroid hormone stimulus",18,3,0.02,5.3e-07,"Biological Processes",0.166666666666667
"55","evm.TU.chromosome_9.120","GO:0030199","collagen fibril organization",84,3,0.08,6e-05,"Biological Processes",0.0357142857142857
"56","evm.TU.chromosome_9.120","GO:0070208","protein heterotrimerization",44,3,0.04,8.5e-06,"Biological Processes",0.0681818181818182
"57","evm.TU.chromosome_9.120","GO:0008217","regulation of blood pressure",362,3,0.34,0.0042,"Biological Processes",0.00828729281767956
"58","evm.TU.chromosome_9.120","GO:0071873","response to norepinephrine",8,3,0.01,3.7e-08,"Biological Processes",0.375
"59","evm.TU.chromosome_9.120","GO:0007266","Rho protein signal transduction",162,3,0.15,0.00042,"Biological Processes",0.0185185185185185
"60","evm.TU.chromosome_9.120","GO:0001501","skeletal system development",565,3,0.52,0.01426,"Biological Processes",0.00530973451327434
"61","evm.TU.chromosome_9.120","GO:0043589","skin morphogenesis",15,3,0.01,3e-07,"Biological Processes",0.2
"62","evm.TU.chromosome_9.120","GO:0007179","transforming growth factor beta receptor signaling ...",193,3,0.18,0.00069,"Biological Processes",0.0155440414507772
"63","evm.TU.chromosome_9.231","GO:0006020","inositol metabolic process",7,1,0.01,0.00648,"Biological Processes",0.142857142857143
"64","evm.TU.chromosome_9.231","GO:0015798","myo-inositol transport",3,1,0,0.00278,"Biological Processes",0.333333333333333
"65","evm.TU.chromosome_9.231","GO:0043576","regulation of respiratory gaseous exchange",11,1,0.01,0.01016,"Biological Processes",0.0909090909090909
"66","evm.TU.chromosome_9.213","GO:0045736","negative regulation of cyclin-dependent protein ser...",14,1,0.01,0.01292,"Biological Processes",0.0714285714285714
"67","evm.TU.chromosome_9.213","GO:1901798","positive regulation of signal transduction by p53 c...",8,1,0.01,0.0074,"Biological Processes",0.125
"68","evm.TU.chromosome_9.2201","GO:0001568","blood vessel development",585,3,0.54,0.01565,"Biological Processes",0.00512820512820513
"69","evm.TU.chromosome_9.2201","GO:0071230","cellular response to amino acid stimulus",77,3,0.07,4.6e-05,"Biological Processes",0.038961038961039
"70","evm.TU.chromosome_9.2201","GO:0071300","cellular response to retinoic acid",82,3,0.08,5.6e-05,"Biological Processes",0.0365853658536585
"71","evm.TU.chromosome_9.2201","GO:0097067","cellular response to thyroid hormone stimulus",18,3,0.02,5.3e-07,"Biological Processes",0.166666666666667
"72","evm.TU.chromosome_9.2201","GO:0030199","collagen fibril organization",84,3,0.08,6e-05,"Biological Processes",0.0357142857142857
"73","evm.TU.chromosome_9.2201","GO:0070208","protein heterotrimerization",44,3,0.04,8.5e-06,"Biological Processes",0.0681818181818182
"74","evm.TU.chromosome_9.2201","GO:0008217","regulation of blood pressure",362,3,0.34,0.0042,"Biological Processes",0.00828729281767956
"75","evm.TU.chromosome_9.2201","GO:0071873","response to norepinephrine",8,3,0.01,3.7e-08,"Biological Processes",0.375
"76","evm.TU.chromosome_9.2201","GO:0007266","Rho protein signal transduction",162,3,0.15,0.00042,"Biological Processes",0.0185185185185185
"77","evm.TU.chromosome_9.2201","GO:0001501","skeletal system development",565,3,0.52,0.01426,"Biological Processes",0.00530973451327434
"78","evm.TU.chromosome_9.2201","GO:0043589","skin morphogenesis",15,3,0.01,3e-07,"Biological Processes",0.2
"79","evm.TU.chromosome_9.2201","GO:0007179","transforming growth factor beta receptor signaling ...",193,3,0.18,0.00069,"Biological Processes",0.0155440414507772
"80","evm.TU.chromosome_13.228","GO:0006579","amino-acid betaine catabolic process",11,1,0.01,0.01016,"Biological Processes",0.0909090909090909
"81","evm.TU.chromosome_13.228","GO:0009086","methionine biosynthetic process",33,1,0.03,0.0302,"Biological Processes",0.0303030303030303
"82","evm.TU.chromosome_13.228","GO:0003323","type B pancreatic cell development",19,1,0.02,0.01749,"Biological Processes",0.0526315789473684
"83","evm.TU.chromosome_13.228","GO:0009086","methionine biosynthetic process",33,1,0.03,0.0302,"Biological Processes",0.0303030303030303
"84","evm.TU.chromosome_13.3854","GO:0030198","extracellular matrix organization",309,5,0.29,0.01214,"Biological Processes",0.0161812297734628
"85","evm.TU.chromosome_14.3580","GO:0075732","viral penetration into host nucleus",45,1,0.04,0.04097,"Biological Processes",0.0222222222222222
"86","evm.TU.chromosome_4.2164","GO:0031012","extracellular matrix",564,5,0.6,0.0245,"Cellular Components",0.00886524822695036
"87","evm.TU.chromosome_4.1375","GO:0070062","extracellular exosome",960,5,1.02,0.0027,"Cellular Components",0.00520833333333333
"88","evm.TU.chromosome_4.1375","GO:0005576","extracellular region",3164,11,3.37,0.0107,"Cellular Components",0.00347661188369153
"89","evm.TU.chromosome_4.1375","GO:0035580","specific granule lumen",18,1,0.02,0.019,"Cellular Components",0.0555555555555556
"90","evm.TU.chromosome_6.2759","GO:0031390","Ctf18 RFC-like complex",7,1,0.01,0.0074,"Cellular Components",0.142857142857143
"91","evm.TU.chromosome_6.2759","GO:0005663","DNA replication factor C complex",8,1,0.01,0.0085,"Cellular Components",0.125
"92","evm.TU.chromosome_8.1567","GO:0005576","extracellular region",3164,11,3.37,0.0107,"Cellular Components",0.00347661188369153
"93","evm.TU.chromosome_8.392","GO:0005828","kinetochore microtubule",11,1,0.01,0.0117,"Cellular Components",0.0909090909090909
"94","evm.TU.chromosome_8.392","GO:1990023","mitotic spindle midzone",20,1,0.02,0.0211,"Cellular Components",0.05
"95","evm.TU.chromosome_9.133","GO:0005584","collagen type I trimer",12,3,0.01,2.2e-07,"Cellular Components",0.25
"96","evm.TU.chromosome_9.133","GO:0070062","extracellular exosome",960,5,1.02,0.0027,"Cellular Components",0.00520833333333333
"97","evm.TU.chromosome_9.133","GO:0031012","extracellular matrix",564,5,0.6,0.0245,"Cellular Components",0.00886524822695036
"98","evm.TU.chromosome_9.133","GO:0005576","extracellular region",3164,11,3.37,0.0107,"Cellular Components",0.00347661188369153
"99","evm.TU.chromosome_9.133","GO:0005576","extracellular region",3164,11,3.37,0.0107,"Cellular Components",0.00347661188369153
"100","evm.TU.chromosome_9.113","GO:0005576","extracellular region",3164,11,3.37,0.0107,"Cellular Components",0.00347661188369153
"101","evm.TU.chromosome_9.120","GO:0005584","collagen type I trimer",12,3,0.01,2.2e-07,"Cellular Components",0.25
"102","evm.TU.chromosome_9.120","GO:0070062","extracellular exosome",960,5,1.02,0.0027,"Cellular Components",0.00520833333333333
