"","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","cluster"
"1","GO:0099093","calcium export from the mitochondrion",4,3,0.05,7.8e-06,"Biological Processes","5"
"2","GO:1904274","tricellular tight junction assembly",15,3,0.19,8e-04,"Biological Processes","5"
"3","GO:0035002","liquid clearance, open tracheal system",17,3,0.21,0.0012,"Biological Processes","5"
"4","GO:0090557","establishment of endothelial intestinal barrier",18,3,0.23,0.0014,"Biological Processes","5"
"5","GO:0051560","mitochondrial calcium ion homeostasis",19,3,0.24,0.0016,"Biological Processes","5"
"6","GO:2001256","regulation of store-operated calcium entry",6,2,0.08,0.0023,"Biological Processes","5"
"7","GO:0045217","cell-cell junction maintenance",22,3,0.28,0.0025,"Biological Processes","5"
"8","GO:0007156","homophilic cell adhesion via plasma membrane adhesi...",200,9,2.52,0.0032,"Biological Processes","5"
"9","GO:0035159","regulation of tube length, open tracheal system",24,3,0.3,0.0033,"Biological Processes","5"
"10","GO:0090263","positive regulation of canonical Wnt signaling path...",82,5,1.03,0.0038,"Biological Processes","5"
"11","GO:2000427","positive regulation of apoptotic cell clearance",9,2,0.11,0.0054,"Biological Processes","5"
"12","GO:1901623","regulation of lymphocyte chemotaxis",10,2,0.13,0.0066,"Biological Processes","5"
"13","GO:1903429","regulation of cell maturation",48,2,0.6,0.0126,"Biological Processes","5"
"14","GO:0035164","embryonic plasmatocyte differentiation",1,1,0.01,0.0126,"Biological Processes","5"
"15","GO:0035169","lymph gland plasmatocyte differentiation",1,1,0.01,0.0126,"Biological Processes","5"
"16","GO:0032487","regulation of Rap protein signal transduction",1,1,0.01,0.0126,"Biological Processes","5"
"17","GO:0021685","cerebellar granular layer structural organization",1,1,0.01,0.0126,"Biological Processes","5"
"18","GO:0019075","virus maturation",1,1,0.01,0.0126,"Biological Processes","5"
"19","GO:0051257","meiotic spindle midzone assembly",1,1,0.01,0.0126,"Biological Processes","5"
"20","GO:0033624","negative regulation of integrin activation",1,1,0.01,0.0126,"Biological Processes","5"
"21","GO:2001214","positive regulation of vasculogenesis",1,1,0.01,0.0126,"Biological Processes","5"
