"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"evm.TU.chromosome_10.779",37.9226075776952,-1.01118770351975,0.952522853513271,-1.06158891599304,0.288422347755152,NA
"evm.TU.chromosome_10.776",14.6412146605147,-0.571100818622167,0.895825641244111,-0.637513364575086,0.523790507467127,NA
"evm.TU.chromosome_10.774",24.4176568031945,0.944338957306661,0.928772876162616,1.01675983606278,0.309267693007994,NA
"evm.TU.chromosome_10.773",25.677904159841,-0.945116012023016,1.02576513941599,-0.921376615080827,0.356853833481205,NA
"evm.TU.chromosome_10.772",50.6175070973959,0.585723932056394,0.632137672232792,0.926576531956308,0.354146444301129,0.839013827319698
"evm.TU.chromosome_10.771",57.0197435247467,0.713757512739057,0.667437692608272,1.06939946701208,0.284889707392201,0.799719405552724
"evm.TU.chromosome_10.770",40.2569173338326,-0.566165274796328,0.799246127122143,-0.708374123544304,0.478712957335113,NA
"evm.TU.chromosome_14.6067",8.0089293120076,-0.00276035297158704,1.48349405677579,-0.00186071050233012,0.99851536867476,NA
"evm.TU.chromosome_11.1878",429.2238827837,0.698834529824252,0.63518441030858,1.10020730748847,0.271241807416026,0.7917303487154
"evm.TU.chromosome_9.2634",7.6474051548212,0.115489727710346,1.67785149538803,0.0688319127335146,0.945123415631706,NA
"evm.TU.chromosome_9.2631",237.955526351743,0.49144400597234,0.43618936068067,1.12667582080738,0.259879569009677,0.786808365477778
"evm.TU.chromosome_9.2632",86.4179870888292,-0.533226482934073,0.586586355594568,-0.909033218806447,0.36333259132886,0.844552545116594
"evm.TU.chromosome_8.383",106.139888036002,0.319808658606424,0.738562261031244,0.433015164029475,0.665003753404192,0.946852973237988
"evm.TU.chromosome_8.381",11.5583123574574,-0.816844348591011,1.87445342833881,-0.435777350475398,0.662998278501426,NA
"evm.TU.chromosome_8.386",11.109128926299,0.534839665440294,0.934677689356935,0.572218286079202,0.567174100631967,NA
"evm.TU.chromosome_9.2639",9.12904367383003,-0.75615360735954,1.60722197861465,-0.470472416020162,0.638017537112489,NA
"evm.TU.chromosome_8.384",800.209973066125,0.696023891907167,0.494533810543622,1.40743438985912,0.159298619664478,0.707209063102052
"evm.TU.chromosome_8.2624",57.5847565131781,-0.383156702099101,0.760887373176593,-0.503565594076661,0.614566675332325,0.933349023751038
"evm.TU.chromosome_8.2625",87.0255398947925,-0.273698754925275,0.668892930034236,-0.409181713000414,0.682406313514829,0.948982466019638
"evm.TU.chromosome_8.2627",121.634030225109,-1.20534216869714,0.681074928734911,-1.76976440894109,0.0767663951690921,0.565597999665287
"evm.TU.chromosome_8.2621",55.4123783308424,0.105247764805789,0.737508173003878,0.142707252147612,0.886521388960161,0.983896720594126
"evm.TU.chromosome_8.2622",54.8582141649408,-0.218158984947111,0.530395926765481,-0.411313462148007,0.680842699548441,0.948956955372623
"evm.TU.chromosome_8.2623",149.264472270505,-0.625498032704736,0.637184797398937,-0.981658751524035,0.326267992936588,0.822113944779926
"evm.TU.chromosome_8.2628",91.4336699010918,-0.594315375869649,0.848386320899344,-0.700524467720833,0.483599830359686,0.891813362284941
"evm.TU.chromosome_8.2629",59.1816822298158,1.53074999392478,0.573520464202091,2.66904162880122,0.00760680216311133,0.254288412900826
"evm.TU.chromosome_6.2013",14.2254599865287,-3.02425788120781,1.27814561487984,-2.36612937211549,0.0179751618987021,NA
"evm.TU.chromosome_5.2397",35.7143814400273,-0.28300833711843,1.06046520334175,-0.266871874934332,0.789567812064946,NA
"evm.TU.chromosome_2.1948",20.1954969409805,1.37935853201115,1.23690078422162,1.11517314048691,0.26477623368651,NA
"evm.TU.chromosome_2.1949",13.8798803074482,0.304178707036219,1.04437310112064,0.291254827139675,0.770856433171919,NA
"evm.TU.chromosome_5.2396",239.602568129651,-0.626580036054486,0.56614902473145,-1.10674046705583,0.268406153964824,0.790662163595274
"evm.TU.chromosome_2.1942",69.301682037462,-0.708653642287114,0.84369814042071,-0.839937423512329,0.400943473305069,0.861517638452311
"evm.TU.chromosome_2.1941",30.6795940473415,-1.62346297905166,0.888577955319141,-1.82703494874412,0.0676945148428362,NA
"evm.TU.chromosome_2.1946",262.33038514115,0.0533485268056507,0.509484115734105,0.10471087352504,0.916605233572817,0.990792011674697
"evm.TU.chromosome_2.1947",21.6366683756121,0.203248399978771,1.09309067313053,0.185939195141684,0.85249244485562,NA
"evm.TU.chromosome_5.2393",285.446812613209,-0.623310205451453,0.465059016917379,-1.34028194869338,0.180153697873007,0.729842565880345
"evm.TU.chromosome_5.2392",61.3745682243702,0.143143467884252,0.659297628251328,0.217115096051407,0.82811864961277,0.972210468303556
"evm.TU.chromosome_10.199",340.996391537786,-0.233688554509781,0.861545055882251,-0.271243567488732,0.786203706486702,0.963425160978075
"evm.TU.chromosome_10.198",603.238486829363,-0.877995520499894,0.643049283614371,-1.36536272237948,0.17213907419889,0.720355180416678
"evm.TU.chromosome_10.193",21.7899845088467,-1.26324943816649,0.917606246786594,-1.37667920482268,0.168611450799418,NA
"evm.TU.chromosome_10.192",34.5178277318451,-0.443883430831807,0.731720544354073,-0.606629722585752,0.544096670554997,NA
"evm.TU.chromosome_10.191",13.5800037375105,0.28630181563232,1.67486656118462,0.170940075028914,0.864270885078204,NA
"evm.TU.chromosome_10.195",44.285993885122,-0.242291228630588,0.783765046466031,-0.3091375785678,0.757216874665692,0.958696873455192
"evm.TU.chromosome_10.194",194.09954447061,0.467200833223022,0.53532093330992,0.872749044828664,0.382799878814489,0.854061670920311
"evm.TU.chromosome_8.969",123.691538103438,-1.46262488930578,0.803960530335956,-1.81927449683952,0.068869562228278,0.548972055773225
"evm.TU.chromosome_8.964",230.369009191692,-3.53466993759889,1.02942514647812,-3.43363473263864,0.000595546143169072,0.0924734101991246
"evm.TU.chromosome_8.960",21.2143395745986,-0.0506768307970342,1.7602764780388,-0.0287891313832106,0.977032769188294,NA
"evm.TU.chromosome_6.1090",52.0273631200791,0.981363252278407,0.810560485065313,1.21072180344361,0.226002043186665,0.763375152840828
"evm.TU.chromosome_9.2637",141.385223071631,0.265304226840054,0.53015689083467,0.500425876616191,0.616775236605891,0.933538148143364
"evm.TU.chromosome_6.1096",35.3788231355779,-0.474536054214207,0.745740960610328,-0.636328268499343,0.524562483632876,NA
"evm.TU.chromosome_6.1097",153.635573654101,-0.754630855773553,0.548037653282077,-1.37696899337889,0.168521834439551,0.716242419663599
"evm.TU.chromosome_6.1098",185.968752681689,-0.0067328938818914,0.464923290177761,-0.0144817306943627,0.988445654530572,0.997813995628203
"evm.TU.chromosome_6.1099",16.5728180681488,-0.157003993540046,0.914712293066931,-0.171643034350866,0.863718172975709,NA
"evm.TU.chromosome_8.382",72.2809468292497,-0.0477738676126194,1.04935520388837,-0.0455268792069587,0.963687350597281,0.99652684846352
"evm.TU.chromosome_9.2638",375.62968078088,-0.205668788842678,0.456323302419068,-0.450708494947295,0.652199658984757,0.944833495323959
"evm.TU.chromosome_8.387",28.7731762954299,-0.258444231237398,1.03431860336007,-0.249869073608288,0.802688600413566,NA
"evm.TU.chromosome_11.3107",50.293666550978,3.34447691926048,1.49623655744526,2.23525945988847,0.025400319905633,0.380719912312267
"evm.TU.chromosome_11.3106",644.792373709489,1.15418407120049,0.630170053966988,1.83154382524967,0.0670194126381345,0.543364693629586
"evm.TU.chromosome_11.3101",108.616358952449,0.177476037542762,0.448567351110656,0.395650813870717,0.692362645449738,0.951469004564253
"evm.TU.chromosome_11.3102",57.8085736061794,-0.0492370241943141,1.49073268844885,-0.0330287412195586,0.973651667961244,0.99652684846352
"evm.TU.chromosome_11.3109",159.830879897296,0.424760311312844,0.53639160402201,0.791884712825248,0.42842790145387,0.870951405875612
"evm.TU.chromosome_11.3108",40.9820378262858,-0.0617633670933839,0.611276992001577,-0.101039901552886,0.919518785378412,NA
"evm.TU.chromosome_13.1608",63.1789588553327,0.42391863596983,0.91104985395384,0.465307835932443,0.641711024096633,0.941590509933559
"evm.TU.chromosome_13.1609",85.5724004772412,-0.121675481940437,0.758122558329157,-0.160495793989563,0.872490534590826,0.981202885387701
"evm.TU.chromosome_13.1602",36.7941969659956,-0.330976680155263,1.02874682643731,-0.321728020587417,0.747658748211304,NA
"evm.TU.chromosome_13.1603",274.465203168915,-0.720349167923797,0.951663911873074,-0.75693651817268,0.449087895748222,0.87901005514736
"evm.TU.chromosome_13.1600",593.329946332438,0.154607212573021,0.500296919579869,0.309030910489824,0.757298013691377,0.958696873455192
"evm.TU.chromosome_13.1601",20.0295551806953,0.0952826544088078,1.08546357804882,0.0877806094425424,0.930051049687378,NA
"evm.TU.chromosome_13.1606",23.6500249071971,-0.887588869037968,0.872920692487842,-1.01680356151064,0.309246887528292,NA
"evm.TU.chromosome_13.1607",79.4078067244953,-1.2334178836407,0.536939528603614,-2.297126245945,0.0216115689415944,0.362767973184918
"evm.TU.chromosome_13.1604",171.562692725349,0.715150142315586,0.475874952608312,1.50281106075406,0.132887772862154,0.669491118475087
"evm.TU.chromosome_13.1605",291.448485988702,0.400495959937608,0.342854731746053,1.16812143119042,0.242757786778085,0.777433024539052
"evm.TU.chromosome_14.1867",50.1935714362758,-0.224877046477113,1.32122296684921,-0.170203706807632,0.864849936644581,0.98015002147554
"evm.TU.chromosome_6.703",422.694916897956,-0.667557376032217,0.360895645620092,-1.8497241076024,0.0643533240422443,0.534220744789042
"evm.TU.chromosome_12.2253",183.422587318961,-1.61336418776691,0.480120925526293,-3.36032882965556,0.000778497541773997,0.102528821576352
"evm.TU.chromosome_12.2251",29.5160335280575,-0.0117912224851494,0.67202883865422,-0.0175457090632629,0.98600126788983,NA
"evm.TU.chromosome_12.2256",165.812557970375,-0.927146068076194,0.634128927435255,-1.46207817994686,0.143719787352929,0.688719887730285
"evm.TU.chromosome_12.2255",51.1715589536928,0.165701782799512,1.1545424674135,0.143521600526944,0.885878253089283,0.983896720594126
"evm.TU.chromosome_12.2259",121.449082452008,2.7809313616325,0.913768732897093,3.04336454237779,0.00233948739465492,0.164320037562556
