"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"evm.TU.chromosome_5.1771",131.05640336928,1.9696854347271,0.483043807697657,4.07765383457715,4.54924299251961e-05,0.022815237959726,177,403,194,0,65,385,545,156,208,163,218,326,105,114,19,172,116,38,31
"evm.TU.chromosome_12.835",205.080328400607,-3.02097535417406,0.792219578631273,-3.81330559816943,0.000137120389536171,0.041229683630242,618,190,72,33,50,95,48,33,371,108,53,14,276,2681,55,412,317,22,65
"evm.TU.chromosome_12.833",445.486544581821,-3.24546428875486,0.853058874472969,-3.80450211101778,0.000142089700387494,0.041229683630242,812,368,152,62,71,175,257,52,1699,95,14,79,285,4688,208,1459,458,92,192
"evm.TU.chromosome_11.122",170.109136997019,-5.05357566909078,1.1552736671271,-4.37435372491253,1.21792756154198e-05,0.00885676922753329,25,33,27,29,7,10,28,6,203,77,29,16,33,3737,31,607,283,0,0
"evm.TU.chromosome_9.408",516.455398358137,-1.71465313211926,0.401966835581326,-4.2656582094379,1.99313713932246e-05,0.0120784110642941,914,1613,231,33,219,662,723,102,831,463,500,723,2478,2643,204,1085,1193,93,137
"evm.TU.chromosome_12.3776",49.1237354754419,-7.76542639348499,1.69445588969201,-4.58284363772753,4.58695037861066e-06,0.00444750708710089,124,64,0,16,0,0,42,0,68,147,0,59,69,15,0,116,193,0,60
"evm.TU.chromosome_14.4132",147.360510290795,11.8660281264553,2.34309381091436,5.06425652749463,4.09997254427551e-07,0.000993833344732385,250,285,159,0,22,80,0,845,96,169,41,0,0,0,0,24,0,34,0
"evm.TU.chromosome_13.358",1716.73330684811,9.14692344303275,2.28768328192058,3.99833469751705,6.37897069447957e-05,0.027286985229562,0,12,157,0,29,6460,40,12002,33,25,21,0,0,102,0,3,0,39,6
"evm.TU.chromosome_6.2332",148.729376294151,-2.01798996137896,0.462849483280112,-4.35992700494751,1.30105837092706e-05,0.00901075854607771,349,111,37,8,26,194,74,20,207,265,110,99,688,498,109,338,310,45,82
"evm.TU.chromosome_3.947",69.930600755207,4.05171760912765,0.920942409894172,4.39953417889969,1.0848349103583e-05,0.00830412575592161,23,215,37,0,78,199,149,266,69,152,59,92,31,21,3,24,22,0,8
