"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"evm.TU.chromosome_11.375",925.877938280351,-2.50880703205085,0.591298771535122,-4.24287543425385,2.20673937117122e-05,0.0142056803741952,2203,1807,258,147,657,421,1266,129,1555,3613,585,982,1930,181,145,3906,812,705,301
"evm.TU.chromosome_11.371",880.504311130114,-2.18506215039412,0.579170772984006,-3.77274243162554,0.000161462950390406,0.0475658905209431,1936,3142,725,237,300,755,1542,99,968,3185,310,1328,2258,489,120,2873,735,421,269
"evm.TU.chromosome_14.909",426.32101061213,-2.60749499889763,0.475199301886056,-5.48716083661852,4.08445217536916e-08,0.000236639544200305,615,970,325,148,255,297,694,44,831,2169,178,677,1075,280,94,1517,287,112,72
"evm.TU.chromosome_10.3111",35.0406764050584,7.24867522908792,1.44796408197944,5.0061153583165,5.55394796284181e-07,0.00120666461927692,124,24,95,0,13,56,69,0,113,0,35,35,51,69,19,0,182,15,6
"evm.TU.chromosome_4.1970",2924.25597748516,2.92298249757479,0.622341505665007,4.69675004955907,2.64333589496234e-06,0.00353414009156465,772,17390,3405,112,3321,3968,6546,7093,1008,1653,4208,6165,4913,5335,495,1173,3349,85,207
"evm.TU.chromosome_10.2338",189.51750950352,-2.58953921242414,0.680579199026816,-3.80490502226194,0.000141858613054875,0.0433777925479144,621,90,80,30,38,47,250,80,154,1238,36,179,255,241,45,1003,283,97,37
"evm.TU.chromosome_9.250",168.016725980723,4.22795214652611,0.942330572553786,4.48669741773107,7.23356909326749e-06,0.00661719286368854,38,517,36,0,24,610,182,720,198,79,230,229,90,192,12,79,130,10,8
"evm.TU.chromosome_9.2299",1315.10976064608,-2.61530187992988,0.623856119970447,-4.19215552466451,2.76316457374157e-05,0.0151065604276434,2443,2537,731,508,404,2352,1060,167,2974,9726,417,580,3768,377,201,4436,672,310,178
"evm.TU.chromosome_14.1276",67.3527385905574,-3.96393888783437,0.915880811481812,-4.32800735438608,1.50464446561074e-05,0.0104608901827121,206,58,19,62,7,36,47,7,39,68,5,19,36,124,12,63,108,28,6
"evm.TU.chromosome_9.2844",138.966964286192,6.39978324114181,1.47798645045425,4.33006895237429,1.49062659494376e-05,0.0104608901827121,41,260,20,0,48,233,132,854,10,0,8,16,42,134,7,30,32,0,10
"evm.TU.chromosome_13.1747",3315.1109387151,-2.64503871105873,0.636681755962662,-4.15441260298002,3.26124235917146e-05,0.016229063602432,8603,14273,1405,1506,2368,3038,4217,453,6287,13359,1297,1863,6985,2195,400,3876,1735,1550,486
"evm.TU.chromosome_11.2149",151.182523785052,2.8573195315726,0.679760482187906,4.20342106733818,2.6291085953711e-05,0.0151065604276434,271,875,194,0,106,376,669,252,266,102,79,285,95,112,46,82,184,33,20
"evm.TU.chromosome_7.2072",113.17609937355,7.05347544579213,1.32312859369659,5.33090697260645,9.77234718446702e-08,0.000275230306786154,45,286,226,0,100,127,95,328,94,9,40,160,27,39,7,0,0,18,91
"evm.TU.chromosome_12.103",23.2721194569554,-3.76948191621517,0.970619762600438,-3.88358249178459,0.000102928589012898,0.0357800361126637,69,21,0,13,11,11,27,0,16,90,14,35,52,23,9,47,44,0,8
"evm.TU.chromosome_4.28",170.708556738547,7.1889274570972,1.9099917575726,3.76385260752831,0.000167315524344635,0.0484685188105684,13,6,24,0,0,1175,364,948,21,19,17,70,6,72,0,7,23,12,0
"evm.TU.chromosome_5.2273",311.294027787911,4.50226242823289,0.835291380156717,5.39005014919246,7.0438024695723e-08,0.000250600693981349,31,558,161,3,217,1798,568,1308,155,90,110,426,131,196,35,117,110,14,12
"evm.TU.chromosome_1.896",995.747803620475,9.7608153428888,2.04961283763624,4.76227273934607,1.91424721165955e-06,0.00300265889782999,10,1033,1412,0,28,0,28,4283,868,12,1293,39,28,20,222,6,703,937,6
