"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"evm.TU.chromosome_9.489",11.1774468111725,-22.7392999828319,3.49344349010154,-6.50913634276963,7.55840974922965e-11,1.70864151056127e-07,160,0,0,0,16,0,195,0,0,0,0,56,0,0,0,0,0,0,0
"evm.TU.chromosome_6.1548",13.5206860710059,39.2944946548908,4.56408403689361,8.60950287883728,7.33780814303648e-18,3.98105442992301e-14,0,0,0,0,0,43,0,8,0,0,0,0,44,0,0,154,183,0,0
"evm.TU.chromosome_13.2908",189.247336587735,1.65967156964576,0.411932030813638,4.02899373075607,5.60161119722661e-05,0.027134804811994,133,240,228,11,168,471,296,112,195,212,332,291,1049,307,94,202,530,23,30
"evm.TU.chromosome_2.462",17.8537429624015,5.65511323424009,1.3975211448281,4.04653142828526,5.19821483510178e-05,0.025638540696692,1,0,6,5,15,50,3,7,0,60,30,4,19,153,8,16,57,1,0
"evm.TU.chromosome_14.4132",147.018790738301,-9.02016408686187,2.34638053808018,-3.84428865670793,0.000120902627991813,0.0497204483579924,250,285,159,0,22,80,0,845,96,169,41,0,0,0,0,24,0,34,0
"evm.TU.chromosome_14.4131",22.7778851196068,-22.6574048160246,2.64273709994691,-8.57346151324691,1.00420100301068e-17,4.54016010144511e-14,218,256,40,0,0,14,0,61,79,22,0,0,0,0,0,8,0,0,0
"evm.TU.chromosome_6.1043",47.1561837489616,23.4427924428306,4.01905953915401,5.8329049904459,5.44705875556095e-09,8.28576064802156e-06,0,221,0,0,0,0,114,0,0,359,240,0,0,333,0,188,205,0,0
"evm.TU.chromosome_3.1678",10.7715440818937,-22.5911654767512,3.27075198563576,-6.90702492147537,4.94923017246375e-12,1.49175296542694e-08,0,88,2,0,0,48,36,0,268,8,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_8.2349",184.727640645004,2.71384600586757,0.702479115620933,3.8632408359482,0.000111892594574811,0.047426725203608,46,1696,426,7,159,179,786,84,84,531,247,400,426,353,105,138,97,0,10
"evm.TU.chromosome_4.612",208.883248705018,2.97719915262236,0.717942087602256,4.14685140213112,3.37078674078185e-05,0.0194551770036573,154,698,173,7,161,216,176,27,246,59,289,316,1378,1547,146,295,383,0,15
"evm.TU.chromosome_7.2803",29.827738085926,22.4983250216475,4.56379509036838,4.9297403972253,8.23389583509323e-07,0.000770209973512325,0,0,325,0,0,0,0,0,0,0,44,83,0,0,0,0,258,0,0
"evm.TU.chromosome_7.2802",44.0266508800232,23.4869285560094,4.56272659738039,5.14756430277764,2.63890556178486e-07,0.000298273296560574,0,749,0,0,0,303,0,0,0,0,0,0,0,0,91,0,315,0,0
"evm.TU.chromosome_4.1032",42.6488414770372,22.621366294206,4.10180867492865,5.51497353654592,3.48832443893965e-08,4.9804093186903e-05,0,197,0,0,224,0,15,0,0,66,219,97,0,0,68,0,0,0,0
"evm.TU.chromosome_12.3294",44.6111909953816,7.38741153309642,1.55934324922177,4.73751467919799,2.16355189669686e-06,0.00167687635147702,0,8,25,19,0,468,0,6,0,25,32,10,121,10,39,252,36,0,0
"evm.TU.chromosome_9.473",171.20494191435,3.11140479057371,0.609469360399351,5.10510452655893,3.30611717384989e-07,0.0003449424637501,83,504,231,23,223,223,676,89,45,262,119,427,213,284,138,85,730,2,11
"evm.TU.chromosome_12.1648",52.3209024863935,7.94634192960936,1.55457872462518,5.11157254614126,3.1948808801939e-07,0.0003449424637501,0,242,115,0,64,183,159,0,0,188,87,116,224,235,0,90,74,0,0
"evm.TU.chromosome_14.7048",280.716943447363,-3.24424191653675,0.703140858206029,-4.61392888590488,3.95127667508112e-06,0.00297739673235904,810,30,162,6,6,576,40,59,4542,691,270,69,61,336,26,342,134,159,40
"evm.TU.chromosome_4.881",10.2370373915258,5.84212472958379,1.28647965940653,4.54117147276068,5.59425074915352e-06,0.00399355894927073,0,60,16,0,13,14,31,0,0,9,19,42,28,25,8,26,27,0,0
"evm.TU.chromosome_11.14",28.1627781583743,35.8386316526397,4.57578069484189,7.83224416612432,4.79237674970811e-15,1.85718291556188e-11,0,0,0,20,0,38,0,122,0,0,0,0,18,17,0,0,0,0,0
"evm.TU.chromosome_6.252",45.2176320487675,20.0487519259785,2.26939769352135,8.83439336490621,1.00642913581879e-18,9.10046772245207e-15,0,19,0,0,14,66,37,314,0,4,0,0,13,29,0,0,12,0,0
"evm.TU.chromosome_13.3248",20.0718004733093,18.8662236216707,4.58135840580888,4.11804140836254,3.82106048762251e-05,0.0207307815695472,0,0,0,0,50,0,0,0,0,550,3,86,26,0,0,0,0,0,0
"evm.TU.chromosome_14.5902",16.0545883624511,6.07984653002165,1.55887828048324,3.90014192008433,9.61363172346195e-05,0.0420627399616697,0,27,25,0,30,47,5,39,0,3,12,41,53,45,10,3,0,0,0
"evm.TU.chromosome_10.72",47.0131702801505,20.9382809549158,4.56801131334605,4.58367537176228,4.56873359438997e-06,0.00334962260040586,0,0,0,0,0,269,6,297,0,3,0,0,0,78,0,0,0,0,0
"evm.TU.chromosome_14.5306",37.0175391179969,21.6293718307351,3.709151635646,5.83135281471663,5.49797956517079e-09,8.28576064802156e-06,0,414,0,0,82,137,191,0,0,74,0,360,201,0,0,0,0,0,0
"evm.TU.chromosome_4.1628",55.371865654759,4.14432143767405,1.02401493076517,4.04712989348438,5.18494719175051e-05,0.025638540696692,2,123,130,4,73,73,192,3,7,47,199,51,43,246,56,66,43,0,4
"evm.TU.chromosome_3.24",8.65903997269747,19.9010140921261,4.17006473542671,4.77235135537763,1.82087488258656e-06,0.0014968143315129,0,0,0,0,0,0,202,0,0,0,35,0,51,0,0,0,31,0,0
"evm.TU.chromosome_14.920",52.9863603857,24.2911117631091,4.56252716272844,5.32404759396167,1.01483335312963e-07,0.00011969297552325,0,0,0,0,0,132,214,0,0,0,0,333,0,1235,0,0,0,0,0
"evm.TU.chromosome_14.826",27.6895196469869,27.0728062548072,4.57899084062049,5.91239580884128,3.37167124741448e-09,5.71645787053829e-06,0,0,0,0,0,228,0,166,0,0,0,0,0,17,0,0,9,0,0
"evm.TU.chromosome_12.532",23.7781496905359,39.6160346569046,4.56297330899667,8.6820658316793,3.88644355023589e-18,2.63568885468122e-14,0,0,0,0,0,117,0,0,0,0,0,0,156,0,83,150,0,0,0
"evm.TU.chromosome_13.3309",66.5587881122846,-2.53794525236249,0.591788711552975,-4.28860031091569,1.79802592956175e-05,0.0110852384980049,359,32,142,0,16,148,11,35,253,100,59,18,82,68,4,45,39,26,52
"evm.TU.chromosome_10.880",27.1174800332877,-41.3952048273466,4.56369787376722,-9.07054015676457,1.18428443364089e-19,1.60630419156882e-15,219,0,87,3,0,0,0,0,599,0,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_11.2705",21.0195572984504,19.5665228470327,4.57627403450167,4.27564492412731,1.90584774034492e-05,0.0114888737005192,0,0,0,0,0,49,5,148,0,0,0,0,0,32,0,0,0,0,0
"evm.TU.chromosome_10.2122",19.2819598986153,6.84111473910826,1.77961595014353,3.8441522950817,0.000120969867350886,0.0497204483579924,0,64,9,2,0,150,38,3,0,0,28,117,54,1,25,3,65,0,0
"evm.TU.chromosome_8.1210",22.8221897883227,-21.840916029882,4.56946722086674,-4.77975111193362,1.75512332405641e-06,0.00148785095036495,108,178,0,0,0,0,0,0,65,164,0,0,0,0,0,395,0,0,0
"evm.TU.chromosome_14.193",8.72561214293757,20.6726079262921,3.37627783025632,6.12289893356397,9.18879837643715e-10,1.78046095398293e-06,0,0,14,0,0,0,194,0,0,36,0,0,25,23,0,0,34,0,0
"evm.TU.chromosome_10.973",57.0793111846922,-3.69099457964949,0.904880020506744,-4.07898781717215,4.5232206943541e-05,0.0235964245722584,60,620,45,0,99,54,162,10,70,268,45,408,2,11,0,66,8,1,21
