"","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"evm.TU.chromosome_5.1771",177,403,194,0,65,385,545,156,208,163,218,326,105,114,19,172,116,38,31
"evm.TU.chromosome_11.2588",46,17,0,0,4,0,0,0,55,99,0,0,51,194,4,62,0,20,0
"evm.TU.chromosome_11.122",25,33,27,29,7,10,28,6,203,77,29,16,33,3737,31,607,283,0,0
"evm.TU.chromosome_14.6115",506,334,111,0,0,53,52,0,515,0,0,134,301,0,0,0,0,0,0
"evm.TU.chromosome_9.408",914,1613,231,33,219,662,723,102,831,463,500,723,2478,2643,204,1085,1193,93,137
"evm.TU.chromosome_12.3776",124,64,0,16,0,0,42,0,68,147,0,59,69,15,0,116,193,0,60
"evm.TU.chromosome_2.462",1,0,6,5,15,50,3,7,0,60,30,4,19,153,8,16,57,1,0
"evm.TU.chromosome_3.836",1594,10,0,4,100,0,235,0,17,0,0,4,834,0,0,0,0,12,0
"evm.TU.chromosome_14.4132",250,285,159,0,22,80,0,845,96,169,41,0,0,0,0,24,0,34,0
"evm.TU.chromosome_14.4131",218,256,40,0,0,14,0,61,79,22,0,0,0,0,0,8,0,0,0
"evm.TU.chromosome_6.1043",0,221,0,0,0,0,114,0,0,359,240,0,0,333,0,188,205,0,0
"evm.TU.chromosome_10.3111",124,24,95,0,13,56,69,0,113,0,35,35,51,69,19,0,182,15,6
"evm.TU.chromosome_14.4959",0,102,30,25,15,55,44,0,0,59,4,13,15,75,4,0,8,0,0
"evm.TU.chromosome_11.903",128,0,0,12,0,0,0,0,812,68,11,0,59,1548,6,18,97,3,0
"evm.TU.chromosome_10.2078",0,0,56,0,0,0,0,33,0,0,69,0,0,0,0,0,206,0,19
"evm.TU.chromosome_8.1515",176,770,121,0,90,537,624,32,481,0,4,13,579,23,126,0,0,54,0
"evm.TU.chromosome_12.3294",0,8,25,19,0,468,0,6,0,25,32,10,121,10,39,252,36,0,0
"evm.TU.chromosome_11.615",0,0,198,0,0,0,0,0,49,0,0,0,163,250,9,0,0,0,0
"evm.TU.chromosome_1.1236",0,12,0,0,0,0,0,0,12,0,3,34,0,0,0,0,210,5,4
"evm.TU.chromosome_6.2332",349,111,37,8,26,194,74,20,207,265,110,99,688,498,109,338,310,45,82
"evm.TU.chromosome_9.477",0,0,0,0,0,0,82,0,0,379,117,230,0,20,34,654,4,0,0
"evm.TU.chromosome_13.3114",204,63,0,0,0,345,133,0,4,0,0,0,11,0,5,0,4,0,25
"evm.TU.chromosome_3.947",23,215,37,0,78,199,149,266,69,152,59,92,31,21,3,24,22,0,8
"evm.TU.chromosome_2.218",500,1614,529,43,449,805,1113,223,646,838,475,1471,363,423,84,540,295,73,56
"evm.TU.chromosome_11.328",102,0,0,5,29,0,51,0,175,105,0,0,0,0,0,27,348,0,0
"evm.TU.chromosome_6.252",0,19,0,0,14,66,37,314,0,4,0,0,13,29,0,0,12,0,0
"evm.TU.chromosome_4.1160",0,0,110,0,19,0,0,0,102,0,0,0,239,244,82,0,0,0,0
"evm.TU.chromosome_11.1802",126,110,64,0,49,105,16,19,0,0,50,242,406,98,0,0,122,81,0
"evm.TU.chromosome_11.1111",205,29,0,0,18,14,20,0,90,0,0,12,10,87,4,0,86,0,32
"evm.TU.chromosome_7.854",0,14,0,0,0,0,0,0,149,56,0,0,39,77,0,0,144,0,0
"evm.TU.chromosome_7.857",24,71,0,0,0,0,15,0,41,16,0,0,560,0,12,13,58,0,0
"evm.TU.chromosome_2.1681",12,6,0,14,53,0,0,0,71,138,0,34,244,439,0,0,266,0,14
"evm.TU.chromosome_2.1680",0,0,0,0,99,0,0,0,168,72,0,0,33,327,0,0,188,0,0
"evm.TU.chromosome_10.561",6,175,11,8,14,7,20,25,20,42,7,23,0,0,0,5,0,0,0
"evm.TU.chromosome_7.88",8,34,33,0,7,2894,49,1224,22,10,25,19,3,59,0,0,0,7,10
"evm.TU.chromosome_10.2027",29,47,0,0,3,4,20,0,101,12,0,0,55,15,22,6,46,0,6
"evm.TU.chromosome_11.2350",0,0,0,0,46,3,46,163,57,0,0,76,58,0,89,0,0,0,0
"evm.TU.chromosome_12.3101",254,76,15,0,18,332,23,665,55,224,134,32,45,36,3,131,61,36,20
"evm.TU.chromosome_4.1592",388,1760,30,20,101,205,156,42,597,653,182,965,1170,1214,157,1123,455,36,22
"evm.TU.chromosome_5.1840",0,0,0,0,0,214,27,375,0,0,0,0,0,21,11,0,0,6,0
"evm.TU.chromosome_13.4083",86,0,0,0,0,0,0,0,0,0,89,0,93,0,28,0,0,0,0
"evm.TU.chromosome_13.4082",112,0,0,0,0,0,4,0,0,0,318,3,1111,0,107,0,3,0,3
"evm.TU.chromosome_11.2754",286,760,122,13,153,162,166,44,345,383,70,142,506,444,68,283,326,40,31
"evm.TU.chromosome_9.2764",15,20,0,0,97,0,0,98,0,0,0,5,149,18,34,0,262,0,0
"evm.TU.chromosome_7.2072",45,286,226,0,100,127,95,328,94,9,40,160,27,39,7,0,0,18,91
"evm.TU.chromosome_5.2783",2,0,0,0,0,0,40,0,6,0,0,59,8,8,12,0,286,7,0
"evm.TU.chromosome_10.802",179,0,0,0,0,0,0,0,133,0,0,0,0,176,0,344,0,0,0
"evm.TU.chromosome_4.28",13,6,24,0,0,1175,364,948,21,19,17,70,6,72,0,7,23,12,0
"evm.TU.chromosome_5.2273",31,558,161,3,217,1798,568,1308,155,90,110,426,131,196,35,117,110,14,12
"evm.TU.chromosome_5.1609",150,372,0,0,82,160,0,0,98,0,0,0,128,0,0,0,0,0,13
"evm.TU.chromosome_8.1292",232,7,0,0,0,3,13,0,0,0,330,0,4,0,17,0,294,0,0
"evm.TU.chromosome_10.222",218,69,35,18,4,4,15,6,331,146,51,27,365,304,48,79,507,45,21
"evm.TU.chromosome_7.2232",1102,3154,351,46,428,981,600,96,756,824,225,435,2089,1707,454,823,2834,51,151
"evm.TU.chromosome_10.3213",177,222,0,0,433,0,0,0,0,0,0,1470,114,446,50,0,1686,0,65
"evm.TU.chromosome_7.28",149,21,1,0,141,1,210,0,11,36,2,4,172,148,0,5,366,6,17
"evm.TU.chromosome_11.2339",0,0,0,52,66,0,5,0,0,0,0,111,821,0,0,0,346,0,0
"evm.TU.chromosome_11.2338",307,370,72,27,43,113,121,52,214,426,137,121,476,632,61,502,454,31,34
"evm.TU.chromosome_8.1589",20,211,22,0,6,344,190,142,29,52,22,101,8,30,0,29,8,0,4
"evm.TU.chromosome_8.2695",0,0,65,0,4,17,0,30,3,303,289,163,0,0,0,14,0,46,3
"evm.TU.chromosome_12.1074",47,11,0,0,13,8,0,0,28,0,16,0,9,31,6,0,21,5,10
"evm.TU.chromosome_12.2527",9475,4952,6438,224,955,6312,4053,1354,8376,3077,6878,1496,1347,2938,372,2113,639,298,813
"evm.TU.chromosome_5.1739",9,16,65,10,29,4,158,237,7,22,10,7,5,3,0,0,3,9,0
"evm.TU.chromosome_2.769",55,191,50,0,45,85,162,67,121,0,0,205,58,85,5,0,81,14,0
"evm.TU.chromosome_14.6479",0,40,0,0,62,60,99,20,216,0,5,77,144,27,4,0,35,0,0
"evm.TU.chromosome_5.1161",137,697,9,9,24,111,84,17,39,2361,111,59,244,168,69,259,231,3,11
"evm.TU.chromosome_9.1417",59,4,21,0,0,62,59,45,25,0,19,0,11,38,18,0,57,3,6
"evm.TU.chromosome_14.2041",14,0,0,0,0,172,33,0,12,0,0,10,63,5,0,0,13,0,0
"evm.TU.chromosome_3.2051",1,0,15,0,0,0,138,363,53,0,0,65,3,27,0,0,0,58,8
"evm.TU.chromosome_7.93",0,36,0,3,30,0,43,0,13,98,0,0,107,162,0,7,11,0,3
"evm.TU.chromosome_5.133",1230,2798,744,26,178,736,824,144,1273,657,590,827,1306,705,177,350,898,198,236
"evm.TU.chromosome_14.5910",0,0,73,0,0,79,0,93,0,0,44,28,0,0,0,0,0,0,0
"evm.TU.chromosome_9.2016",5,2,0,5,4,26,0,0,3,210,6,20,30,11,0,195,4,0,0
"evm.TU.chromosome_12.335",191,3,0,0,5,29,21,0,60,35,11,0,250,354,49,285,215,11,9
"evm.TU.chromosome_14.588",74,167,0,0,0,0,0,0,0,0,114,156,0,26,0,0,27,47,10
"evm.TU.chromosome_11.2393",20,0,7,25,55,12,0,1,27,6,441,5,3,1,0,937,0,9,0
"evm.TU.chromosome_4.1089",3,0,3,37,0,11,7,3,10,59,7,0,31,5,0,14,14,1,0
"evm.TU.chromosome_3.611",0,124,0,18,0,187,96,0,0,0,0,0,0,0,0,40,0,40,0
"evm.TU.chromosome_14.6215",23,15,32,0,0,89,0,45,62,28,22,0,0,0,0,16,0,0,0
"evm.TU.chromosome_11.971",1243,4007,313,6,565,1412,2617,157,615,338,802,734,611,475,160,62,489,395,30
"evm.TU.chromosome_9.2114",31,54,0,0,0,0,11,0,25,11,0,18,74,18,6,37,26,6,12
