"","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"chromosome_10_400118",3316,17732,3407,85,2822,7548,4057,4065,7518,9009,1022,5759,12906,2462,474,4419,3315,1103,3834
"chromosome_7_273041",184,18907,768,18,2350,2646,5303,1517,624,2125,209,5727,2376,229,60,1120,700,171,942
"chromosome_4_131803",519,8821,307,48,551,421,2391,410,611,1551,45,1432,395,42,30,272,90,60,423
"chromosome_4_131843",519,8821,307,48,551,421,2391,410,611,1551,45,1432,395,42,30,272,90,60,423
"chromosome_13_596712",372,1784,630,5,147,840,1633,503,1693,1947,106,978,1572,172,66,395,159,252,518
"chromosome_10_389860",57,12861,141,5,771,555,2746,489,170,936,52,2113,498,78,39,328,337,86,1838
"chromosome_10_389884",57,12861,141,5,771,555,2746,489,170,936,52,2113,498,78,39,328,337,86,1838
"chromosome_10_389646",57,12861,141,5,771,555,2746,489,170,936,52,2113,498,78,39,328,337,86,1838
"chromosome_11_464397",29,11125,549,6,1373,494,2013,535,335,1387,202,1041,470,110,16,247,75,74,318
"chromosome_6_186333",347,6167,355,1,331,1764,424,334,763,2158,77,556,1256,405,93,736,754,73,325
"chromosome_10_374053",18,5168,216,2,674,286,1635,434,292,1023,87,1197,311,54,14,108,80,51,615
"chromosome_4_131850",502,1340,435,47,199,534,821,756,939,2377,58,649,483,85,50,566,223,199,1068
"chromosome_4_131836",502,1340,435,47,199,534,821,756,939,2377,58,649,483,85,50,566,223,199,1068
"chromosome_4_131810",502,1340,435,47,199,534,821,756,939,2377,58,649,483,85,50,566,223,199,1068
"chromosome_4_131796",502,1340,435,47,199,534,821,756,939,2377,58,649,483,85,50,566,223,199,1068
"chromosome_4_131847",497,1341,432,47,199,531,821,754,936,2371,58,647,484,83,50,563,223,199,1067
"chromosome_4_131807",497,1341,432,47,199,531,821,754,936,2371,58,647,484,83,50,563,223,199,1067
"chromosome_13_585502",35,2147,127,8,475,51,756,117,30,158,38,1053,64,61,22,75,40,17,43
"chromosome_7_269745",67,1431,139,0,111,150,322,203,210,416,29,205,800,75,27,186,32,32,209
"chromosome_9_317153",236,2516,209,11,173,370,710,217,220,638,70,254,81,67,7,452,351,145,686
"chromosome_12_488933",25,4030,43,4,233,490,1305,80,139,440,95,955,123,24,12,67,151,25,216
"chromosome_6_180004",144,587,185,14,102,378,251,122,409,481,41,216,410,94,27,281,186,68,85
"chromosome_6_209591",131,520,51,4,75,138,70,173,274,789,22,161,269,52,14,155,98,31,37
"chromosome_14_688567",3,1999,42,0,383,144,670,60,29,29,14,347,10,7,2,35,17,4,6
"chromosome_1_1782",22,909,68,11,188,108,516,89,74,247,19,285,66,15,1,58,51,31,120
"chromosome_4_111146",32,886,138,0,110,62,146,145,93,879,58,158,113,190,7,143,56,30,124
"chromosome_12_528408",18,1440,92,3,60,76,170,118,58,350,16,147,46,3,5,80,10,27,50
"chromosome_5_163972",18,278,78,5,50,78,288,66,130,216,6,102,90,1,0,16,6,62,60
"chromosome_9_343049",77,480,112,2,97,111,198,84,240,348,23,110,135,27,9,372,93,41,143
"chromosome_9_343055",77,480,112,2,97,111,198,84,240,348,23,110,135,27,9,372,93,41,143
"chromosome_14_800166",1,409,20,2,79,58,210,34,20,18,8,203,32,6,3,19,7,9,17
"chromosome_6_210877",8,1310,9,1,41,142,274,30,21,132,9,315,36,11,1,37,62,8,55
"chromosome_3_79553",48,188,98,2,30,71,49,520,94,105,46,93,106,28,17,40,44,51,27
"chromosome_13_573335",3,886,22,2,170,31,226,38,8,115,9,188,35,13,2,24,15,16,127
"chromosome_5_147390",10,664,15,3,381,40,267,30,6,24,2,148,103,8,2,16,5,10,68
"chromosome_5_147456",10,664,15,3,381,40,267,30,6,24,2,148,103,8,2,16,5,10,68
"chromosome_14_689375",6,769,31,1,131,26,104,24,10,76,3,211,63,8,0,31,7,7,12
"chromosome_7_227819",8,638,14,1,56,35,129,46,13,84,10,124,10,4,3,6,9,7,23
"chromosome_13_578414",4,529,18,1,57,21,205,50,38,77,8,317,41,4,0,28,8,20,98
"chromosome_11_419903",17,278,32,0,52,76,230,40,31,44,1,166,44,2,0,7,21,10,32
"chromosome_12_471505",4,157,64,7,20,97,102,39,37,122,11,38,24,24,10,36,29,6,10
"chromosome_4_122926",56,240,27,8,27,170,47,31,61,56,3,63,155,13,15,30,96,4,53
"chromosome_9_319260",43,135,39,2,15,23,56,32,41,44,9,18,42,18,9,22,17,2,43
"chromosome_9_343047",12,106,23,0,10,22,34,42,38,55,10,57,66,46,2,21,18,7,0
"chromosome_4_135867",9,55,25,2,14,28,53,23,49,42,5,27,29,8,2,17,14,20,23
"chromosome_12_481048",11,1395,381,6,191,497,302,566,404,902,170,155,15,88,30,266,539,96,284
"chromosome_5_155769",108,158,151,10,109,145,96,116,189,694,21,104,94,69,7,168,73,72,75
"chromosome_7_251368",8,1077,42,3,102,47,497,79,17,48,15,203,92,9,4,13,22,33,138
"chromosome_12_503770",39,235,111,11,51,118,185,101,72,170,10,60,78,32,3,80,51,10,20
"chromosome_4_135958",26,122,69,2,27,69,15,26,104,368,15,63,104,14,15,74,58,20,100
