readfile	mapping_type	read_length	count
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	U	<21	115976
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	U	21	14719
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	U	22	16442
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	U	23	15525
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	U	24	14148
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	U	>24	534578
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	P	<21	60396
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	P	21	17606
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	P	22	20676
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	P	23	17681
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	P	24	21559
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	P	>24	522519
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	R	<21	112392
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	R	21	37081
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	R	22	42928
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	R	23	45235
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	R	24	46046
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	R	>24	889614
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	H	<21	4857
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	H	21	528
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	H	22	396
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	H	23	1031
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	H	24	1082
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	H	>24	13914
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	N	<21	1018634
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	N	21	837417
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	N	22	612702
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	N	23	569215
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	N	24	595458
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1065_R1_001.fastq.gz_1.bam	N	>24	11628756
/data/putnamlab/jillashey/Astrangia2021/smRNA/shortstack/AST-1147_R1_001.fastq.gz_1.bam	U	<21	464333
