"","colony_id","Light_Value","Run","micromol.cm2.s","micromol.cm2.h"
"1","AST-1147","0",NA,NA,NA
"2","AST-1147","350",NA,NA,NA
"3","AST-1233","0",NA,NA,NA
"4","AST-1233","350",NA,NA,NA
"5","AST-1345","0",NA,NA,NA
"6","AST-1345","350",NA,NA,NA
"7","AST-1423","0",NA,NA,NA
"8","AST-1423","350",NA,NA,NA
"9","AST-1567","0",NA,NA,NA
"10","AST-1567","350",NA,NA,NA
"11","AST-1585","0",NA,NA,NA
"12","AST-1585","350",NA,NA,NA
"13","AST-1593","0",NA,NA,NA
"14","AST-1593","350",NA,NA,NA
"15","AST-1618","0",NA,NA,NA
"16","AST-1618","350",NA,NA,NA
"17","AST-1722","0",NA,NA,NA
"18","AST-1722","350",NA,NA,NA
"19","AST-2003","0",NA,NA,NA
"20","AST-2003","350",NA,NA,NA
"21","AST-2197","0",NA,NA,NA
"22","AST-2197","350",NA,NA,NA
"23","AST-2198","0",NA,NA,NA
"24","AST-2198","350",NA,NA,NA
"25","AST-2398","0",NA,NA,NA
"26","AST-2398","350",NA,NA,NA
"27","AST-2533","0",NA,NA,NA
"28","AST-2533","350",NA,NA,NA
"29","AST-2859","0",NA,NA,NA
"30","AST-2859","350",NA,NA,NA
"31","AST-2873","0",NA,NA,NA
"32","AST-2873","350",NA,NA,NA
