"","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","start","end","subject_start_end","total_bp_shared","query_similar","subject_similar","interaction_length","binding_type"
"1","Cluster_4640","evm.TU.chromosome_10.779",0.296314082173259,0.703685917826741,0.97345233983574,159,-21.38,2,18,"358 381",18,"77.78%","88.89%",16,"3'UTR"
"2","Cluster_1453","evm.TU.chromosome_10.773",-0.617531973184481,0.382468026815519,0.934972143558693,158,-20.58,2,21,"810 830",19,"68.42%","84.21%",19,"CDS"
"3","Cluster_1453","evm.TU.chromosome_10.773",-0.617531973184481,0.382468026815519,0.934972143558693,159,-21.47,2,18,"51 71",16,"75.00%","93.75%",16,"CDS"
"4","Cluster_4425","evm.TU.chromosome_10.771",-0.72405905179358,0.27594094820642,0.916214912681351,154,-22.41,2,20,"13 37",21,"66.67%","76.19%",18,"CDS"
"5","Cluster_1453","evm.TU.chromosome_14.6067",-0.889792274774711,0.110207725225289,0.898703571176249,165,-21.85,2,19,"476 498",18,"77.78%","88.89%",17,"CDS"
"6","Cluster_1453","evm.TU.chromosome_14.6067",-0.889792274774711,0.110207725225289,0.898703571176249,168,-20.87,2,21,"421 442",19,"73.68%","84.21%",19,"CDS"
"7","Cluster_4831","evm.TU.chromosome_9.2639",-0.0499172479388566,0.950082752061143,0.997208319151234,168,-21.52,2,17,"574 595",15,"86.67%","93.33%",15,"3'UTR"
"8","Cluster_247","evm.TU.chromosome_8.384",0.767330049714106,0.232669950285894,0.911910939464542,180,-21.45,2,21,"15846 15867",19,"84.21%","89.47%",19,"CDS"
"9","Cluster_492","evm.TU.chromosome_8.384",0.212846550495064,0.787153449504936,0.981940631555619,143,-24.77,2,21,"31238 31267",27,"55.56%","66.67%",19,"CDS"
"10","Cluster_1155","evm.TU.chromosome_8.384",0.818802073663403,0.181197926336597,0.904582859771347,177,-22.75,2,18,"23761 23782",16,"93.75%","93.75%",16,"CDS"
"11","Cluster_1453","evm.TU.chromosome_8.384",0.361917242471142,0.638082757528858,0.96750889046009,172,-28.79,2,21,"26829 26850",19,"73.68%","89.47%",19,"CDS"
"12","Cluster_2003","evm.TU.chromosome_8.384",-0.92426739432749,0.0757326056725095,0.886576112136427,154,-21.57,2,20,"8085 8108",20,"70.00%","75.00%",18,"CDS"
