Coords	Name	MIRNA	AST-1065_R1_001.fastq.gz_1	AST-1147_R1_001.fastq.gz_1	AST-1412_R1_001.fastq.gz_1	AST-1560_R1_001.fastq.gz_1	AST-1567_R1_001.fastq.gz_1	AST-1617_R1_001.fastq.gz_1	AST-1722_R1_001.fastq.gz_1	AST-2000_R1_001.fastq.gz_1	AST-2007_R1_001.fastq.gz_1	AST-2302_R1_001.fastq.gz_1	AST-2360_R1_001.fastq.gz_1	AST-2398_R1_001.fastq.gz_1	AST-2404_R1_001.fastq.gz_1	AST-2412_R1_001.fastq.gz_1	AST-2512_R1_001.fastq.gz_1	AST-2523_R1_001.fastq.gz_1	AST-2563_R1_001.fastq.gz_1	AST-2729_R1_001.fastq.gz_1	AST-2755_R1_001.fastq.gz_1
chromosome_1:18460-18882	Cluster_1	N	0	309	13	0	0	0	29	9	0	7	0	0	91	1	0	0	0	1	0
chromosome_1:70293-70717	Cluster_2	N	3968	7813	1729	118	1068	4689	4638	1777	5590	9309	500	3891	3514	1305	456	4459	3338	953	3849
chromosome_1:125835-126254	Cluster_3	N	175	150	206	2	18	5	57	1132	1940	351	786	3	73	71	120	70	280	3	504
chromosome_1:187614-188042	Cluster_4	N	4	872	0	0	0	0	4	1	1	1	0	47	1	1	1	0	5	0	4
chromosome_1:734332-734761	Cluster_5	N	0	28	0	0	0	3	745	0	1	0	0	3	1	16	12	0	0	0	0
chromosome_1:772269-772697	Cluster_6	N	0	7	0	0	0	0	0	0	0	0	0	0	455	0	0	0	0	0	1
chromosome_1:809191-809619	Cluster_7	N	0	795	9	0	11	4	102	42	2	11	3	0	17	0	2	97	54	0	1
chromosome_1:811151-811576	Cluster_8	N	1	739	30	0	10	12	135	164	6	39	7	25	8	0	0	88	129	1	5
chromosome_1:812845-813280	Cluster_9	N	5	1374	31	0	13	33	592	80	7	31	8	63	23	0	2	61	337	1	9
chromosome_1:816578-816999	Cluster_10	N	0	68	10	0	2	1	0	52	0	40	0	362	0	0	0	156	117	0	3
chromosome_1:818229-818666	Cluster_11	N	2	369	66	0	120	21	252	73	5	29	5	84	4	0	2	95	1986	1	174
chromosome_1:819930-820359	Cluster_12	N	1	133	27	0	17	11	135	46	3	4	0	54	6	0	2	66	331	2	33
chromosome_1:879642-880059	Cluster_13	N	0	68	0	0	429	0	25	1	1	0	1	0	0	5	0	0	9	0	0
