"","mRNA","GO","Term","Annotated","Significant","Expected","Fisher","ontology","sig.prop"
"1","evm.TU.chromosome_1.1449","GO:0006555","methionine metabolic process",37,2,0.32,0.0344,"Biological Processes",0.0540540540540541
"2","evm.TU.chromosome_1.1447","GO:0006555","methionine metabolic process",37,2,0.32,0.0344,"Biological Processes",0.0540540540540541
"3","evm.TU.chromosome_1.13","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"4","evm.TU.chromosome_1.676","GO:0000387","spliceosomal snRNP assembly",35,3,0.31,0.0169,"Biological Processes",0.0857142857142857
"5","evm.TU.chromosome_1.360","GO:0006094","gluconeogenesis",37,3,0.32,0.0142,"Biological Processes",0.0810810810810811
"6","evm.TU.chromosome_1.965","GO:1902894","negative regulation of miRNA transcription",4,1,0.04,0.0346,"Biological Processes",0.25
"7","evm.TU.chromosome_1.961.1.5f15dcbb","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"8","evm.TU.chromosome_1.961","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"9","evm.TU.chromosome_1.1046","GO:2000323","negative regulation of glucocorticoid receptor sign...",4,1,0.04,0.0346,"Biological Processes",0.25
"10","evm.TU.chromosome_1.622","GO:0006777","Mo-molybdopterin cofactor biosynthetic process",9,2,0.08,0.0026,"Biological Processes",0.222222222222222
"11","evm.TU.chromosome_1.622","GO:0006777","Mo-molybdopterin cofactor biosynthetic process",9,2,0.08,0.0026,"Biological Processes",0.222222222222222
"12","evm.TU.chromosome_1.201","GO:0006515","protein quality control for misfolded or incomplete...",14,2,0.12,0.0065,"Biological Processes",0.142857142857143
"13","evm.TU.chromosome_1.1616","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"14","evm.TU.chromosome_1.1908","GO:0006625","protein targeting to peroxisome",4,1,0.04,0.0346,"Biological Processes",0.25
"15","evm.TU.chromosome_1.91","GO:0071340","skeletal muscle acetylcholine-gated channel cluster...",20,2,0.18,0.0131,"Biological Processes",0.1
"16","evm.TU.chromosome_1.92","GO:0071340","skeletal muscle acetylcholine-gated channel cluster...",20,2,0.18,0.0131,"Biological Processes",0.1
"17","evm.TU.chromosome_1.1098","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"18","evm.TU.chromosome_1.1098","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"19","evm.TU.chromosome_1.653","GO:0000387","spliceosomal snRNP assembly",35,3,0.31,0.0169,"Biological Processes",0.0857142857142857
"20","evm.TU.chromosome_1.1830","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"21","evm.TU.chromosome_1.1024","GO:1901741","positive regulation of myoblast fusion",2,1,0.02,0.0174,"Biological Processes",0.5
"22","evm.TU.chromosome_1.721","GO:0048010","vascular endothelial growth factor receptor signali...",45,3,0.39,0.0071,"Biological Processes",0.0666666666666667
"23","evm.TU.chromosome_1.993","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"24","evm.TU.chromosome_1.1534","GO:0042843","D-xylose catabolic process",4,1,0.04,0.0346,"Biological Processes",0.25
"25","evm.TU.chromosome_1.1533","GO:0042843","D-xylose catabolic process",4,1,0.04,0.0346,"Biological Processes",0.25
"26","evm.TU.chromosome_1.1530","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Biological Processes",0.0454545454545455
"27","evm.TU.chromosome_1.1530","GO:0045663","positive regulation of myoblast differentiation",2,1,0.02,0.0174,"Biological Processes",0.5
"28","evm.TU.chromosome_1.1613","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"29","evm.TU.chromosome_1.186","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"30","evm.TU.chromosome_1.1137","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"31","evm.TU.chromosome_1.1695","GO:0045743","positive regulation of fibroblast growth factor rec...",7,2,0.06,0.0016,"Biological Processes",0.285714285714286
"32","evm.TU.chromosome_1.384","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"33","evm.TU.chromosome_1.386_evm.TU.chromosome_1.387","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"34","evm.TU.chromosome_1.1450","GO:0006555","methionine metabolic process",37,2,0.32,0.0344,"Biological Processes",0.0540540540540541
"35","evm.TU.chromosome_1.662","GO:0071356","cellular response to tumor necrosis factor",111,3,0.97,0.0281,"Biological Processes",0.027027027027027
"36","evm.TU.chromosome_1.662","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"37","evm.TU.chromosome_1.369","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"38","evm.TU.chromosome_1.1465","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
