"","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","start","end","subject_start_end","total_bp_shared","query_similar","subject_similar","interaction_length","binding_type"
"1","Cluster_4640","evm.TU.chromosome_10.779",0.852896244724358,0.147103755275642,0.83275037842913,159,-21.38,2,18,"358 381",18,"77.78%","88.89%",16,"3'UTR"
"2","Cluster_1453","evm.TU.chromosome_10.773",0.849222707873303,0.150777292126697,0.83275037842913,158,-20.58,2,21,"810 830",19,"68.42%","84.21%",19,"CDS"
"3","Cluster_1453","evm.TU.chromosome_10.773",0.849222707873303,0.150777292126697,0.83275037842913,159,-21.47,2,18,"51 71",16,"75.00%","93.75%",16,"CDS"
"4","Cluster_4425","evm.TU.chromosome_10.771",-0.563915702086124,0.436084297913876,0.866510274732726,154,-22.41,2,20,"13 37",21,"66.67%","76.19%",18,"CDS"
"5","Cluster_1453","evm.TU.chromosome_14.6067",0.357404141635786,0.642595858364214,0.911064191422938,165,-21.85,2,19,"476 498",18,"77.78%","88.89%",17,"CDS"
"6","Cluster_1453","evm.TU.chromosome_14.6067",0.357404141635786,0.642595858364214,0.911064191422938,168,-20.87,2,21,"421 442",19,"73.68%","84.21%",19,"CDS"
"7","Cluster_4831","evm.TU.chromosome_9.2639",-0.0558787360577258,0.944121263942274,0.988356667372009,168,-21.52,2,17,"574 595",15,"86.67%","93.33%",15,"3'UTR"
"8","Cluster_247","evm.TU.chromosome_8.384",0.839537138942865,0.160462861057135,0.83275037842913,180,-21.45,2,21,"15846 15867",19,"84.21%","89.47%",19,"CDS"
"9","Cluster_492","evm.TU.chromosome_8.384",-0.707547417293932,0.292452582706068,0.840458273868333,143,-24.77,2,21,"31238 31267",27,"55.56%","66.67%",19,"CDS"
"10","Cluster_1155","evm.TU.chromosome_8.384",-0.399949598122125,0.600050401877875,0.900478732323219,177,-22.75,2,18,"23761 23782",16,"93.75%","93.75%",16,"CDS"
"11","Cluster_1453","evm.TU.chromosome_8.384",0.719797243497814,0.280202756502185,0.838216564223348,172,-28.79,2,21,"26829 26850",19,"73.68%","89.47%",19,"CDS"
"12","Cluster_2003","evm.TU.chromosome_8.384",0.941546391451819,0.0584536085481812,0.83275037842913,154,-21.57,2,20,"8085 8108",20,"70.00%","75.00%",18,"CDS"
"13","Cluster_2097","evm.TU.chromosome_8.384",-0.527649117471427,0.472350882528573,0.873725513619342,161,-21.89,2,19,"21080 21102",18,"77.78%","83.33%",17,"CDS"
"14","Cluster_2097","evm.TU.chromosome_8.384",-0.527649117471427,0.472350882528573,0.873725513619342,167,-20.28,2,16,"31903 31924",14,"92.86%","92.86%",14,"CDS"
"15","Cluster_3331","evm.TU.chromosome_8.384",-0.86333379886959,0.13666620113041,0.83275037842913,160,-23.97,2,21,"22343 22364",19,"68.42%","78.95%",19,"CDS"
"16","Cluster_3337","evm.TU.chromosome_8.384",-0.879175642976604,0.120824357023396,0.83275037842913,160,-23.97,2,21,"22343 22364",19,"68.42%","78.95%",19,"CDS"
"17","Cluster_3338","evm.TU.chromosome_8.384",-0.88122537580116,0.11877462419884,0.83275037842913,160,-23.97,2,21,"22343 22364",19,"68.42%","78.95%",19,"CDS"
"18","Cluster_4696","evm.TU.chromosome_8.384",-0.612841479283515,0.387158520716485,0.857853406599318,165,-23.77,2,20,"13775 13795",18,"77.78%","88.89%",18,"CDS"
"19","Cluster_9000","evm.TU.chromosome_8.384",-0.638631976743445,0.361368023256555,0.851539136172113,163,-20.03,2,21,"23620 23642",20,"70.00%","85.00%",19,"CDS"
