"","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","mRNA"
"1","GO:1901741","positive regulation of myoblast fusion",2,1,0,0.0016,"Biological Processes","evm.TU.chromosome_2.771"
"2","GO:0045663","positive regulation of myoblast differentiation",2,1,0,0.0016,"Biological Processes","evm.TU.chromosome_2.771"
"3","GO:0014835","myoblast differentiation involved in skeletal muscl...",2,1,0,0.0016,"Biological Processes","evm.TU.chromosome_2.771"
"4","GO:0090336","positive regulation of brown fat cell differentiati...",2,1,0,0.0016,"Biological Processes","evm.TU.chromosome_2.771"
"5","GO:0010759","positive regulation of macrophage chemotaxis",2,1,0,0.0016,"Biological Processes","evm.TU.chromosome_2.771"
"6","GO:0090400","stress-induced premature senescence",3,1,0,0.0024,"Biological Processes","evm.TU.chromosome_2.771"
"7","GO:0051026","chiasma assembly",3,1,0,0.0024,"Biological Processes","evm.TU.chromosome_5.1840"
"8","GO:0051026","chiasma assembly",3,1,0,0.0024,"Biological Processes","evm.TU.chromosome_5.1840"
"9","GO:0005997","xylulose metabolic process",3,1,0,0.0024,"Biological Processes","evm.TU.chromosome_5.1067"
"10","GO:0010831","positive regulation of myotube differentiation",4,1,0,0.0032,"Biological Processes","evm.TU.chromosome_2.771"
"11","GO:1905050","positive regulation of metallopeptidase activity",5,1,0,0.0041,"Biological Processes","evm.TU.chromosome_2.771"
"12","GO:0071223","cellular response to lipoteichoic acid",6,1,0,0.0049,"Biological Processes","evm.TU.chromosome_2.771"
"13","GO:0045648","positive regulation of erythrocyte differentiation",6,1,0,0.0049,"Biological Processes","evm.TU.chromosome_2.771"
"14","GO:0006006","glucose metabolic process",144,2,0.12,0.0059,"Biological Processes","evm.TU.chromosome_2.771"
"15","GO:0006006","glucose metabolic process",144,2,0.12,0.0059,"Biological Processes","evm.TU.chromosome_5.1067"
"16","GO:0042307","positive regulation of protein import into nucleus",10,1,0.01,0.0081,"Biological Processes","evm.TU.chromosome_2.771"
"17","GO:0032495","response to muramyl dipeptide",10,1,0.01,0.0081,"Biological Processes","evm.TU.chromosome_2.771"
"18","GO:0042732","D-xylose metabolic process",11,1,0.01,0.0089,"Biological Processes","evm.TU.chromosome_5.1067"
"19","GO:0098586","cellular response to virus",12,1,0.01,0.0097,"Biological Processes","evm.TU.chromosome_2.771"
"20","GO:0048251","elastic fiber assembly",14,1,0.01,0.0113,"Biological Processes","evm.TU.chromosome_6.2498"
"21","GO:0051403","stress-activated MAPK cascade",15,1,0.01,0.0121,"Biological Processes","evm.TU.chromosome_2.771"
"22","GO:0097374","sensory neuron axon guidance",17,1,0.01,0.0137,"Biological Processes","evm.TU.chromosome_3.1557"
"23","GO:0033962","P-body assembly",18,1,0.01,0.0145,"Biological Processes","evm.TU.chromosome_2.769"
"24","GO:0033962","P-body assembly",18,1,0.01,0.0145,"Biological Processes","evm.TU.chromosome_2.769"
"25","GO:1900015","regulation of cytokine production involved in infla...",22,1,0.02,0.0177,"Biological Processes","evm.TU.chromosome_2.771"
"26","GO:0001502","cartilage condensation",27,1,0.02,0.0217,"Biological Processes","evm.TU.chromosome_2.771"
"27","GO:0038066","p38MAPK cascade",27,1,0.02,0.0217,"Biological Processes","evm.TU.chromosome_2.771"
"28","GO:0046326","positive regulation of D-glucose import",28,1,0.02,0.0225,"Biological Processes","evm.TU.chromosome_2.771"
"29","GO:0010125","mycothiol biosynthetic process",29,1,0.02,0.0233,"Biological Processes","evm.TU.chromosome_8.1515"
"30","GO:0006298","mismatch repair",29,1,0.02,0.0233,"Biological Processes","evm.TU.chromosome_5.1840"
"31","GO:0006298","mismatch repair",29,1,0.02,0.0233,"Biological Processes","evm.TU.chromosome_5.1840"
"32","GO:0035994","response to muscle stretch",30,1,0.02,0.0241,"Biological Processes","evm.TU.chromosome_2.771"
"33","GO:0035924","cellular response to vascular endothelial growth fa...",30,1,0.02,0.0241,"Biological Processes","evm.TU.chromosome_2.771"
"34","GO:0006739","NADP metabolic process",31,1,0.03,0.0249,"Biological Processes","evm.TU.chromosome_5.1067"
"35","GO:0060045","positive regulation of cardiac muscle cell prolifer...",31,1,0.03,0.0249,"Biological Processes","evm.TU.chromosome_2.771"
"36","GO:0031663","lipopolysaccharide-mediated signaling pathway",33,1,0.03,0.0265,"Biological Processes","evm.TU.chromosome_2.771"
"37","GO:0090073","positive regulation of protein homodimerization act...",35,1,0.03,0.0281,"Biological Processes","evm.TU.chromosome_11.2778"
"38","GO:2000379","positive regulation of reactive oxygen species meta...",37,1,0.03,0.0296,"Biological Processes","evm.TU.chromosome_2.771"
"39","GO:0006260","DNA replication",340,2,0.28,0.0302,"Biological Processes","evm.TU.chromosome_8.2061"
"40","GO:0006260","DNA replication",340,2,0.28,0.0302,"Biological Processes","evm.TU.chromosome_13.4082"
"41","GO:0001541","ovarian follicle development",38,1,0.03,0.0304,"Biological Processes","evm.TU.chromosome_5.1840"
"42","GO:0048010","vascular endothelial growth factor receptor signali...",45,1,0.04,0.0359,"Biological Processes","evm.TU.chromosome_2.771"
"43","GO:0032211","negative regulation of telomere maintenance via tel...",52,1,0.04,0.0414,"Biological Processes","evm.TU.chromosome_8.2061"
"44","GO:0032211","negative regulation of telomere maintenance via tel...",52,1,0.04,0.0414,"Biological Processes","evm.TU.chromosome_8.2061"
"45","GO:0044806","G-quadruplex DNA unwinding",54,1,0.04,0.043,"Biological Processes","evm.TU.chromosome_8.2061"
"46","GO:0071479","cellular response to ionizing radiation",59,1,0.05,0.0469,"Biological Processes","evm.TU.chromosome_2.771"
"47","GO:0000002","mitochondrial genome maintenance",62,1,0.05,0.0492,"Biological Processes","evm.TU.chromosome_8.2061"
"48","GO:0000002","mitochondrial genome maintenance",62,1,0.05,0.0492,"Biological Processes","evm.TU.chromosome_8.2061"
"49","GO:0005713","recombination nodule",2,1,0,0.0018,"Cellular Components","evm.TU.chromosome_5.1840"
"50","GO:1990726","Lsm1-7-Pat1 complex",5,1,0,0.0044,"Cellular Components","evm.TU.chromosome_2.769"
"51","GO:1990726","Lsm1-7-Pat1 complex",5,1,0,0.0044,"Cellular Components","evm.TU.chromosome_2.769"
"52","GO:0005688","U6 snRNP",8,1,0.01,0.0071,"Cellular Components","evm.TU.chromosome_2.769"
"53","GO:0005688","U6 snRNP",8,1,0.01,0.0071,"Cellular Components","evm.TU.chromosome_2.769"
"54","GO:0000795","synaptonemal complex",14,1,0.01,0.0124,"Cellular Components","evm.TU.chromosome_5.1840"
"55","GO:0000795","synaptonemal complex",14,1,0.01,0.0124,"Cellular Components","evm.TU.chromosome_5.1840"
"56","GO:0030137","COPI-coated vesicle",17,1,0.02,0.015,"Cellular Components","evm.TU.chromosome_12.668"
"57","GO:0005881","cytoplasmic microtubule",22,1,0.02,0.0194,"Cellular Components","evm.TU.chromosome_5.1067"
"58","GO:0046540","U4/U6 x U5 tri-snRNP complex",23,1,0.02,0.0202,"Cellular Components","evm.TU.chromosome_2.769"
"59","GO:0046540","U4/U6 x U5 tri-snRNP complex",23,1,0.02,0.0202,"Cellular Components","evm.TU.chromosome_2.769"
"60","GO:0071011","precatalytic spliceosome",26,1,0.02,0.0228,"Cellular Components","evm.TU.chromosome_2.769"
"61","GO:0071011","precatalytic spliceosome",26,1,0.02,0.0228,"Cellular Components","evm.TU.chromosome_2.769"
"62","GO:0001669","acrosomal vesicle",44,1,0.04,0.0384,"Cellular Components","evm.TU.chromosome_5.1067"
"63","GO:0005902","microvillus",52,1,0.05,0.0452,"Cellular Components","evm.TU.chromosome_5.1067"
"64","GO:0051525","NFAT protein binding",1,1,0,0.00091,"Molecular Functions","evm.TU.chromosome_2.771"
