"","mRNA","GO","Term","Annotated","Significant","Expected","Fisher","ontology","sig.prop"
"1","evm.TU.chromosome_1.1175","GO:0007266","Rho protein signal transduction",162,5,2,0.00268,"Biological Processes",0.0308641975308642
"2","evm.TU.chromosome_1.965","GO:0030199","collagen fibril organization",84,8,1.04,9.3e-06,"Biological Processes",0.0952380952380952
"3","evm.TU.chromosome_1.965","GO:0010718","positive regulation of epithelial to mesenchymal tr...",50,4,0.62,0.00334,"Biological Processes",0.08
"4","evm.TU.chromosome_1.965","GO:0001501","skeletal system development",565,13,6.98,8.7e-05,"Biological Processes",0.0230088495575221
"5","evm.TU.chromosome_1.965","GO:0007179","transforming growth factor beta receptor signaling ...",193,6,2.38,0.00075,"Biological Processes",0.0310880829015544
"6","evm.TU.chromosome_1.1284","GO:0070374","positive regulation of ERK1 and ERK2 cascade",164,7,2.03,0.00432,"Biological Processes",0.0426829268292683
"7","evm.TU.chromosome_1.1046","GO:0070374","positive regulation of ERK1 and ERK2 cascade",164,7,2.03,0.00432,"Biological Processes",0.0426829268292683
"8","evm.TU.chromosome_1.1205","GO:0071300","cellular response to retinoic acid",82,4,1.01,0.01873,"Biological Processes",0.0487804878048781
"9","evm.TU.chromosome_1.938","GO:0042744","hydrogen peroxide catabolic process",41,3,0.51,0.01404,"Biological Processes",0.0731707317073171
"10","evm.TU.chromosome_1.517","GO:0007266","Rho protein signal transduction",162,5,2,0.00268,"Biological Processes",0.0308641975308642
"11","evm.TU.chromosome_1.1617","GO:0033504","floor plate development",20,2,0.25,0.02494,"Biological Processes",0.1
"12","evm.TU.chromosome_1.285","GO:0008217","regulation of blood pressure",362,8,4.47,0.01381,"Biological Processes",0.0220994475138122
"13","evm.TU.chromosome_1.1257","GO:0071300","cellular response to retinoic acid",82,4,1.01,0.01873,"Biological Processes",0.0487804878048781
"14","evm.TU.chromosome_1.1254","GO:0071300","cellular response to retinoic acid",82,4,1.01,0.01873,"Biological Processes",0.0487804878048781
"15","evm.TU.chromosome_1.1420","GO:0001501","skeletal system development",565,13,6.98,8.7e-05,"Biological Processes",0.0230088495575221
"16","evm.TU.chromosome_1.1098","GO:0007017","microtubule-based process",566,15,6.99,0.00718,"Biological Processes",0.0265017667844523
"17","evm.TU.chromosome_1.1098","GO:0007017","microtubule-based process",566,15,6.99,0.00718,"Biological Processes",0.0265017667844523
"18","evm.TU.chromosome_1.1544","GO:0010634","positive regulation of epithelial cell migration",53,4,0.65,0.00413,"Biological Processes",0.0754716981132075
"19","evm.TU.chromosome_1.1542","GO:0010634","positive regulation of epithelial cell migration",53,4,0.65,0.00413,"Biological Processes",0.0754716981132075
"20","evm.TU.chromosome_1.1541","GO:0010634","positive regulation of epithelial cell migration",53,4,0.65,0.00413,"Biological Processes",0.0754716981132075
"21","evm.TU.chromosome_1.1023.1.5f15dce0","GO:0030261","chromosome condensation",37,3,0.46,0.01061,"Biological Processes",0.0810810810810811
"22","evm.TU.chromosome_1.1024","GO:1901741","positive regulation of myoblast fusion",2,1,0.02,0.02456,"Biological Processes",0.5
